condition,phi,sender,seed,success
C0_dyadic,0.0,W,1,0.9498
C0_dyadic,0.0,W,2,0.9532
C0_dyadic,0.0,W,3,0.951
C0_dyadic,0.0,W,4,0.9501
C0_dyadic,0.0,W,5,0.9522
C0_dyadic,0.0,C,1,0.9495
C0_dyadic,0.0,C,2,0.9506
C0_dyadic,0.0,C,3,0.9496
C0_dyadic,0.0,C,4,0.9512
C0_dyadic,0.0,C,5,0.9499
C1_parity,0.5,W,1,0.9513
C1_parity,0.5,W,2,0.9532
C1_parity,0.5,W,3,0.9494
C1_parity,0.5,W,4,0.9531
C1_parity,0.5,W,5,0.9529
C1_parity,0.5,C,1,0.954
C1_parity,0.5,C,2,0.9494
C1_parity,0.5,C,3,0.9533
C1_parity,0.5,C,4,0.9522
C1_parity,0.5,C,5,0.9486
C2_partial,0.83,W,1,0.9517
C2_partial,0.83,W,2,0.9479
C2_partial,0.83,W,3,0.9533
C2_partial,0.83,W,4,0.9515
C2_partial,0.83,W,5,0.9506
C2_partial,0.83,C,1,0.951
C2_partial,0.83,C,2,0.9508
C2_partial,0.83,C,3,0.951
C2_partial,0.83,C,4,0.9487
C2_partial,0.83,C,5,0.9497
C3_strict,2.0,W,1,0.7058
C3_strict,2.0,W,2,0.717
C3_strict,2.0,W,3,0.7244
C3_strict,2.0,W,4,0.7193
C3_strict,2.0,W,5,0.7185
C3_strict,2.0,C,1,0.7198
C3_strict,2.0,C,2,0.7155
C3_strict,2.0,C,3,0.7047
C3_strict,2.0,C,4,0.7084
C3_strict,2.0,C,5,0.7128
