condition,phi,sender,seed,success
C0_dyadic,0.0,W,1,0.9511
C0_dyadic,0.0,W,2,0.9513
C0_dyadic,0.0,W,3,0.9505
C0_dyadic,0.0,W,4,0.9514
C0_dyadic,0.0,W,5,0.9501
C0_dyadic,0.0,C,1,0.9503
C0_dyadic,0.0,C,2,0.9504
C0_dyadic,0.0,C,3,0.9511
C0_dyadic,0.0,C,4,0.9524
C0_dyadic,0.0,C,5,0.951
C1_parity,0.5,W,1,0.952
C1_parity,0.5,W,2,0.9505
C1_parity,0.5,W,3,0.9505
C1_parity,0.5,W,4,0.9509
C1_parity,0.5,W,5,0.9505
C1_parity,0.5,C,1,0.9514
C1_parity,0.5,C,2,0.95
C1_parity,0.5,C,3,0.9502
C1_parity,0.5,C,4,0.9505
C1_parity,0.5,C,5,0.9499
C2_partial,0.83,W,1,0.9497
C2_partial,0.83,W,2,0.9501
C2_partial,0.83,W,3,0.9512
C2_partial,0.83,W,4,0.949
C2_partial,0.83,W,5,0.9513
C2_partial,0.83,C,1,0.9509
C2_partial,0.83,C,2,0.9518
C2_partial,0.83,C,3,0.9503
C2_partial,0.83,C,4,0.9507
C2_partial,0.83,C,5,0.9506
C3_strict,2.0,W,1,0.7184
C3_strict,2.0,W,2,0.7201
C3_strict,2.0,W,3,0.7136
C3_strict,2.0,W,4,0.7071
C3_strict,2.0,W,5,0.71
C3_strict,2.0,C,1,0.7132
C3_strict,2.0,C,2,0.7118
C3_strict,2.0,C,3,0.7108
C3_strict,2.0,C,4,0.7136
C3_strict,2.0,C,5,0.7161
