id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
0,triad,3,"W=FALSE,S=FALSE,C=FALSE",0.0,0.0,1,0,0,0,0,0,(none)
1,triad,3,"W=FALSE,S=FALSE,C=NOR",0.0,0.0,2,2,0,0,1,0,(none)
2,triad,3,"W=FALSE,S=FALSE,C=~A&B",0.0,0.0,2,2,0,0,1,0,(none)
3,triad,3,"W=FALSE,S=FALSE,C=~A",0.0,0.0,2,1,0,0,1,0,(none)
4,triad,3,"W=FALSE,S=FALSE,C=A&~B",0.0,0.0,2,2,0,0,1,0,(none)
5,triad,3,"W=FALSE,S=FALSE,C=~B",0.0,0.0,2,1,0,0,0,0,(none)
6,triad,3,"W=FALSE,S=FALSE,C=XOR",0.0,0.0,2,2,0,0,1,1,(none)
7,triad,3,"W=FALSE,S=FALSE,C=NAND",0.0,0.0,2,2,0,0,1,0,(none)
8,triad,3,"W=FALSE,S=FALSE,C=AND",0.0,0.0,2,2,0,0,1,0,(none)
9,triad,3,"W=FALSE,S=FALSE,C=XNOR",0.0,0.0,2,2,0,0,1,1,(none)
10,triad,3,"W=FALSE,S=FALSE,C=B",0.0,0.0,2,1,0,0,0,0,(none)
11,triad,3,"W=FALSE,S=FALSE,C=~A|B",0.0,0.0,2,2,0,0,1,0,(none)
12,triad,3,"W=FALSE,S=FALSE,C=A",0.0,0.0,2,1,0,0,1,0,(none)
13,triad,3,"W=FALSE,S=FALSE,C=A|~B",0.0,0.0,2,2,0,0,1,0,(none)
14,triad,3,"W=FALSE,S=FALSE,C=OR",0.0,0.0,2,2,0,0,1,0,(none)
15,triad,3,"W=FALSE,S=FALSE,C=TRUE",0.0,0.0,1,0,0,0,0,0,(none)
16,triad,3,"W=FALSE,S=NOR,C=FALSE",0.0,0.0,2,2,1,0,0,0,NOR
17,triad,3,"W=FALSE,S=NOR,C=NOR",0.0,0.0,4,4,1,0,1,0,NOR
18,triad,3,"W=FALSE,S=NOR,C=~A&B",0.0,0.0,4,4,1,0,1,0,NOR
19,triad,3,"W=FALSE,S=NOR,C=~A",0.0,0.0,3,3,1,0,1,0,NOR
20,triad,3,"W=FALSE,S=NOR,C=A&~B",0.0,0.0,3,4,1,0,1,0,NOR
21,triad,3,"W=FALSE,S=NOR,C=~B",0.0,0.0,4,3,1,0,0,0,NOR
22,triad,3,"W=FALSE,S=NOR,C=XOR",0.0,0.0,4,4,1,0,1,1,NOR
23,triad,3,"W=FALSE,S=NOR,C=NAND",0.0,0.0,3,4,1,0,1,0,NOR
24,triad,3,"W=FALSE,S=NOR,C=AND",0.0,0.0,3,4,1,0,1,0,NOR
25,triad,3,"W=FALSE,S=NOR,C=XNOR",0.0,0.0,4,4,1,0,1,1,NOR
26,triad,3,"W=FALSE,S=NOR,C=B",0.0,0.0,4,3,1,0,0,0,NOR
27,triad,3,"W=FALSE,S=NOR,C=~A|B",0.0,0.0,3,4,1,0,1,0,NOR
28,triad,3,"W=FALSE,S=NOR,C=A",0.0,0.0,3,3,1,0,1,0,NOR
29,triad,3,"W=FALSE,S=NOR,C=A|~B",0.0,0.0,4,4,1,0,1,0,NOR
30,triad,3,"W=FALSE,S=NOR,C=OR",0.0,0.0,4,4,1,0,1,0,NOR
31,triad,3,"W=FALSE,S=NOR,C=TRUE",0.0,0.0,2,2,1,0,0,0,NOR
32,triad,3,"W=FALSE,S=~A&B,C=FALSE",0.0,0.0,2,2,1,0,0,0,~A&B
33,triad,3,"W=FALSE,S=~A&B,C=NOR",0.0,0.0,4,4,1,0,1,0,~A&B
34,triad,3,"W=FALSE,S=~A&B,C=~A&B",0.0,0.0,4,4,1,0,1,0,~A&B
35,triad,3,"W=FALSE,S=~A&B,C=~A",0.0,0.0,3,3,1,0,1,0,~A&B
36,triad,3,"W=FALSE,S=~A&B,C=A&~B",0.0,0.0,3,4,1,0,1,0,~A&B
37,triad,3,"W=FALSE,S=~A&B,C=~B",0.0,0.0,4,3,1,0,0,0,~A&B
38,triad,3,"W=FALSE,S=~A&B,C=XOR",0.0,0.0,4,4,1,0,1,1,~A&B
39,triad,3,"W=FALSE,S=~A&B,C=NAND",0.0,0.0,3,4,1,0,1,0,~A&B
40,higher_order,4,"HO:S=NAND3,back=(001)",0.192645,0.038529,5,8,1,0,1,0,NAND3
41,higher_order,4,"HO:S=NAND3,back=(101)",0.0,0.0,7,10,1,0,1,0,NAND3
42,higher_order,4,"HO:S=NAND3,back=(011)",0.0,0.0,7,10,1,0,1,0,NAND3
43,higher_order,4,"HO:S=NAND3,back=(111)",0.0,0.0,6,12,1,0,1,0,NAND3
44,higher_order,4,"HO:S=NOR3,back=(000)",3.0,0.75,4,6,1,1,0,0,NOR3
45,higher_order,4,"HO:S=NOR3,back=(100)",0.192645,0.077058,5,8,1,0,1,0,NOR3
46,higher_order,4,"HO:S=NOR3,back=(010)",0.192645,0.077058,5,8,1,0,1,0,NOR3
47,higher_order,4,"HO:S=NOR3,back=(110)",0.38529,0.192645,6,10,1,0,1,0,NOR3
48,higher_order,4,"HO:S=NOR3,back=(001)",0.192645,0.077058,5,8,1,0,1,0,NOR3
49,higher_order,4,"HO:S=NOR3,back=(101)",0.38529,0.192645,6,10,1,0,1,0,NOR3
50,higher_order,4,"HO:S=NOR3,back=(011)",0.38529,0.192645,6,10,1,0,1,0,NOR3
51,higher_order,4,"HO:S=NOR3,back=(111)",0.577935,0.096323,6,12,1,0,1,0,NOR3
