id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
0,triad,3,"W=FALSE,S=FALSE,C=FALSE",0.0,0.0,1,0,0,0,0,0,(none)
1,triad,3,"W=FALSE,S=FALSE,C=NOR",0.0,0.0,2,2,0,0,1,0,(none)
2,triad,3,"W=FALSE,S=FALSE,C=W&~C",0.0,0.0,2,2,0,0,1,0,(none)
3,triad,3,"W=FALSE,S=FALSE,C=~C",0.0,0.0,2,1,0,0,1,0,(none)
4,triad,3,"W=FALSE,S=FALSE,C=~W&C",0.0,0.0,2,2,0,0,1,0,(none)
5,triad,3,"W=FALSE,S=FALSE,C=~W",0.0,0.0,2,1,0,0,0,0,(none)
6,triad,3,"W=FALSE,S=FALSE,C=XOR",0.0,0.0,2,2,0,0,1,1,(none)
7,triad,3,"W=FALSE,S=FALSE,C=NAND",0.0,0.0,2,2,0,0,1,0,(none)
8,triad,3,"W=FALSE,S=FALSE,C=AND",0.0,0.0,2,2,0,0,1,0,(none)
9,triad,3,"W=FALSE,S=FALSE,C=XNOR",0.0,0.0,2,2,0,0,1,1,(none)
10,triad,3,"W=FALSE,S=FALSE,C=copyA",0.0,0.0,2,1,0,0,0,0,(none)
11,triad,3,"W=FALSE,S=FALSE,C=A|~B",0.0,0.0,2,2,0,0,1,0,(none)
12,triad,3,"W=FALSE,S=FALSE,C=copyB",0.0,0.0,2,1,0,0,1,0,(none)
13,triad,3,"W=FALSE,S=FALSE,C=~A|B",0.0,0.0,2,2,0,0,1,0,(none)
14,triad,3,"W=FALSE,S=FALSE,C=OR",0.0,0.0,2,2,0,0,1,0,(none)
15,triad,3,"W=FALSE,S=FALSE,C=TRUE",0.0,0.0,1,0,0,0,0,0,(none)
16,triad,3,"W=FALSE,S=NOR,C=FALSE",0.0,0.0,2,2,1,0,0,0,NOR
17,triad,3,"W=FALSE,S=NOR,C=NOR",0.0,0.0,4,4,1,0,1,0,NOR
18,triad,3,"W=FALSE,S=NOR,C=W&~C",0.0,0.0,4,4,1,0,1,0,NOR
19,triad,3,"W=FALSE,S=NOR,C=~C",0.0,0.0,3,3,1,0,1,0,NOR
20,triad,3,"W=FALSE,S=NOR,C=~W&C",0.0,0.0,3,4,1,0,1,0,NOR
21,triad,3,"W=FALSE,S=NOR,C=~W",0.0,0.0,4,3,1,0,0,0,NOR
22,triad,3,"W=FALSE,S=NOR,C=XOR",0.0,0.0,4,4,1,0,1,1,NOR
23,triad,3,"W=FALSE,S=NOR,C=NAND",0.0,0.0,3,4,1,0,1,0,NOR
24,triad,3,"W=FALSE,S=NOR,C=AND",0.0,0.0,3,4,1,0,1,0,NOR
25,triad,3,"W=FALSE,S=NOR,C=XNOR",0.0,0.0,4,4,1,0,1,1,NOR
26,triad,3,"W=FALSE,S=NOR,C=copyA",0.0,0.0,4,3,1,0,0,0,NOR
27,triad,3,"W=FALSE,S=NOR,C=A|~B",0.0,0.0,3,4,1,0,1,0,NOR
28,triad,3,"W=FALSE,S=NOR,C=copyB",0.0,0.0,3,3,1,0,1,0,NOR
29,triad,3,"W=FALSE,S=NOR,C=~A|B",0.0,0.0,4,4,1,0,1,0,NOR
30,triad,3,"W=FALSE,S=NOR,C=OR",0.0,0.0,4,4,1,0,1,0,NOR
31,triad,3,"W=FALSE,S=NOR,C=TRUE",0.0,0.0,2,2,1,0,0,0,NOR
32,triad,3,"W=FALSE,S=W&~C,C=FALSE",0.0,0.0,2,2,1,0,0,0,W&~C
33,triad,3,"W=FALSE,S=W&~C,C=NOR",0.0,0.0,4,4,1,0,1,0,W&~C
