id,label,n,regime,determination,back_channel,n_parties,edges,mediator_reads_all,max_phi,mean_phi,n_reachable
0,n3_dyadic,3,dyadic,-,0,2,3,0,0.0,0.0,8
1,n3_strict_AND,3,strict,AND,0,2,4,1,2.0,0.5,4
2,n3_partial_AND_bc1_0,3,partial,AND,1,2,6,1,0.830075,0.415037,5
3,n3_strict_OR,3,strict,OR,0,2,4,1,2.0,0.5,4
4,n3_partial_OR_bc1_0,3,partial,OR,1,2,6,1,6.0,1.2,5
5,n3_strict_XOR,3,strict,XOR,0,2,4,1,0.5,0.5,4
6,n3_partial_XOR_bc1_0,3,partial,XOR,1,2,6,1,1.0,0.53203,5
7,n4_dyadic,4,dyadic,-,0,3,7,0,0.0,0.0,10
8,n4_strict_AND,4,strict,AND,0,3,6,1,3.0,0.75,4
9,n4_partial_AND_bc1_0,4,partial,AND,1,3,8,1,0.0,0.0,7
10,n4_partial_AND_bc1_1,4,partial,AND,1,3,8,1,0.0,0.0,7
11,n4_partial_AND_bc1_2,4,partial,AND,1,3,8,1,0.0,0.0,7
12,n4_partial_AND_bc2_3,4,partial,AND,2,3,10,1,0.192645,0.038529,5
13,n4_partial_AND_bc2_4,4,partial,AND,2,3,10,1,0.192645,0.038529,5
14,n4_partial_AND_bc2_5,4,partial,AND,2,3,10,1,0.192645,0.038529,5
15,n4_partial_AND_bc3_6,4,partial,AND,3,3,12,1,0.192645,0.032108,6
16,n4_strict_OR,4,strict,OR,0,3,6,1,3.0,0.75,4
17,n4_partial_OR_bc1_0,4,partial,OR,1,3,8,1,2.0,0.285714,7
18,n4_partial_OR_bc1_1,4,partial,OR,1,3,8,1,2.0,0.285714,7
19,n4_partial_OR_bc1_2,4,partial,OR,1,3,8,1,2.0,0.285714,7
20,n4_partial_OR_bc2_3,4,partial,OR,2,3,10,1,4.0,0.8,5
21,n4_partial_OR_bc2_4,4,partial,OR,2,3,10,1,4.0,0.8,5
22,n4_partial_OR_bc2_5,4,partial,OR,2,3,10,1,4.0,0.8,5
23,n4_partial_OR_bc3_6,4,partial,OR,3,3,12,1,12.0,2.0,6
24,n4_strict_MAJ,4,strict,MAJ,0,3,6,1,0.0,0.0,4
25,n4_partial_MAJ_bc1_0,4,partial,MAJ,1,3,8,1,0.415037,0.103759,8
26,n4_partial_MAJ_bc1_1,4,partial,MAJ,1,3,8,1,0.415037,0.103759,8
27,n4_partial_MAJ_bc1_2,4,partial,MAJ,1,3,8,1,0.415037,0.103759,8
28,n4_partial_MAJ_bc2_3,4,partial,MAJ,2,3,10,1,1.0,0.214828,6
29,n4_partial_MAJ_bc2_4,4,partial,MAJ,2,3,10,1,1.0,0.214828,6
30,n4_partial_MAJ_bc2_5,4,partial,MAJ,2,3,10,1,1.0,0.214828,6
31,n4_partial_MAJ_bc3_6,4,partial,MAJ,3,3,12,1,1.0,0.166667,6
32,n4_strict_XOR,4,strict,XOR,0,3,6,1,0.25,0.25,4
33,n4_partial_XOR_bc1_0,4,partial,XOR,1,3,8,1,1.0,0.483007,10
34,n4_partial_XOR_bc1_1,4,partial,XOR,1,3,8,1,1.0,0.483007,10
35,n4_partial_XOR_bc1_2,4,partial,XOR,1,3,8,1,1.0,0.483007,10
36,n4_partial_XOR_bc2_3,4,partial,XOR,2,3,10,1,1.0,0.246935,6
37,n4_partial_XOR_bc2_4,4,partial,XOR,2,3,10,1,1.0,0.246935,6
38,n4_partial_XOR_bc2_5,4,partial,XOR,2,3,10,1,1.0,0.246935,6
39,n4_partial_XOR_bc3_6,4,partial,XOR,3,3,12,1,1.0,0.166667,6
40,n5_dyadic,5,dyadic,-,0,4,13,0,0.0,0.0,12
41,n5_strict_AND,5,strict,AND,0,4,8,1,4.0,1.0,4
