idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,tdmi,phi_wms,stochastic_interaction,causal_density,integrated_synergy,total_correlation
0,3,0.3,0.0,3,copy|majority|copy,0.0,0.0,2,1.0,-1.0,0.0,0.0,-1.0,2.0
1,3,0.3,0.0,4,or|and|parity,0.0,0.0,4,0.8112781244591328,-0.8112781244591328,0.0,0.0,-0.8112781244591328,1.6225562489182654
2,3,0.3,0.0,4,parity|majority|parity,0.0,0.0,4,2.0,-1.0,0.9999999999586947,0.3333333333333333,-1.0,1.0
3,3,0.3,0.0,4,and|and|copy,0.0,0.0,4,2.0,0.0,2.999999999876084,0.6666666666666666,-1.0,1.0
4,3,0.3,0.0,3,or|parity|or,0.0,0.0,4,2.0,0.0,2.999999999876084,0.6666666666666666,-1.0,1.0
5,3,0.3,0.0,3,and|parity|and,0.0,0.0,4,1.0,-1.0,0.0,0.0,-1.0,2.0
6,3,0.3,0.0,3,majority|parity|copy,0.0,0.0,4,2.0,-1.0,0.0,0.0,-1.0,1.0
7,3,0.3,0.0,3,parity|or|or,0.0,0.0,4,2.0,0.0,2.999999999876084,0.6666666666666666,-1.0,1.0
8,3,0.3,0.0,5,majority|and|or,0.0,0.0,4,0.8112781244591328,-0.8112781244591328,0.0,0.0,-0.8112781244591328,1.6225562489182654
9,3,0.3,0.0,3,and|or|and,0.0,0.0,4,2.0,0.0,2.999999999876084,0.6666666666666666,-1.0,1.0
10,3,0.3,0.0,4,parity|parity|copy,0.0,0.0,4,2.0,-1.0,0.9999999999586945,0.3333333333333333,-1.0,1.0
11,3,0.3,0.0,3,copy|parity|or,0.0,0.0,4,1.0,-1.0,0.0,0.0,-1.0,2.0
12,3,0.3,0.0,3,and|and|or,0.0,0.0,4,2.0,0.0,2.999999999876084,0.6666666666666666,-1.0,1.0
13,3,0.3,0.0,5,copy|or|copy,2.0,2.0,8,3.0,2.0,2.999999999876084,0.5,0.0,0.0
14,3,0.3,0.0,3,parity|and|or,0.0,0.0,4,1.0,-1.0,0.0,0.0,-1.0,2.0
15,3,0.3,0.05,3,or|or|parity,0.0,0.0,8,1.5937516768394144,0.16654559107132672,2.140809128652131,0.4280796401528743,-0.42766871226511494,0.5470574518127167
16,3,0.3,0.05,4,and|and|copy,0.39696437574232085,1.5878575029692834,8,0.5499073210386396,0.21250566268016907,0.5411361935531583,0.09278847272629616,-0.015530361419058447,0.019526247266517194
17,3,0.3,0.05,3,and|and|or,1.5878575029692836,1.5878575029692836,8,2.1408091286521316,1.4272060857680875,2.1408091286521316,0.35680152144202193,1.1102230246251565e-16,0.0
18,3,0.3,0.05,3,parity|or|copy,0.0,0.0,8,1.5937516768394144,-0.26112312119378833,0.2859343306189285,0.04765572176982142,-0.48853961183174177,0.5470574518127167
19,3,0.3,0.05,4,or|copy|copy,0.0,0.0,8,1.211561571984739,-0.3339383779807611,0.7308741310403359,0.15780626002787237,-0.5730814362691492,0.9292475566673923
20,3,0.3,0.05,6,or|and|parity,0.04179129951764899,0.3343303961411919,8,0.5898203265810971,0.2848369261635061,0.6126331864289469,0.10316096483437998,-0.053328508459642654,0.09764780539763307
21,3,0.3,0.05,3,or|copy|parity,0.0,0.0,8,1.5937516768394144,0.1665455910713265,2.140809128652131,0.4280796401528742,-0.4276687122651154,0.5470574518127167
22,3,0.3,0.05,5,majority|majority|or,0.24203747658158148,1.5878575029692834,8,0.23547394481523373,0.04249869365361522,0.24018234906955804,0.038768319731053026,-0.003313497101015056,0.01466270820870652
23,3,0.3,0.05,4,or|parity|copy,0.0,0.0,8,1.5937516768394144,0.16654559107132672,2.140809128652131,0.4280796401528743,-0.42766871226511494,0.5470574518127167
24,3,0.3,0.05,3,parity|parity|majority,0.0,0.0,8,1.2115615719847388,-0.3339383779807612,0.7308741310403369,0.15780626002787249,-0.5730814362691491,0.9292475566673923
25,3,0.3,0.05,5,majority|copy|copy,0.0,0.0,8,1.5937516768394144,0.16654559107132672,2.140809128652131,0.4280796401528743,-0.42766871226511494,0.5470574518127167
26,3,0.3,0.05,3,majority|or|and,0.0,0.0,8,0.9574151107679587,-0.35040223545252724,0.571868661237857,0.11560174339518514,-0.6148530601570589,1.1833940178841724
27,3,0.3,0.05,3,parity|copy|and,0.0,0.0,8,1.5937516768394144,0.16654559107132672,2.140809128652131,0.4280796401528743,-0.42766871226511494,0.5470574518127167
28,3,0.3,0.05,3,or|parity|or,0.0,0.0,8,1.5937516768394144,0.16654559107132672,2.140809128652131,0.4280796401528743,-0.42766871226511494,0.5470574518127167
29,3,0.3,0.05,6,or|and|or,0.0,0.0,8,0.7695183820664565,0.04918085077345081,0.1547368639293285,0.027091309906670327,-0.027399228688892885,0.04440146503068321
30,3,0.3,0.2,5,majority|copy|and,0.0,0.0,8,0.6118191060551638,0.07896794184574919,0.3259044289384554,0.05599291155307251,-0.053298200120039524,0.09840502666035089
31,3,0.3,0.2,5,parity|majority|copy,0.6943456308353413,0.6943456308353413,8,0.8342157153379128,0.5561438102252761,0.8342157153379128,0.13903595255631893,6.661338147750939e-16,0.0
32,3,0.3,0.2,3,parity|copy|parity,0.0,0.0,8,0.8342157153379127,2.7755575615628914e-16,0.5561438102252749,0.09269063503754595,2.220446049250313e-16,0.0
33,3,0.3,0.2,3,majority|copy|and,0.0,0.0,8,0.7385971730624069,1.6653345369377348e-16,0.24415000270786358,0.040691667117977254,-0.05036075937776596,0.09561854227550626
34,3,0.3,0.2,3,or|copy|parity,0.0,0.0,8,0.738597173062407,1.1102230246251565e-16,0.24415000270786313,0.04069166711797719,-0.05036075937776635,0.09561854227550626
35,3,0.3,0.2,3,copy|parity|majority,0.0,0.0,8,0.7206702546291763,0.14085126984132407,0.5178557889403135,0.09186969112550485,-0.06931883194315747,0.11354546070873628
