idx,density,noise,n_edges,gates,ei_micro,ei_macro_best,causal_emergence,macro_n_states,phi_mean,phi_max
0,0.3,0.0,3,copy|majority|copy,1.0,1.0,0.0,8,0.0,0.0
1,0.3,0.0,4,or|and|parity,2.0,2.0,0.0,8,0.0,0.0
2,0.3,0.0,4,parity|majority|parity,2.0,2.0,0.0,8,0.0,0.0
3,0.3,0.0,4,and|and|copy,2.0,2.0,0.0,8,0.0,0.0
4,0.3,0.0,3,or|parity|or,2.0,2.0,0.0,8,0.0,0.0
5,0.3,0.0,3,and|parity|and,2.0,2.0,0.0,8,0.0,0.0
6,0.3,0.0,3,majority|parity|copy,2.0,2.0,0.0,8,0.0,0.0
7,0.3,0.0,3,parity|or|or,2.0,2.0,0.0,8,0.0,0.0
8,0.3,0.0,5,majority|and|or,2.0,2.0,0.0,8,0.0,0.0
9,0.3,0.0,3,and|or|and,2.0,2.0,0.0,8,0.0,0.0
10,0.3,0.0,4,parity|parity|copy,2.0,2.0,0.0,8,0.0,0.0
11,0.3,0.0,3,copy|parity|or,2.0,2.0,0.0,8,0.0,0.0
12,0.3,0.0,3,and|and|or,2.0,2.0,0.0,8,0.0,0.0
13,0.3,0.0,5,copy|or|copy,3.0,3.0,0.0,8,2.0,2.0
14,0.3,0.0,3,parity|and|or,2.0,2.0,0.0,8,0.0,0.0
15,0.3,0.1,3,or|or|parity,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
16,0.3,0.1,4,and|and|copy,1.3828218444636975,1.3828218444636975,0.0,8,0.30909487243927936,1.2363794897571174
17,0.3,0.1,3,and|and|or,1.5930132192321564,1.5930132192321564,0.0,8,1.2363794897571174,1.2363794897571174
18,0.3,0.1,3,parity|or|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
19,0.3,0.1,4,or|copy|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
20,0.3,0.1,6,or|and|parity,1.0737117033740016,1.0960551882225091,0.022343484848507567,7,0.03303919848393155,0.2643135878714524
21,0.3,0.1,3,or|copy|parity,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
22,0.3,0.1,5,majority|majority|or,1.166900551439594,1.198554697346684,0.03165414590709004,7,0.18984572519819903,1.2363794897571174
23,0.3,0.1,4,or|parity|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
24,0.3,0.1,3,parity|parity|majority,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
25,0.3,0.1,5,majority|copy|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
26,0.3,0.1,3,majority|or|and,0.8624177306350442,0.8624177306350447,4.440892098500626e-16,6,0.0,0.0
27,0.3,0.1,3,parity|copy|and,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
28,0.3,0.1,3,or|parity|or,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
29,0.3,0.1,6,or|and|or,0.9672590061180126,1.0200375302099172,0.05277852409190453,7,0.0,0.0
30,0.3,0.2,5,majority|copy|and,0.6726652284378982,0.6726652284378982,0.0,8,0.0,0.0
31,0.3,0.2,5,parity|majority|copy,0.8342157153379128,0.8342157153379128,0.0,8,0.6943456308353413,0.6943456308353413
32,0.3,0.2,3,parity|copy|parity,0.8342157153379128,0.8342157153379128,0.0,8,0.0,0.0
33,0.3,0.2,3,majority|copy|and,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
34,0.3,0.2,3,or|copy|parity,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
35,0.3,0.2,3,copy|parity|majority,0.738597173062407,0.738597173062407,0.0,8,0.0,0.0
36,0.3,0.2,3,and|majority|and,0.8342157153379128,0.8342157153379128,0.0,8,0.6943456308353413,0.6943456308353413
37,0.3,0.2,4,and|majority|copy,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
38,0.3,0.2,3,majority|and|majority,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
39,0.3,0.2,3,parity|or|or,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
40,0.3,0.2,4,majority|and|and,0.7423826621952498,0.7423826621952498,0.0,8,0.0,0.0
41,0.3,0.2,4,parity|majority|and,0.7091258888239018,0.7091258888239018,0.0,8,0.0,0.0
42,0.3,0.2,3,and|and|parity,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
43,0.3,0.2,3,and|and|or,0.738597173062407,0.738597173062407,0.0,8,0.0,0.0
44,0.3,0.2,5,parity|copy|majority,0.7423826621952503,0.7423826621952503,0.0,8,0.0,0.0
