idx,n,density,noise,phi_r_ccs,phi_wms_min,phi_mean,phi_max
0,3,0.3,0.0,0.0,0.0,0.0,0.0
1,3,0.3,0.0,0.13835859290876995,-0.2516708336264199,2.0,2.0
2,3,0.3,0.0,0.0,0.0,0.0,0.0
3,3,0.3,0.0,0.0,0.0,0.0,0.0
4,3,0.3,0.0,0.0,0.0,0.0,0.0
5,3,0.3,0.0,0.0,0.0,0.0,0.0
6,3,0.3,0.0,0.0,0.0,0.0,0.0
7,3,0.3,0.0,0.0,0.0,0.6666666666666666,2.0
8,3,0.3,0.0,0.0,0.0,0.0,0.0
9,3,0.3,0.0,0.0,0.0,0.0,0.0
10,3,0.3,0.0,0.0,0.0,0.0,0.0
11,3,0.3,0.0,0.0,0.0,0.4025062498798073,2.0
12,3,0.3,0.0,0.0,0.0,0.0,0.0
13,3,0.3,0.0,0.0,0.0,0.0,0.0
14,3,0.3,0.0,0.0,0.0,0.0,0.0
15,3,0.3,0.05,0.0006517657621571971,0.0006517657621571971,0.0,0.0
16,3,0.3,0.05,0.002979654550733893,0.00033325279420981513,0.0,0.0
17,3,0.3,0.05,0.717427003502978,0.7154048459645822,1.5878575029692836,1.5878575029692836
18,3,0.3,0.05,0.000623075213606119,0.000623075213606119,0.0,0.0
19,3,0.3,0.05,0.3238819931183539,0.5425946964481843,1.5878575029692834,1.5878575029692834
20,3,0.3,0.05,0.2449366827088194,-0.2595213943458008,0.0,0.0
21,3,0.3,0.05,0.0012935859454529242,0.0012935859454529242,0.0,0.0
22,3,0.3,0.05,0.24245310948958232,-0.15666417573826985,0.0,0.0
23,3,0.3,0.05,0.7019516734924635,0.7041804314344331,1.5878575029692836,1.5878575029692836
24,3,0.3,0.05,0.01193369245023754,4.958973943292033e-05,0.0,0.0
25,3,0.3,0.05,0.1529136543719202,0.13724593314495193,0.39696437574232085,1.5878575029692834
26,3,0.3,0.05,-0.0004460802926331902,0.000635616804319508,0.0,0.0
