idx,n,phi3_mean,phi3_max,n_eval,n_err
0,3,0.0,0.0,2,0
1,3,0.0,0.0,4,0
2,3,0.0,0.0,4,0
3,3,0.0,0.0,4,0
4,3,0.0,0.0,4,0
5,3,0.0,0.0,4,0
6,3,0.0,0.0,4,0
7,3,0.0,0.0,4,0
8,3,0.25,0.25,4,0
9,3,0.0,0.0,4,0
10,3,0.0,0.0,4,0
11,3,0.0,0.0,4,0
12,3,0.0,0.0,4,0
13,3,1.0,1.0,8,0
14,3,0.0,0.0,4,0
15,3,0.0,0.0,8,0
16,3,0.32304075235109997,0.3801724137931,8,0
17,3,0.9,0.9,8,0
18,3,0.0,0.0,8,0
19,3,0.0,0.0,8,0
20,3,0.2081125076883375,0.3652112789977,8,0
21,3,0.0,0.0,8,0
22,3,0.2475740044968875,0.3261298750994,8,0
23,3,0.0,0.0,8,0
24,3,0.0,0.0,8,0
25,3,0.0,0.0,8,0
26,3,0.0,0.0,8,0
27,3,0.0,0.0,8,0
28,3,0.0,0.0,8,0
29,3,0.0,0.0,8,0
30,3,0.0,0.0,8,0
31,3,0.3,0.3,8,0
32,3,0.0,0.0,8,0
33,3,0.0,0.0,8,0
34,3,0.0,0.0,8,0
35,3,0.0,0.0,8,0
36,3,0.6,0.6,8,0
37,3,0.0,0.0,8,0
38,3,0.0,0.0,8,0
39,3,0.0,0.0,8,0
40,3,0.0,0.0,8,0
41,3,0.0,0.0,8,0
42,3,0.0,0.0,8,0
43,3,0.0,0.0,8,0
44,3,0.0,0.0,8,0
45,3,0.0,0.0,4,0
46,3,0.41333333333328,0.6666666666666,5,0
47,3,0.25,0.25,6,0
48,3,0.18214285714288,0.1964285714286,5,0
49,3,0.0,0.0,4,0
50,3,0.0,0.0,5,0
51,3,0.0,0.0,3,0
52,3,0.0,0.0,8,0
53,3,0.0,0.0,8,0
54,3,0.05714285714288,0.0714285714286,5,0
55,3,0.0,0.0,4,0
56,3,0.0,0.0,4,0
57,3,0.5,0.75,4,0
58,3,0.0,0.0,4,0
59,3,0.0,0.0,4,0
60,3,0.0,0.0,8,0
61,3,0.0,0.0,8,0
62,3,0.4209003013561,0.6404193872426,8,0
63,3,0.0,0.0,8,0
64,3,0.0,0.0,8,0
65,3,0.0,0.0,8,0
66,3,0.0,0.0,8,0
67,3,0.0,0.0,8,0
68,3,0.0,0.0,8,0
69,3,0.0,0.0,8,0
70,3,0.350541047401025,0.4634898816655,8,0
71,3,0.0,0.0,8,0
72,3,0.0,0.0,8,0
73,3,0.9,0.9,8,0
74,3,0.32304075235109997,0.3801724137931,8,0
75,3,0.232005494505475,0.2653846153846,8,0
76,3,0.6,0.6,8,0
77,3,0.2050985290663875,0.5234184769129,8,0
78,3,0.482432432432425,0.75,8,0
79,3,0.0,0.0,8,0
80,3,0.193890246145425,0.5089981447123,8,0
81,3,0.0,0.0,8,0
82,3,0.0,0.0,8,0
83,3,0.0,0.0,8,0
84,3,0.0,0.0,8,0
85,3,0.0,0.0,8,0
86,3,0.0,0.0,8,0
87,3,0.0,0.0,8,0
88,3,0.0,0.0,8,0
89,3,0.0,0.0,8,0
90,3,0.18952380952376,0.3309523809523,5,0
91,3,0.125,0.125,3,0
92,3,0.0,0.0,6,0
93,3,0.0733225108225,0.146645021645,4,0
94,3,0.0,0.0,5,0
95,3,0.0,0.0,4,0
96,3,0.0,0.0,5,0
97,3,0.0,0.0,6,0
98,3,0.1428571428571,0.3809523809523,5,0
99,3,0.09598901098899999,0.1107692307692,3,0
100,3,0.34999999999996,0.4166666666666,5,0
101,3,0.1428571428571,0.3809523809523,5,0
102,3,0.0,0.0,3,0
103,3,0.0,0.0,5,0
104,3,0.25,0.25,5,0
105,3,0.37250460888939996,0.45,8,0
106,3,0.476179379968675,1.1315307631162,8,0
107,3,0.07840769869987499,0.2222845446735,8,0
108,3,0.0472375690608,0.0944751381216,8,0
109,3,0.0,0.0,8,0
110,3,0.4254823201186875,0.5318181818182,8,0
111,3,0.575417668706175,1.0881002716053,8,0
112,3,0.17305315159256252,0.7041105121294,8,0
113,3,0.7925474844245126,1.5086418500906,8,0
114,3,0.53432441533535,0.9,8,0
115,3,0.0,0.0,8,0
116,3,0.0,0.0,8,0
117,3,0.42918152830524997,0.9271273737252,8,0
118,3,0.10022178097315,0.2550333704116,8,0
119,3,0.45970700460339997,1.0288177651843,8,0
120,3,0.0,0.0,8,0
121,3,0.0,0.0,8,0
122,3,0.0,0.0,8,0
123,3,0.2026460237628125,0.2734967514452,8,0
124,3,0.0,0.0,8,0
125,3,0.6,0.6,8,0
126,3,0.08960058836513751,0.1629585530749,8,0
127,3,0.1738933442506375,0.3571953551594,8,0
128,3,0.232762410237625,0.487791515819,8,0
129,3,0.0,0.0,8,0
130,3,0.1338143148129125,0.4753295932678,8,0
131,3,0.25054945054945,0.2653846153846,8,0
132,3,0.17104070128530002,0.3538972766332,8,0
133,3,0.27999042761635,0.6171428571429,8,0
134,3,0.0708623203773,0.227690427559,8,0
