idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
0,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,or|copy|or,-1.0,0.0,1.0,0.0,-1.0,2.0
1,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,copy|parity|copy,0.0,0.0,0.0,0.0,0.0,3.0
2,3,0.3,0.0,0,0.75,2.25,3.0,2.25,0.0,-0.47239242133644654,0.0,0.0,0.0,or|or|parity,-0.2935644431995963,0.0,0.2935644431995965,0.0,-0.2935644431995963,2.25
3,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,and|or|and,2.0,2.999999999876084,0.0,0.5,0.0,3.0
4,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,copy|majority|and,-1.0,0.0,1.0,0.0,-1.0,2.0
5,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,or|or|majority,2.0,2.999999999876084,0.0,0.5,0.0,3.0
6,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,majority|copy|majority,0.0,1.999999999917389,0.0,0.3333333333333333,0.0,3.0
7,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,parity|or|or,2.0,2.999999999876084,0.0,0.5,0.0,3.0
8,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,parity|and|or,-1.0,0.0,2.0,0.0,-1.0,1.0
9,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,and|parity|parity,1.0,2.999999999876084,0.0,0.5,0.0,3.0
10,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,and|copy|and,-1.0,0.0,2.0,0.0,-1.0,1.0
