net_idx,n,density,noise,n_edges,state,phi,n_distinctions,sum_phi_distinctions,n_relations,sum_phi_relations,mean_order,frac_higher_order,max_order
0,3,0.3,0.0,3,000,0.0,1,1.0,1,0.3333333333333333,1.0,0.0,1
0,3,0.3,0.0,3,111,0.0,1,1.0,1,0.3333333333333333,1.0,0.0,1
1,3,0.3,0.0,4,000,0.0,2,1.2766916661858958,3,0.7766916661858958,1.0,0.0,1
1,3,0.3,0.0,4,100,0.0,2,1.2766916661858958,3,0.7766916661858958,1.0,0.0,1
1,3,0.3,0.0,4,001,0.0,2,1.2766916661858958,1,0.1383458330929479,1.0,0.0,1
1,3,0.3,0.0,4,111,0.0,3,4.0,6,5.0,1.3333333333333333,0.3333333333333333,2
2,3,0.3,0.0,4,000,0.0,2,2.0,3,2.0,1.5,0.5,2
2,3,0.3,0.0,4,110,0.0,2,2.0,3,2.0,1.5,0.5,2
2,3,0.3,0.0,4,001,0.0,2,2.0,3,2.0,1.5,0.5,2
2,3,0.3,0.0,4,111,0.0,2,2.0,3,2.0,1.5,0.5,2
3,3,0.3,0.0,4,000,0.0,2,2.0,2,1.5,1.0,0.0,1
3,3,0.3,0.0,4,110,0.0,2,2.0,2,1.5,1.0,0.0,1
3,3,0.3,0.0,4,001,0.0,2,2.0,2,1.5,1.0,0.0,1
3,3,0.3,0.0,4,111,0.0,2,2.0,2,1.5,1.0,0.0,1
4,3,0.3,0.0,3,000,0.0,2,2.0,2,1.5,1.0,0.0,1
4,3,0.3,0.0,3,010,0.0,2,2.0,2,1.5,1.0,0.0,1
4,3,0.3,0.0,3,101,0.0,2,2.0,2,1.5,1.0,0.0,1
4,3,0.3,0.0,3,111,0.0,2,2.0,2,1.5,1.0,0.0,1
5,3,0.3,0.0,3,000,0.0,2,2.0,2,1.0,1.0,0.0,1
5,3,0.3,0.0,3,100,0.0,2,2.0,2,1.0,1.0,0.0,1
5,3,0.3,0.0,3,011,0.0,2,2.0,2,1.0,1.0,0.0,1
5,3,0.3,0.0,3,111,0.0,2,2.0,2,1.0,1.0,0.0,1
6,3,0.3,0.05,3,010,0.0,2,1.7593988952568236,2,1.3195491714426177,1.0,0.0,1
6,3,0.3,0.05,3,000,0.0,2,1.7593988952568236,2,1.3195491714426177,1.0,0.0,1
6,3,0.3,0.05,3,101,0.0,2,1.7593988952568236,2,1.3195491714426177,1.0,0.0,1
6,3,0.3,0.05,3,001,0.0,2,1.7593988952568236,2,1.3195491714426177,1.0,0.0,1
6,3,0.3,0.05,3,111,0.0,2,1.7593988952568236,2,1.3195491714426177,1.0,0.0,1
