idx,gates,phi_mean,phi_max,n_states_evaluated,n,density,noise,n_edges,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy
0,and|majority|and,0.0,0.0,4,3,0.3,0.0,6,0.6814898241696266,0.0,0.035169155951277474,0.0006680026720106872,1.4056390622295662,-0.5435644431995963,0.0,-0.5435644431995963
1,and|and|parity,0.0,0.0,8,3,0.3,0.0,3,0.0,0.0,0.028135324761021978,0.0,3.0,0.0,0.0,0.0
2,parity|parity|copy,0.0,0.0,2,3,0.3,0.0,3,2.0,0.0,0.014067662380510989,0.0,1.0,-1.0,0.0,-1.0
3,copy|parity|parity,0.0,0.0,4,3,0.3,0.0,3,2.0,0.0,0.014067662380510989,0.0,1.0,-1.0,0.0,-1.0
4,and|copy|parity,0.0,0.0,2,3,0.3,0.0,3,2.0,0.0,0.014067662380510989,0.0,1.0,-1.0,0.0,-1.0
5,and|or|or,0.0,0.0,4,3,0.3,0.0,4,1.1225562489182659,0.0,0.035169155951277474,0.23546596734323863,1.5,-0.8112781244591328,0.0,-0.8112781244591328
6,or|parity|parity,2.0,2.0,8,3,0.3,0.0,3,0.0,2.999999999876084,0.04220298714153297,0.4999996236836215,3.0,2.0,0.5,0.0
7,copy|parity|or,0.0,0.0,8,3,0.3,0.0,5,0.0,0.9999999999586945,0.028135324761021978,0.0,3.0,0.0,0.16666666666666666,0.0
8,majority|parity|majority,0.0,0.0,4,3,0.3,0.0,3,1.0,2.999999999876084,0.035169155951277474,0.9973386453970781,2.0,0.0,0.6666666666666666,-1.0
9,or|majority|and,0.0,0.0,4,3,0.3,0.0,4,1.13792538097003,2.5849394142282115e-26,0.035169155951277474,0.3333333333333333,1.4056390622295662,-1.0,0.0,-1.0
10,or|majority|copy,0.0,0.0,4,3,0.3,0.0,3,1.0,2.999999999876084,0.035169155951277474,0.9973386453970781,2.0,0.0,0.6666666666666666,-1.0
11,majority|parity|parity,0.0,0.0,4,3,0.3,0.0,3,1.0,2.999999999876084,0.035169155951277474,0.9973386453970781,2.0,0.0,0.6666666666666666,-1.0
12,and|parity|or,0.0,0.0,4,3,0.3,0.0,3,1.0,2.999999999876084,0.021101493570766485,0.0,2.0,0.0,0.6666666666666666,-1.0
13,copy|majority|and,0.0,0.0,4,3,0.3,0.0,5,1.13792538097003,0.0,0.028135324761021978,0.0,1.4056390622295662,-1.0,0.0,-1.0
14,copy|or|copy,2.0,2.0,8,3,0.3,0.0,3,0.0,2.999999999876084,0.035169155951277474,0.4999996236836215,3.0,2.0,0.5,0.0
15,copy|majority|or,0.0,0.0,4,3,0.3,0.0,4,1.1225562489182659,0.0,0.014067662380510989,0.0,1.5,-0.8112781244591328,0.0,-0.8112781244591328
16,copy|or|or,0.0,0.0,4,3,0.3,0.0,3,1.0,0.0,0.028135324761021978,0.0,2.0,-1.0,0.0,-1.0
17,or|or|majority,0.0,0.0,6,3,0.3,0.0,4,0.8112781244591329,0.0,0.028135324761021978,0.0,1.8112781244591327,-0.8112781244591328,0.0,-0.8112781244591328
18,parity|parity|or,0.0,0.0,3,3,0.3,0.0,5,1.13792538097003,0.0,0.021101493570766485,0.0,1.4056390622295662,-1.0,0.0,-1.0
19,copy|and|copy,0.0,0.0,4,3,0.3,0.0,4,2.0,0.0,0.028135324761021978,0.0,1.0,-1.0,0.0,-1.0
20,parity|parity|and,0.0,0.0,8,3,0.3,0.0,4,0.0,1.9999999999173894,0.014067662380510989,0.0,3.0,1.0,0.16666666666666666,0.0
21,parity|parity|copy,0.0,0.0,4,3,0.3,0.0,6,1.2391740079392203e-10,0.0,0.035169155951277474,0.8042652680198105,0.0,0.0,0.0,0.0
22,copy|or|majority,0.0,0.0,4,3,0.3,0.0,4,1.1225562489182659,0.0,0.028135324761021978,0.0006680026720106883,1.5,-0.8112781244591328,0.0,-0.8112781244591328
23,or|and|and,0.0,0.0,4,3,0.3,0.0,4,1.6225562489182654,0.0,0.028135324761021978,0.0020040080160320622,0.8112781244591328,-0.8112781244591328,0.0,-0.8112781244591328
24,and|or|parity,0.0,0.0,8,3,0.3,0.0,4,0.0,0.9999999999586947,0.028135324761021978,0.0,3.0,0.0,0.16666666666666666,0.0
25,and|parity|copy,0.0,0.0,4,3,0.3,0.0,3,1.0,0.0,0.014067662380510989,0.0,2.0,-1.0,0.0,-1.0
26,and|majority|parity,0.0,0.0,4,3,0.3,0.0,4,1.0,2.999999999876084,0.04220298714153297,0.49850449251646856,2.0,0.0,1.0,-1.0
27,or|copy|majority,0.0,0.0,4,3,0.3,0.0,3,1.0,2.999999999876084,0.014067662380510989,0.0,2.0,0.0,0.6666666666666666,-1.0
