task,model,score
regression_spearman,best_single_feature,0.32142485666359577
regression_spearman,ridge,0.4160960535315746
regression_spearman,random_forest,0.5397884468434598
detection_auc,best_single_feature,0.6888181373620085
detection_auc,random_forest,0.9037727211245331

feature_importance,feature,importance
,phi_wms,0.610713307150982
,tdmi,0.1024138958206829
,n_edges,0.07417668636130784
,causal_density,0.050418297876613415
,lz_complexity,0.04142938053451764
,mean_abs_corr,0.03276429449672341
,density,0.021393879760475614
,total_correlation,0.01950605016537407
,stochastic_interaction,0.015801964243239482
,n,0.01467849377532195
,integrated_synergy,0.013661854648916852
,noise,0.003041895165844733
