label,structure,max_phi,mediator_reads_both,strict_mediation
W0_S0_C0,dyadic,0.000000,False,True
W0_S1_C0,dyadic,0.000000,True,True
W0_S2_C0,dyadic,0.000000,True,True
W0_S3_C0,dyadic,0.000000,False,True
W0_S4_C0,dyadic,0.000000,True,True
W0_S5_C0,dyadic,0.000000,False,True
W0_S6_C0,dyadic,0.000000,True,True
W0_S7_C0,dyadic,0.000000,True,True
W0_S8_C0,dyadic,0.000000,True,True
W0_S9_C0,dyadic,0.000000,True,True
W0_S10_C0,dyadic,0.000000,False,True
W0_S11_C0,dyadic,0.000000,True,True
W0_S12_C0,dyadic,0.000000,False,True
W0_S13_C0,dyadic,0.000000,True,True
W0_S14_C0,dyadic,0.000000,True,True
W0_S15_C0,dyadic,0.000000,False,True
W0_S0_C1,dyadic,0.000000,False,True
W0_S1_C1,dyadic,0.000000,True,True
W0_S2_C1,dyadic,0.000000,True,True
W0_S3_C1,dyadic,0.000000,False,True
W0_S4_C1,dyadic,0.000000,True,True
W0_S5_C1,dyadic,0.000000,False,True
W0_S6_C1,dyadic,0.000000,True,True
W0_S7_C1,dyadic,0.000000,True,True
W0_S8_C1,dyadic,0.000000,True,True
W0_S9_C1,dyadic,0.000000,True,True
W0_S10_C1,dyadic,0.000000,False,True
W0_S11_C1,dyadic,0.000000,True,True
W0_S12_C1,dyadic,0.000000,False,True
W0_S13_C1,dyadic,0.000000,True,True
W0_S14_C1,dyadic,0.000000,True,True
W0_S15_C1,dyadic,0.000000,False,True
W0_S0_C2,dyadic,0.000000,False,True
W0_S1_C2,dyadic,0.000000,True,True
W0_S2_C2,dyadic,0.000000,True,True
W0_S3_C2,dyadic,0.000000,False,True
W0_S4_C2,dyadic,0.000000,True,True
W0_S5_C2,dyadic,0.000000,False,True
W0_S6_C2,dyadic,0.000000,True,True
W0_S7_C2,dyadic,0.000000,True,True
W0_S8_C2,dyadic,0.000000,True,True
W0_S9_C2,dyadic,0.000000,True,True
W0_S10_C2,dyadic,0.000000,False,True
W0_S11_C2,dyadic,0.000000,True,True
W0_S12_C2,dyadic,0.000000,False,True
W0_S13_C2,dyadic,0.000000,True,True
W0_S14_C2,dyadic,0.000000,True,True
W0_S15_C2,dyadic,0.000000,False,True
W0_S0_C3,dyadic,0.000000,False,True
W0_S1_C3,dyadic,0.000000,True,True
W0_S2_C3,dyadic,0.000000,True,True
W0_S3_C3,dyadic,0.000000,False,True
W0_S4_C3,dyadic,0.000000,True,True
W0_S5_C3,dyadic,0.000000,False,True
W0_S6_C3,dyadic,0.000000,True,True
W0_S7_C3,dyadic,0.000000,True,True
W0_S8_C3,dyadic,0.000000,True,True
W0_S9_C3,dyadic,0.000000,True,True
W0_S10_C3,dyadic,0.000000,False,True
W0_S11_C3,dyadic,0.000000,True,True
W0_S12_C3,dyadic,0.000000,False,True
W0_S13_C3,dyadic,0.000000,True,True
W0_S14_C3,dyadic,0.000000,True,True
W0_S15_C3,dyadic,0.000000,False,True
W1_S0_C0,dyadic,0.000000,False,True
W1_S1_C0,dyadic,0.000000,True,True
W1_S2_C0,dyadic,0.000000,True,True
W1_S3_C0,dyadic,0.000000,False,True
W1_S4_C0,dyadic,0.000000,True,True
W1_S5_C0,dyadic,0.000000,False,True
W1_S6_C0,dyadic,0.000000,True,True
W1_S7_C0,dyadic,0.000000,True,True
W1_S8_C0,dyadic,0.000000,True,True
W1_S9_C0,dyadic,0.000000,True,True
W1_S10_C0,dyadic,0.000000,False,True
W1_S11_C0,dyadic,0.000000,True,True
W1_S12_C0,dyadic,0.000000,False,True
W1_S13_C0,dyadic,0.000000,True,True
W1_S14_C0,dyadic,0.000000,True,True
W1_S15_C0,dyadic,0.000000,False,True
W1_S0_C1,dyadic,0.000000,False,True
W1_S1_C1,triadic,2.000000,True,True
W1_S2_C1,dyadic,0.000000,True,True
W1_S3_C1,dyadic,0.000000,False,True
W1_S4_C1,dyadic,0.000000,True,True
W1_S5_C1,dyadic,0.000000,False,True
W1_S6_C1,triadic,0.500000,True,True
W1_S7_C1,triadic,2.000000,True,True
W1_S8_C1,triadic,2.000000,True,True
W1_S9_C1,triadic,0.500000,True,True
W1_S10_C1,dyadic,0.000000,False,True
W1_S11_C1,dyadic,0.000000,True,True
W1_S12_C1,dyadic,0.000000,False,True
W1_S13_C1,dyadic,0.000000,True,True
W1_S14_C1,triadic,2.000000,True,True
W1_S15_C1,dyadic,0.000000,False,True
W1_S0_C2,dyadic,0.000000,False,True
W1_S1_C2,dyadic,0.000000,True,True
W1_S2_C2,triadic,2.000000,True,True
W1_S3_C2,dyadic,0.000000,False,True
W1_S4_C2,triadic,2.000000,True,True
W1_S5_C2,dyadic,0.000000,False,True
W1_S6_C2,triadic,0.500000,True,True
W1_S7_C2,dyadic,0.000000,True,True
W1_S8_C2,dyadic,0.000000,True,True
W1_S9_C2,triadic,0.500000,True,True
W1_S10_C2,dyadic,0.000000,False,True
W1_S11_C2,triadic,2.000000,True,True
W1_S12_C2,dyadic,0.000000,False,True
W1_S13_C2,triadic,2.000000,True,True
W1_S14_C2,dyadic,0.000000,True,True
W1_S15_C2,dyadic,0.000000,False,True
W1_S0_C3,dyadic,0.000000,False,True
W1_S1_C3,dyadic,0.000000,True,True
W1_S2_C3,dyadic,0.000000,True,True
W1_S3_C3,dyadic,0.000000,False,True
W1_S4_C3,dyadic,0.000000,True,True
W1_S5_C3,dyadic,0.000000,False,True
W1_S6_C3,dyadic,0.000000,True,True
W1_S7_C3,dyadic,0.000000,True,True
W1_S8_C3,dyadic,0.000000,True,True
W1_S9_C3,dyadic,0.000000,True,True
W1_S10_C3,dyadic,0.000000,False,True
W1_S11_C3,dyadic,0.000000,True,True
W1_S12_C3,dyadic,0.000000,False,True
W1_S13_C3,dyadic,0.000000,True,True
W1_S14_C3,dyadic,0.000000,True,True
W1_S15_C3,dyadic,0.000000,False,True
W2_S0_C0,dyadic,0.000000,False,True
W2_S1_C0,dyadic,0.000000,True,True
W2_S2_C0,dyadic,0.000000,True,True
W2_S3_C0,dyadic,0.000000,False,True
W2_S4_C0,dyadic,0.000000,True,True
W2_S5_C0,dyadic,0.000000,False,True
W2_S6_C0,dyadic,0.000000,True,True
W2_S7_C0,dyadic,0.000000,True,True
W2_S8_C0,dyadic,0.000000,True,True
W2_S9_C0,dyadic,0.000000,True,True
W2_S10_C0,dyadic,0.000000,False,True
W2_S11_C0,dyadic,0.000000,True,True
W2_S12_C0,dyadic,0.000000,False,True
W2_S13_C0,dyadic,0.000000,True,True
W2_S14_C0,dyadic,0.000000,True,True
W2_S15_C0,dyadic,0.000000,False,True
W2_S0_C1,dyadic,0.000000,False,True
W2_S1_C1,dyadic,0.000000,True,True
W2_S2_C1,triadic,2.000000,True,True
W2_S3_C1,dyadic,0.000000,False,True
W2_S4_C1,triadic,2.000000,True,True
W2_S5_C1,dyadic,0.000000,False,True
W2_S6_C1,triadic,0.500000,True,True
W2_S7_C1,dyadic,0.000000,True,True
W2_S8_C1,dyadic,0.000000,True,True
W2_S9_C1,triadic,0.500000,True,True
W2_S10_C1,dyadic,0.000000,False,True
W2_S11_C1,triadic,2.000000,True,True
W2_S12_C1,dyadic,0.000000,False,True
W2_S13_C1,triadic,2.000000,True,True
W2_S14_C1,dyadic,0.000000,True,True
W2_S15_C1,dyadic,0.000000,False,True
W2_S0_C2,dyadic,0.000000,False,True
W2_S1_C2,triadic,2.000000,True,True
W2_S2_C2,dyadic,0.000000,True,True
W2_S3_C2,dyadic,0.000000,False,True
W2_S4_C2,dyadic,0.000000,True,True
W2_S5_C2,dyadic,0.000000,False,True
W2_S6_C2,triadic,0.500000,True,True
W2_S7_C2,triadic,2.000000,True,True
W2_S8_C2,triadic,2.000000,True,True
W2_S9_C2,triadic,0.500000,True,True
W2_S10_C2,dyadic,0.000000,False,True
W2_S11_C2,dyadic,0.000000,True,True
W2_S12_C2,dyadic,0.000000,False,True
W2_S13_C2,dyadic,0.000000,True,True
W2_S14_C2,triadic,2.000000,True,True
W2_S15_C2,dyadic,0.000000,False,True
