idx,structure,max_phi,s_reads_all_three,n_states
0,dyadic,0.000000,True,4
1,dyadic,0.000000,True,4
2,dyadic,0.000000,True,4
3,dyadic,0.000000,True,4
4,dyadic,0.000000,True,4
5,dyadic,0.000000,True,4
6,dyadic,0.000000,True,4
7,dyadic,0.000000,True,4
8,dyadic,0.000000,True,4
9,dyadic,0.000000,False,4
10,dyadic,0.000000,True,4
11,dyadic,0.000000,True,4
12,dyadic,0.000000,True,4
13,dyadic,0.000000,True,4
14,dyadic,0.000000,False,4
15,dyadic,0.000000,True,2
16,dyadic,0.000000,True,4
17,dyadic,0.000000,True,4
18,dyadic,0.000000,True,4
19,dyadic,0.000000,False,4
20,dyadic,0.000000,True,2
21,dyadic,0.000000,True,4
22,dyadic,0.000000,True,4
23,dyadic,0.000000,True,4
24,dyadic,0.000000,True,4
25,dyadic,0.000000,True,4
26,dyadic,0.000000,False,2
27,dyadic,0.000000,True,4
28,dyadic,0.000000,False,4
29,dyadic,0.000000,True,4
30,dyadic,0.000000,True,4
31,dyadic,0.000000,True,4
32,dyadic,0.000000,True,2
33,dyadic,0.000000,True,4
34,dyadic,0.000000,True,4
35,dyadic,0.000000,True,4
36,dyadic,0.000000,False,4
37,triadic,0.471679,True,4
38,dyadic,0.000000,True,4
39,dyadic,0.000000,True,4
40,dyadic,0.000000,True,4
41,dyadic,0.000000,True,4
42,dyadic,0.000000,False,4
43,dyadic,0.000000,True,2
44,dyadic,0.000000,True,4
45,dyadic,0.000000,True,4
46,dyadic,0.000000,True,2
47,dyadic,0.000000,True,4
48,dyadic,0.000000,False,4
49,dyadic,0.000000,True,4
50,dyadic,0.000000,True,4
51,dyadic,0.000000,True,4
52,dyadic,0.000000,True,4
53,dyadic,0.000000,False,4
54,dyadic,0.000000,True,4
55,dyadic,0.000000,True,4
56,dyadic,0.000000,False,4
57,dyadic,0.000000,False,4
58,dyadic,0.000000,True,4
59,dyadic,0.000000,False,4
60,dyadic,0.000000,True,4
61,dyadic,0.000000,True,4
62,dyadic,0.000000,True,4
63,dyadic,0.000000,True,4
64,dyadic,0.000000,True,4
65,dyadic,0.000000,False,4
66,dyadic,0.000000,True,4
67,dyadic,0.000000,True,4
68,dyadic,0.000000,True,4
69,dyadic,0.000000,True,4
70,dyadic,0.000000,True,4
71,dyadic,0.000000,False,4
72,dyadic,0.000000,True,4
73,dyadic,0.000000,True,4
74,dyadic,0.000000,True,4
75,dyadic,0.000000,True,4
76,dyadic,0.000000,True,2
77,dyadic,0.000000,True,4
78,dyadic,0.000000,True,4
79,dyadic,0.000000,True,2
80,dyadic,0.000000,False,4
81,dyadic,0.000000,True,4
82,dyadic,0.000000,True,4
83,dyadic,0.000000,True,2
84,dyadic,0.000000,True,4
85,dyadic,0.000000,True,4
86,dyadic,0.000000,False,4
87,dyadic,0.000000,True,4
88,dyadic,0.000000,True,4
89,dyadic,0.000000,True,4
90,dyadic,0.000000,True,4
91,dyadic,0.000000,True,4
92,dyadic,0.000000,True,4
93,dyadic,0.000000,True,4
94,dyadic,0.000000,False,4
95,dyadic,0.000000,True,4
96,dyadic,0.000000,True,4
97,dyadic,0.000000,True,4
98,dyadic,0.000000,True,4
99,dyadic,0.000000,False,4
100,dyadic,0.000000,True,4
101,dyadic,0.000000,True,4
102,dyadic,0.000000,True,4
103,dyadic,0.000000,True,4
104,dyadic,0.000000,True,4
105,dyadic,0.000000,False,4
106,dyadic,0.000000,True,4
107,dyadic,0.000000,True,2
108,dyadic,0.000000,False,4
109,dyadic,0.000000,True,4
110,dyadic,0.000000,True,4
111,triadic,0.471679,True,4
112,dyadic,0.000000,True,4
113,dyadic,0.000000,True,4
114,dyadic,0.000000,True,2
115,dyadic,0.000000,True,4
116,dyadic,0.000000,True,2
117,dyadic,0.000000,True,4
118,dyadic,0.000000,True,4
119,dyadic,0.000000,True,4
120,dyadic,0.000000,True,4
121,dyadic,0.000000,True,4
122,dyadic,0.000000,True,4
123,dyadic,0.000000,True,4
124,dyadic,0.000000,True,4
125,dyadic,0.000000,True,4
126,dyadic,0.000000,True,4
127,dyadic,0.000000,False,4
128,dyadic,0.000000,True,4
129,dyadic,0.000000,False,4
130,dyadic,0.000000,True,4
131,dyadic,0.000000,True,4
132,dyadic,0.000000,True,4
133,dyadic,0.000000,True,4
134,dyadic,0.000000,True,4
135,dyadic,0.000000,True,2
136,dyadic,0.000000,True,4
137,dyadic,0.000000,True,4
138,dyadic,0.000000,False,4
139,dyadic,0.000000,True,4
140,dyadic,0.000000,True,4
141,dyadic,0.000000,True,4
142,dyadic,0.000000,True,4
143,dyadic,0.000000,True,4
144,dyadic,0.000000,True,4
145,dyadic,0.000000,True,4
146,dyadic,0.000000,True,4
147,dyadic,0.000000,True,4
148,dyadic,0.000000,True,4
149,dyadic,0.000000,True,4
150,dyadic,0.000000,True,2
151,dyadic,0.000000,True,4
152,dyadic,0.000000,True,2
153,dyadic,0.000000,True,4
154,dyadic,0.000000,True,4
155,dyadic,0.000000,True,4
156,dyadic,0.000000,True,4
