idx,det_structure,det_states,noisy_max_phi,noisy_triadic
0,dyadic,4,0.000000,False
1,dyadic,4,0.000000,False
2,dyadic,4,0.000000,False
3,dyadic,4,0.000000,False
4,dyadic,4,0.000000,False
5,dyadic,4,0.000000,False
6,dyadic,4,0.000000,False
7,dyadic,4,0.000000,False
8,dyadic,4,0.000000,False
9,dyadic,4,0.000000,False
10,dyadic,4,0.000000,False
11,dyadic,4,0.000000,False
12,dyadic,4,0.000000,False
13,dyadic,4,0.000000,False
14,dyadic,4,0.000000,False
15,dyadic,2,0.000000,False
16,dyadic,4,0.000000,False
17,dyadic,4,0.000000,False
18,dyadic,4,0.000000,False
19,dyadic,4,0.000000,False
20,dyadic,2,0.000000,False
21,dyadic,4,0.000000,False
22,dyadic,4,0.000000,False
23,dyadic,4,0.000000,False
24,dyadic,4,0.000000,False
25,dyadic,4,0.000000,False
26,dyadic,2,0.000000,False
27,dyadic,4,0.000000,False
28,dyadic,4,0.000000,False
29,dyadic,4,0.000000,False
30,dyadic,4,0.000000,False
31,dyadic,4,0.000000,False
32,dyadic,2,0.000000,False
33,dyadic,4,0.000000,False
34,dyadic,4,0.000000,False
35,dyadic,4,0.000000,False
36,dyadic,4,0.000000,False
37,triadic,4,0.328591,True
38,dyadic,4,0.000000,False
39,dyadic,4,0.000000,False
40,dyadic,4,0.000000,False
41,dyadic,4,0.000000,False
42,dyadic,4,0.000000,False
43,dyadic,2,0.000000,False
44,dyadic,4,0.000000,False
45,dyadic,4,0.000000,False
46,dyadic,2,0.000000,False
47,dyadic,4,0.000000,False
48,dyadic,4,0.000000,False
49,dyadic,4,0.000000,False
50,dyadic,4,0.000000,False
51,dyadic,4,0.000000,False
52,dyadic,4,0.000000,False
53,dyadic,4,0.000000,False
54,dyadic,4,0.000000,False
55,dyadic,4,0.000000,False
56,dyadic,4,0.000000,False
57,dyadic,4,0.000000,False
58,dyadic,4,0.000000,False
59,dyadic,4,0.000000,False
60,dyadic,4,0.000000,False
61,dyadic,4,0.000000,False
62,dyadic,4,0.000000,False
63,dyadic,4,0.000000,False
