w_in_core,coalition,core_size,phi
False,False,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,False,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,False,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,False,0,-1.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,3,0.0377
False,True,2,2.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,0.0734
False,True,2,0.1101
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,3,0.8301
False,True,2,0.0734
False,True,2,2.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,0.1101
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,3,0.4150
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,0.0734
False,True,2,2.0000
False,True,2,2.0000
True,True,2,2.0000
False,True,2,2.0000
True,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,False,0,-1.0000
False,True,0,-1.0000
False,True,2,0.1101
False,True,2,0.1101
True,True,2,2.0000
True,False,2,2.0000
True,True,2,2.0000
True,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,False,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,False,2,2.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
True,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,2.0000
True,True,2,2.0000
True,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,0,-1.0000
False,True,0,-1.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,2,2.0000
False,True,3,6.0000
