label,triadic,phi_exact,EI,CE,O_info,phi_AR,phi_R
W0_S0_C0,0,0.0,0.0,0.0,-0.000524,0.000795,0.001059
W0_S1_C0,0,0.0,0.811278,0.188722,-0.000355,0.257441,0.135494
W0_S2_C0,0,0.0,0.811278,0.188722,-5e-05,0.003188,0.007825
W0_S3_C0,0,0.0,1.0,0.0,-0.000191,0.00121,0.002515
W0_S4_C0,0,0.0,0.811278,0.188722,-6e-06,0.002727,0.006555
W0_S5_C0,0,0.0,1.0,0.0,-1.6e-05,0.000235,0.000827
W0_S6_C0,0,0.0,1.0,0.0,-1.3e-05,0.161255,0.113574
W0_S7_C0,0,0.0,0.811278,0.188722,-7.2e-05,0.00138,0.001435
W0_S8_C0,0,0.0,0.811278,0.188722,-2e-06,0.001746,0.004223
W0_S9_C0,0,0.0,1.0,0.0,-5.9e-05,0.140294,0.109488
W0_S10_C0,0,0.0,1.0,0.0,-0.000846,0.000632,0.001133
W0_S11_C0,0,0.0,0.811278,0.188722,-1.4e-05,0.003523,0.000934
W0_S12_C0,0,0.0,1.0,0.0,-0.000195,0.00149,0.002111
W0_S13_C0,0,0.0,0.811278,0.188722,-2e-06,0.00187,0.001716
W0_S14_C0,0,0.0,0.811278,0.188722,-0.000159,0.234417,0.121951
W0_S15_C0,0,0.0,0.0,0.0,-7e-05,0.000251,0.000673
W0_S0_C1,0,0.0,1.0,0.0,-0.0,0.000988,0.001045
W0_S1_C1,0,0.0,1.811278,0.188722,-0.000111,0.056362,0.000802
W0_S2_C1,0,0.0,1.811278,0.107018,-5e-06,0.165472,0.1129
W0_S3_C1,0,0.0,2.0,0.0,0.0,0.000356,0.001234
W0_S4_C1,0,0.0,1.811278,0.188722,-3.5e-05,0.048077,0.000822
W0_S5_C1,0,0.0,2.0,0.0,-0.000274,0.282069,0.127527
W0_S6_C1,0,0.0,2.0,0.0,-2.2e-05,0.001174,0.0014
W0_S7_C1,0,0.0,1.811278,0.107018,-0.0,0.192159,0.113378
W0_S8_C1,0,0.0,1.811278,0.107018,-0.000385,0.010301,0.01661
W0_S9_C1,0,0.0,2.0,0.0,-0.000221,0.000526,0.001174
W0_S10_C1,0,0.0,2.0,0.0,-9.3e-05,0.299987,0.114381
W0_S11_C1,0,0.0,1.811278,0.188722,-0.000328,0.064006,0.002922
W0_S12_C1,0,0.0,2.0,0.0,-3.5e-05,0.000577,0.001953
W0_S13_C1,0,0.0,1.811278,0.107018,-3e-05,0.01341,0.014584
W0_S14_C1,0,0.0,1.811278,0.188722,-7e-06,0.050731,0.000373
W0_S15_C1,0,0.0,1.0,0.0,-0.000345,0.001075,0.000219
W0_S0_C2,0,0.0,1.0,0.0,-8.1e-05,0.001378,0.00092
W0_S1_C2,0,0.0,1.811278,0.188722,-9.7e-05,0.05163,0.000984
W0_S2_C2,0,0.0,1.811278,0.107018,-0.000296,0.007924,0.00194
W0_S3_C2,0,0.0,2.0,0.0,-0.000152,0.000387,0.000299
W0_S4_C2,0,0.0,1.811278,0.188722,-4e-06,0.05752,0.000524
W0_S5_C2,0,0.0,2.0,0.0,-0.000443,0.300412,0.003322
W0_S6_C2,0,0.0,2.0,0.0,-0.000273,0.000733,0.001333
W0_S7_C2,0,0.0,1.811278,0.107018,-0.000114,0.008266,0.002297
W0_S8_C2,0,0.0,1.811278,0.107018,-0.000432,0.183146,0.001007
W0_S9_C2,0,0.0,2.0,0.0,-2.5e-05,0.000318,0.001225
W0_S10_C2,0,0.0,2.0,0.0,-0.000484,0.24995,0.000625
W0_S11_C2,0,0.0,1.811278,0.188722,-0.0,0.058871,0.000507
W0_S12_C2,0,0.0,2.0,0.0,-3e-06,0.001485,-0.001168
W0_S13_C2,0,0.0,1.811278,0.107018,-0.000298,0.159591,0.000935
W0_S14_C2,0,0.0,1.811278,0.188722,-0.000239,0.063224,0.000794
W0_S15_C2,0,0.0,1.0,0.0,-5e-06,0.000349,0.002372
W0_S0_C3,0,0.0,0.0,0.0,-2e-06,0.000232,0.000615
W0_S1_C3,0,0.0,0.811278,0.188722,-9.3e-05,0.001806,0.002764
W0_S2_C3,0,0.0,0.811278,0.188722,-9.2e-05,0.002997,0.001213
W0_S3_C3,0,0.0,1.0,0.0,-0.000214,0.00045,0.000417
W0_S4_C3,0,0.0,0.811278,0.188722,-0.0001,0.221332,0.1457
W0_S5_C3,0,0.0,1.0,0.0,-0.000111,0.00089,0.000459
W0_S6_C3,0,0.0,1.0,0.0,2e-06,0.1687,0.116659
W0_S7_C3,0,0.0,0.811278,0.188722,-9e-06,0.00182,0.006344
W0_S8_C3,0,0.0,0.811278,0.188722,-0.000346,0.003168,0.001598
W0_S9_C3,0,0.0,1.0,0.0,-4.7e-05,0.169129,0.110229
W0_S10_C3,0,0.0,1.0,0.0,2e-06,0.000233,0.000398
W0_S11_C3,0,0.0,0.811278,0.188722,-0.000229,0.232443,0.10267
W0_S12_C3,0,0.0,1.0,0.0,5e-06,0.000586,0.002094
W0_S13_C3,0,0.0,0.811278,0.188722,-0.0001,0.002374,0.005092
W0_S14_C3,0,0.0,0.811278,0.188722,-4e-06,0.003115,0.006766
W0_S15_C3,0,0.0,0.0,0.0,-0.000824,0.000286,0.000873
W1_S0_C0,0,0.0,1.0,0.0,-0.000952,0.001896,0.001854
W1_S1_C0,0,0.0,1.811278,0.188722,-5.1e-05,0.077285,0.048641
W1_S2_C0,0,0.0,1.811278,0.188722,-1e-05,0.047899,0.034552
W1_S3_C0,0,0.0,2.0,0.0,-9.8e-05,0.255503,0.001523
W1_S4_C0,0,0.0,1.811278,0.107018,-9e-06,0.175958,0.099913
W1_S5_C0,0,0.0,2.0,0.0,-8e-06,0.001437,0.001121
W1_S6_C0,0,0.0,2.0,0.0,-6.7e-05,0.00044,0.001461
W1_S7_C0,0,0.0,1.811278,0.107018,-0.000358,0.180731,0.003169
W1_S8_C0,0,0.0,1.811278,0.107018,-0.000183,0.015768,0.01229
W1_S9_C0,0,0.0,2.0,0.0,-0.000296,0.000351,0.002841
W1_S10_C0,0,0.0,2.0,0.0,-4.3e-05,0.000428,0.001238
W1_S11_C0,0,0.0,1.811278,0.107018,-7.2e-05,0.005815,0.001743
W1_S12_C0,0,0.0,2.0,0.0,-0.000552,0.267254,0.122198
W1_S13_C0,0,0.0,1.811278,0.188722,-0.00021,0.060986,0.04483
W1_S14_C0,0,0.0,1.811278,0.188722,-7.3e-05,0.059117,0.028937
W1_S15_C0,0,0.0,1.0,0.0,-8.1e-05,0.000919,0.001196
W1_S0_C1,0,0.0,1.0,0.0,-9.3e-05,0.278774,0.087721
W1_S1_C1,1,2.0,1.811278,0.188722,1e-06,0.688109,0.00227
W1_S2_C1,0,0.0,1.811278,0.107018,-7.3e-05,0.444792,0.181492
W1_S3_C1,0,0.0,2.0,0.0,-8.1e-05,0.619302,0.000203
W1_S4_C1,0,0.0,1.811278,0.107018,0.000304,0.449139,0.173833
W1_S5_C1,0,0.0,2.0,0.0,3e-06,0.580623,0.001646
W1_S6_C1,1,0.5,2.0,0.0,-0.000521,0.452143,0.275595
W1_S7_C1,1,2.0,1.811278,0.188722,1.4e-05,0.697821,0.002955
W1_S8_C1,1,2.0,1.811278,0.188722,0.00269,0.635901,0.194266
W1_S9_C1,1,0.5,2.0,0.0,-5.7e-05,0.456286,0.278511
W1_S10_C1,0,0.0,2.0,0.0,0.000607,0.638717,0.000286
W1_S11_C1,0,0.0,1.811278,0.107018,-3.7e-05,0.451599,0.191728
W1_S12_C1,0,0.0,2.0,0.0,-0.000371,0.635723,0.003183
W1_S13_C1,0,0.0,1.811278,0.107018,-7.1e-05,0.421569,0.170597
W1_S14_C1,1,2.0,1.811278,0.188722,0.00024,0.635432,0.213819
W1_S15_C1,0,0.0,1.0,0.0,-4.2e-05,0.25663,0.07796
W1_S0_C2,0,0.0,1.0,0.0,1.8e-05,0.274332,0.001663
W1_S1_C2,0,0.0,1.811278,0.107018,-0.000167,0.422304,0.000909
W1_S2_C2,1,2.0,1.811278,0.188722,0.000803,0.622601,0.001895
W1_S3_C2,0,0.0,2.0,0.0,0.000113,0.586356,0.006078
W1_S4_C2,1,2.0,1.811278,0.188722,-0.000484,0.672253,-0.003418
W1_S5_C2,0,0.0,2.0,0.0,-3.5e-05,0.567099,0.001244
W1_S6_C2,1,0.5,2.0,0.0,-0.000206,0.472074,0.001285
W1_S7_C2,0,0.0,1.811278,0.107018,-0.000255,0.436662,0.000371
W1_S8_C2,0,0.0,1.811278,0.107018,-0.000152,0.468478,0.000853
W1_S9_C2,1,0.5,2.0,0.0,-0.000125,0.453836,0.001274
W1_S10_C2,0,0.0,2.0,0.0,-0.000286,0.630692,0.005536
W1_S11_C2,1,2.0,1.811278,0.188722,0.00105,0.592102,0.00569
W1_S12_C2,0,0.0,2.0,0.0,-0.000177,0.596218,0.000863
W1_S13_C2,1,2.0,1.811278,0.188722,-9.5e-05,0.67638,0.001892
W1_S14_C2,0,0.0,1.811278,0.107018,-8.4e-05,0.45613,0.002108
W1_S15_C2,0,0.0,1.0,0.0,-0.00022,0.266308,0.001317
W1_S0_C3,0,0.0,1.0,0.0,-1.7e-05,0.000898,0.000717
W1_S1_C3,0,0.0,1.811278,0.107018,-2.8e-05,0.199418,0.002746
W1_S2_C3,0,0.0,1.811278,0.107018,-0.000373,0.011148,0.001049
W1_S3_C3,0,0.0,2.0,0.0,-0.000368,0.231823,0.002069
W1_S4_C3,0,0.0,1.811278,0.188722,0.0,0.079917,0.050399
W1_S5_C3,0,0.0,2.0,0.0,-5.3e-05,0.00093,0.000606
W1_S6_C3,0,0.0,2.0,0.0,-1.1e-05,0.001087,0.000951
W1_S7_C3,0,0.0,1.811278,0.188722,-0.000369,0.075297,0.054456
W1_S8_C3,0,0.0,1.811278,0.188722,-1.1e-05,0.052658,0.044291
W1_S9_C3,0,0.0,2.0,0.0,-9e-06,0.000355,-0.000353
W1_S10_C3,0,0.0,2.0,0.0,2e-05,0.001614,0.001862
W1_S11_C3,0,0.0,1.811278,0.188722,-7.5e-05,0.051947,0.037817
W1_S12_C3,0,0.0,2.0,0.0,-3e-05,0.265028,0.111228
W1_S13_C3,0,0.0,1.811278,0.107018,-1.4e-05,0.17541,0.109397
W1_S14_C3,0,0.0,1.811278,0.107018,-9e-06,0.006699,0.014254
W1_S15_C3,0,0.0,1.0,0.0,-7e-06,0.001315,0.000506
W2_S0_C0,0,0.0,1.0,0.0,-0.000492,0.001005,0.001124
W2_S1_C0,0,0.0,1.811278,0.188722,-0.000419,0.051629,0.03463
W2_S2_C0,0,0.0,1.811278,0.188722,-1.7e-05,0.067172,0.051288
W2_S3_C0,0,0.0,2.0,0.0,-1e-06,0.278339,0.000887
W2_S4_C0,0,0.0,1.811278,0.107018,-0.000183,0.006969,0.011497
W2_S5_C0,0,0.0,2.0,0.0,-0.000847,0.000589,0.001177
W2_S6_C0,0,0.0,2.0,0.0,-1.6e-05,0.002267,0.000881
W2_S7_C0,0,0.0,1.811278,0.107018,-0.000387,0.007523,0.000322
W2_S8_C0,0,0.0,1.811278,0.107018,-1.2e-05,0.17475,0.1315
W2_S9_C0,0,0.0,2.0,0.0,-0.000434,0.000682,0.001139
W2_S10_C0,0,0.0,2.0,0.0,-0.00015,0.00053,0.003278
W2_S11_C0,0,0.0,1.811278,0.107018,-0.000247,0.146487,0.001418
W2_S12_C0,0,0.0,2.0,0.0,-1e-06,0.245796,0.196335
W2_S13_C0,0,0.0,1.811278,0.188722,-1.4e-05,0.047809,0.033157
W2_S14_C0,0,0.0,1.811278,0.188722,-0.001013,0.071718,0.047421
W2_S15_C0,0,0.0,1.0,0.0,-0.000337,0.001015,0.001112
W2_S0_C1,0,0.0,1.0,0.0,-0.000263,0.246128,0.102437
W2_S1_C1,0,0.0,1.811278,0.107018,-0.00024,0.499841,0.294525
W2_S2_C1,1,2.0,1.811278,0.188722,-1.8e-05,0.694801,0.00059
W2_S3_C1,0,0.0,2.0,0.0,-0.00014,0.645864,0.001581
W2_S4_C1,1,2.0,1.811278,0.188722,-0.000503,0.581028,0.237477
W2_S5_C1,0,0.0,2.0,0.0,0.001455,0.629946,0.001579
W2_S6_C1,1,0.5,2.0,0.0,-0.000295,0.461948,0.27107
W2_S7_C1,0,0.0,1.811278,0.107018,-4e-06,0.485931,0.266132
W2_S8_C1,0,0.0,1.811278,0.107018,0.001065,0.452728,0.161388
W2_S9_C1,1,0.5,2.0,0.0,-0.00025,0.430055,0.284085
W2_S10_C1,0,0.0,2.0,0.0,-4.7e-05,0.585873,0.001948
