C_in,M_in,core_size
False,False,0
False,False,0
False,False,0
False,False,0
True,False,2
True,False,2
True,False,2
True,False,2
True,False,3
True,False,2
False,True,3
True,False,2
True,False,2
True,False,2
False,True,3
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
False,False,2
True,False,2
True,False,2
True,False,2
False,True,3
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
False,True,3
True,False,2
True,False,3
True,False,2
True,False,2
False,True,3
True,False,2
True,False,3
True,False,3
True,False,3
True,False,3
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
False,True,3
True,False,2
True,False,2
True,False,2
False,True,3
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
True,False,2
