form,party,influence,in_core
0,W,0.0,False
0,C1,0.0,False
0,C2,0.0,False
1,W,0.25,True
1,C1,0.25,True
1,C2,0.25,True
2,W,0.25,True
2,C1,0.25,False
2,C2,0.25,False
3,W,0.0,False
3,C1,0.5,True
3,C2,0.5,True
4,W,0.25,False
4,C1,0.25,True
4,C2,0.25,False
5,W,0.5,True
5,C1,0.0,False
5,C2,0.5,True
6,W,0.5,True
6,C1,0.5,True
6,C2,0.5,False
7,W,0.25,False
7,C1,0.25,False
7,C2,0.75,True
8,W,0.25,False
8,C1,0.25,False
8,C2,0.25,True
9,W,0.5,False
9,C1,0.5,False
9,C2,0.5,True
10,W,0.5,True
10,C1,0.0,False
10,C2,0.5,False
11,W,0.25,False
11,C1,0.25,False
11,C2,0.75,True
12,W,0.0,False
12,C1,0.5,True
12,C2,0.5,False
13,W,0.25,False
13,C1,0.25,False
13,C2,0.75,True
14,W,0.25,False
14,C1,0.25,False
14,C2,0.75,True
15,W,0.0,False
15,C1,0.0,False
15,C2,1.0,True
16,W,0.25,False
16,C1,0.25,False
16,C2,0.25,True
17,W,0.5,True
17,C1,0.5,True
17,C2,0.0,False
18,W,0.5,True
18,C1,0.5,False
18,C2,0.5,True
19,W,0.25,False
19,C1,0.75,True
19,C2,0.25,False
20,W,0.5,False
20,C1,0.5,True
20,C2,0.5,True
21,W,0.75,True
21,C1,0.25,False
21,C2,0.25,False
22,W,0.75,True
22,C1,0.75,True
22,C2,0.75,True
23,W,0.5,False
23,C1,0.5,False
23,C2,0.5,False
24,W,0.5,False
24,C1,0.5,False
24,C2,0.5,False
25,W,0.75,True
25,C1,0.75,True
25,C2,0.25,False
26,W,0.75,True
26,C1,0.25,False
26,C2,0.75,True
27,W,0.5,False
27,C1,0.5,True
27,C2,0.5,False
28,W,0.25,False
28,C1,0.75,True
28,C2,0.75,True
29,W,0.5,True
29,C1,0.5,False
29,C2,0.5,False
30,W,0.5,False
30,C1,0.5,False
30,C2,1.0,True
31,W,0.25,False
31,C1,0.25,False
31,C2,0.75,True
32,W,0.25,False
32,C1,0.25,True
32,C2,0.25,False
33,W,0.5,False
33,C1,0.5,True
33,C2,0.5,False
34,W,0.5,True
34,C1,0.5,False
34,C2,0.0,False
35,W,0.25,False
35,C1,0.75,True
35,C2,0.25,False
36,W,0.5,False
36,C1,0.5,False
36,C2,0.5,False
37,W,0.75,True
37,C1,0.25,False
37,C2,0.75,True
38,W,0.75,True
38,C1,0.75,True
38,C2,0.25,False
39,W,0.5,False
39,C1,0.5,False
39,C2,0.5,True
40,W,0.5,False
40,C1,0.5,True
40,C2,0.5,True
41,W,0.75,True
41,C1,0.75,True
41,C2,0.75,True
42,W,0.75,True
42,C1,0.25,False
42,C2,0.25,False
43,W,0.5,False
43,C1,0.5,False
43,C2,0.5,True
44,W,0.25,False
44,C1,0.75,True
44,C2,0.75,True
45,W,0.5,False
45,C1,0.5,False
45,C2,1.0,True
46,W,0.5,True
46,C1,0.5,False
46,C2,0.5,False
47,W,0.25,False
47,C1,0.25,False
47,C2,0.75,True
48,W,0.0,False
48,C1,0.5,False
48,C2,0.5,True
49,W,0.25,False
49,C1,0.75,True
49,C2,0.25,False
50,W,0.25,False
50,C1,0.75,True
50,C2,0.25,False
51,W,0.0,False
51,C1,1.0,True
51,C2,0.0,False
52,W,0.25,False
52,C1,0.75,True
52,C2,0.75,True
53,W,0.5,True
53,C1,0.5,False
53,C2,0.5,False
54,W,0.5,False
54,C1,1.0,True
54,C2,0.5,False
55,W,0.25,False
55,C1,0.75,True
55,C2,0.25,False
56,W,0.25,False
56,C1,0.75,True
56,C2,0.75,True
57,W,0.5,False
57,C1,1.0,True
57,C2,0.5,False
58,W,0.5,True
58,C1,0.5,False
58,C2,0.5,False
59,W,0.25,False
59,C1,0.75,True
59,C2,0.25,False
60,W,0.0,False
60,C1,1.0,True
60,C2,1.0,True
61,W,0.25,False
61,C1,0.75,True
61,C2,0.75,True
62,W,0.25,False
62,C1,0.75,True
62,C2,0.75,True
63,W,0.0,False
63,C1,0.5,True
63,C2,0.5,True
64,W,0.25,True
64,C1,0.25,False
64,C2,0.25,False
65,W,0.5,True
65,C1,0.5,False
65,C2,0.5,False
66,W,0.5,False
66,C1,0.5,False
66,C2,0.5,False
67,W,0.25,False
67,C1,0.75,True
67,C2,0.75,True
68,W,0.5,False
68,C1,0.5,True
68,C2,0.0,False
69,W,0.75,True
69,C1,0.25,False
69,C2,0.25,False
70,W,0.75,True
70,C1,0.75,True
70,C2,0.25,False
71,W,0.5,False
71,C1,0.5,False
71,C2,0.5,True
72,W,0.5,True
72,C1,0.5,False
72,C2,0.5,True
73,W,0.75,True
73,C1,0.75,True
73,C2,0.75,True
74,W,0.75,True
74,C1,0.25,False
74,C2,0.75,True
75,W,0.5,False
75,C1,0.5,False
75,C2,1.0,True
76,W,0.25,False
76,C1,0.75,True
76,C2,0.25,False
77,W,0.5,False
77,C1,0.5,False
77,C2,0.5,True
78,W,0.5,False
78,C1,0.5,True
78,C2,0.5,False
79,W,0.25,False
79,C1,0.25,False
79,C2,0.75,True
80,W,0.5,False
80,C1,0.0,False
80,C2,0.5,True
81,W,0.75,True
81,C1,0.25,False
81,C2,0.25,False
82,W,0.75,True
82,C1,0.25,False
82,C2,0.75,True
83,W,0.5,False
83,C1,0.5,True
83,C2,0.5,False
84,W,0.75,True
84,C1,0.25,False
84,C2,0.25,False
85,W,1.0,True
85,C1,0.0,False
85,C2,0.0,False
86,W,1.0,True
86,C1,0.5,False
86,C2,0.5,False
87,W,0.75,True
87,C1,0.25,False
87,C2,0.25,False
88,W,0.75,True
88,C1,0.25,False
88,C2,0.75,True
89,W,1.0,True
89,C1,0.5,False
89,C2,0.5,False
90,W,1.0,True
90,C1,0.0,False
90,C2,1.0,True
91,W,0.75,True
91,C1,0.25,False
91,C2,0.75,True
92,W,0.5,False
92,C1,0.5,True
92,C2,0.5,False
93,W,0.75,True
93,C1,0.25,False
93,C2,0.25,False
94,W,0.75,True
94,C1,0.25,False
94,C2,0.75,True
95,W,0.5,True
95,C1,0.0,False
95,C2,0.5,True
96,W,0.5,True
96,C1,0.5,True
96,C2,0.5,False
