n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic
0,0,0,0.0,0.0,0.0,1,1,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
1,0,0,0.0,0.0,0.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
1,0,0,0.0,0.0,0.0,1,2,0,1,0
2,0,0,0.0,0.0,0.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
2,0,0,0.0,0.0,0.0,1,2,0,1,0
1,0,0,0.0,0.0,0.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
1,0,0,0.0,0.0,0.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
0,0,0,0.0,0.0,0.0,1,1,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
4,2,0,2.0,0.0,1.0,2,4,0,2,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
3,2,0,1.0,0.0,1.0,2,4,0,2,0
4,2,0,2.0,0.0,1.0,0,4,0,4,0
3,1,0,1.0,0.0,1.0,1,3,0,1,0
4,2,0,1.0,0.0,1.0,0,4,0,4,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
4,2,0,1.0,0.0,1.0,2,4,0,2,0
3,1,0,1.0,0.0,1.0,1,3,0,1,0
4,2,0,2.0,0.0,1.0,2,4,0,2,0
3,2,0,1.0,0.0,1.0,0,4,0,4,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
4,2,0,2.0,0.0,1.0,0,4,0,4,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
4,2,0,2.0,0.0,1.0,1,4,0,1,0
3,2,0,1.0,0.0,1.0,1,4,0,1,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
3,1,0,1.0,0.0,1.0,1,3,0,1,0
4,2,0,1.0,0.0,1.0,1,4,0,1,0
4,2,0,2.0,0.0,1.0,1,4,0,1,0
4,2,0,2.0,0.0,1.0,1,4,0,1,0
4,2,0,1.0,0.0,1.0,1,4,0,1,0
3,1,0,1.0,0.0,1.0,1,3,0,1,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
3,2,0,1.0,0.0,1.0,1,4,0,1,0
4,2,0,2.0,0.0,1.0,1,4,0,1,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
1,0,0,0.0,0.0,0.0,1,2,0,1,0
3,2,0,1.0,0.0,1.0,2,4,0,2,0
3,2,0,1.0,0.0,1.0,1,4,0,1,0
2,2,0,0.0,0.0,0.0,2,4,0,2,0
3,2,0,1.0,0.0,1.0,0,4,0,4,0
2,1,0,0.0,0.0,0.0,1,4,0,1,0
3,2,0,0.0,0.0,0.0,0,4,0,4,0
3,2,0,1.0,0.0,1.0,1,4,0,1,0
3,2,0,1.0,0.0,1.0,1,4,0,1,0
3,2,0,0.0,0.0,0.0,2,4,0,2,0
2,1,0,0.0,0.0,0.0,1,4,0,1,0
3,2,0,1.0,0.0,1.0,2,4,0,2,0
2,2,0,0.0,0.0,0.0,0,4,0,4,0
3,2,0,1.0,0.0,1.0,1,4,0,1,0
3,2,0,1.0,0.0,1.0,0,4,0,4,0
1,0,0,0.0,0.0,0.0,1,2,0,1,0
2,0,0,1.0,0.0,1.0,1,2,0,1,0
4,2,0,2.0,0.0,1.0,0,4,0,4,0
4,2,0,2.0,0.0,1.0,1,3,0,1,0
3,2,0,1.0,0.0,1.0,0,4,0,4,0
