form,structure,noise,seed,exact_phi_det,exact_phi_noisy,proxy_phi_r,proxy_phi_wms
chat_dyad,dyadic,0.05,1,0.000000,0.000000,0.003464,0.000247
chat_dyad,dyadic,0.05,2,0.000000,0.000000,0.015892,0.001610
chat_dyad,dyadic,0.05,3,0.000000,0.000000,0.006049,0.000495
chat_dyad,dyadic,0.1,1,0.000000,0.000000,0.004785,0.000632
chat_dyad,dyadic,0.1,2,0.000000,0.000000,0.005729,0.001475
chat_dyad,dyadic,0.1,3,0.000000,0.000000,0.001160,0.000323
chat_dyad,dyadic,0.2,1,0.000000,0.000000,0.000416,0.000416
chat_dyad,dyadic,0.2,2,0.000000,0.000000,0.000722,0.000722
chat_dyad,dyadic,0.2,3,0.000000,0.000000,0.006453,0.001476
gig_dyadic_model,dyadic,0.05,1,0.000000,0.000000,0.064752,0.064752
gig_dyadic_model,dyadic,0.05,2,0.000000,0.000000,0.067845,0.059893
gig_dyadic_model,dyadic,0.05,3,0.000000,0.000000,0.066358,0.059975
gig_dyadic_model,dyadic,0.1,1,0.000000,0.000000,0.102539,0.090393
gig_dyadic_model,dyadic,0.1,2,0.000000,0.000000,0.101502,0.091548
gig_dyadic_model,dyadic,0.1,3,0.000000,0.000000,0.086120,0.086120
gig_dyadic_model,dyadic,0.2,1,0.000000,0.000000,0.018073,0.016870
gig_dyadic_model,dyadic,0.2,2,0.000000,0.000000,0.017000,0.017000
gig_dyadic_model,dyadic,0.2,3,0.000000,0.000000,0.019674,0.019674
ats_strict_bottleneck,triadic,0.05,1,2.000000,1.533412,0.257015,0.183904
ats_strict_bottleneck,triadic,0.05,2,2.000000,1.533412,0.255429,0.191290
ats_strict_bottleneck,triadic,0.05,3,2.000000,1.533412,0.239381,0.182719
ats_strict_bottleneck,triadic,0.1,1,2.000000,1.155438,0.006892,0.001013
ats_strict_bottleneck,triadic,0.1,2,2.000000,1.155438,-0.001311,0.000779
ats_strict_bottleneck,triadic,0.1,3,2.000000,1.155438,0.195170,0.162961
ats_strict_bottleneck,triadic,0.2,1,2.000000,0.610634,0.000153,0.000422
ats_strict_bottleneck,triadic,0.2,2,2.000000,0.610634,-0.001471,0.000146
ats_strict_bottleneck,triadic,0.2,3,2.000000,0.610634,0.000522,0.000522
ats_feedback_factors,dyadic,0.05,1,0.000000,0.000000,0.076640,0.030571
ats_feedback_factors,dyadic,0.05,2,0.000000,0.000000,0.076646,0.038231
ats_feedback_factors,dyadic,0.05,3,0.000000,0.000000,0.070226,0.025782
ats_feedback_factors,dyadic,0.1,1,0.000000,0.000000,0.057604,0.033656
ats_feedback_factors,dyadic,0.1,2,0.000000,0.000000,0.047060,0.030346
ats_feedback_factors,dyadic,0.1,3,0.000000,0.000000,0.051901,0.030285
ats_feedback_factors,dyadic,0.2,1,0.000000,0.000000,0.027303,0.018628
ats_feedback_factors,dyadic,0.2,2,0.000000,0.000000,0.023179,0.013467
ats_feedback_factors,dyadic,0.2,3,0.000000,0.000000,0.014900,0.012991
gig_false_dyad,triadic,0.05,1,2.000000,1.533412,0.225516,0.225516
gig_false_dyad,triadic,0.05,2,2.000000,1.533412,0.198737,0.198737
gig_false_dyad,triadic,0.05,3,2.000000,1.533412,0.202110,0.202110
gig_false_dyad,triadic,0.1,1,2.000000,1.155438,0.256706,0.256706
gig_false_dyad,triadic,0.1,2,2.000000,1.155438,0.248330,0.248330
gig_false_dyad,triadic,0.1,3,2.000000,1.155438,0.253988,0.253988
gig_false_dyad,triadic,0.2,1,2.000000,0.610634,0.152418,0.152418
gig_false_dyad,triadic,0.2,2,2.000000,0.610634,0.163831,0.163831
gig_false_dyad,triadic,0.2,3,2.000000,0.610634,0.156040,0.156040
pure_relay,dyadic,0.05,1,0.000000,0.000000,0.243813,-0.142307
pure_relay,dyadic,0.05,2,0.000000,0.000000,0.237832,-0.134515
pure_relay,dyadic,0.05,3,0.000000,0.000000,0.241485,-0.146863
pure_relay,dyadic,0.1,1,0.000000,0.000000,0.141403,0.017105
pure_relay,dyadic,0.1,2,0.000000,0.000000,0.136577,0.011088
pure_relay,dyadic,0.1,3,0.000000,0.000000,0.138416,0.010856
pure_relay,dyadic,0.2,1,0.000000,0.000000,0.030222,0.018748
pure_relay,dyadic,0.2,2,0.000000,0.000000,0.029572,0.022555
pure_relay,dyadic,0.2,3,0.000000,0.000000,0.024040,0.015158
two_sided_match,triadic,0.05,1,2.000000,1.533412,0.257015,0.183904
two_sided_match,triadic,0.05,2,2.000000,1.533412,0.255429,0.191290
two_sided_match,triadic,0.05,3,2.000000,1.533412,0.239381,0.182719
two_sided_match,triadic,0.1,1,2.000000,1.155438,0.006892,0.001013
two_sided_match,triadic,0.1,2,2.000000,1.155438,-0.001311,0.000779
two_sided_match,triadic,0.1,3,2.000000,1.155438,0.195170,0.162961
two_sided_match,triadic,0.2,1,2.000000,0.610634,0.000153,0.000422
two_sided_match,triadic,0.2,2,2.000000,0.610634,-0.001471,0.000146
two_sided_match,triadic,0.2,3,2.000000,0.610634,0.000522,0.000522
hierarchy_backchannel,dyadic,0.05,1,0.000000,0.000000,0.296595,0.219759
hierarchy_backchannel,dyadic,0.05,2,0.000000,0.000000,0.251503,0.251503
hierarchy_backchannel,dyadic,0.05,3,0.000000,0.000000,0.267504,0.197473
hierarchy_backchannel,dyadic,0.1,1,0.000000,0.000000,0.229485,0.187649
hierarchy_backchannel,dyadic,0.1,2,0.000000,0.000000,0.241168,0.201639
hierarchy_backchannel,dyadic,0.1,3,0.000000,0.000000,0.230377,0.186685
hierarchy_backchannel,dyadic,0.2,1,0.000000,0.000000,0.109182,0.097751
hierarchy_backchannel,dyadic,0.2,2,0.000000,0.000000,0.113334,0.095375
hierarchy_backchannel,dyadic,0.2,3,0.000000,0.000000,0.108711,0.094436
