n,period,g,phi_mip,verdict,mip,g_star
3,3,1,2.000000,triadic,"3 parts: {x0,x1,x2}",3
3,3,2,2.000000,triadic,"3 parts: {x0,x1,x2}",3
3,3,3,0.000000,dyadic,(factors),3
3,3,4,2.000000,triadic,"3 parts: {x0,x1,x2}",3
4,4,1,2.000000,triadic,"3 parts: {x0,x1,x2x3}",2
4,4,2,0.000000,dyadic,(factors),2
4,4,3,2.000000,triadic,"3 parts: {x0,x1,x2x3}",2
4,4,4,0.000000,dyadic,(factors),2
4,4,5,2.000000,triadic,"3 parts: {x0,x1,x2x3}",2
5,5,1,2.000000,triadic,"3 parts: {x0,x1x2,x3x4}",5
5,5,2,2.000000,triadic,"3 parts: {x0,x1x3,x2x4}",5
5,5,3,2.000000,triadic,"3 parts: {x0,x1x3,x2x4}",5
5,5,4,2.000000,triadic,"3 parts: {x0,x1x2,x3x4}",5
5,5,5,0.000000,dyadic,(factors),5
5,5,6,2.000000,triadic,"3 parts: {x0,x1x2,x3x4}",5
6,6,1,2.000000,triadic,"3 parts: {x0,x1x2,x3x4x5}",2
6,6,2,0.000000,dyadic,(factors),2
6,6,3,0.000000,dyadic,(factors),2
6,6,4,0.000000,dyadic,(factors),2
6,6,5,2.000000,triadic,"3 parts: {x0,x1x2,x3x4x5}",2
6,6,6,0.000000,dyadic,(factors),2
6,6,7,2.000000,triadic,"3 parts: {x0,x1x2,x3x4x5}",2
