P1_TT_d,P1_TT_n,P2_TT_d,P2_TT_n
0.22702423,0.26757616,0.006,0.0
0.47086091,0.2343331,0.0083666003,0.0067082039
0.14652304,0.16225289,0.0067082039,0.006
0.4047283,0.023194827,0.0090553851,0.010392305
0.071874891,0.043416587,0.0073484692,0.0067082039
0.10543719,0.068709534,0.0051961524,0.0073484692
0.027166155,0.20626439,0.0067082039,0.012727922
0.037589892,0.20748253,0.0,0.0
0.018248288,0.03720215,0.003,0.0067082039
0.044519659,0.19576772,0.006,0.0
0.24362882,0.13751364,0.0051961524,0.0
0.44922377,0.10776363,0.003,0.0067082039
0.72642205,0.087749644,0.0042426407,0.009
0.20824505,0.1675858,0.0042426407,0.0084852814
0.34516373,0.38931992,0.0042426407,0.006
0.085023526,0.24664752,0.0067082039,0.010392305
0.24975188,0.11907141,0.0042426407,0.0067082039
0.053563047,0.40100125,0.0051961524,0.006
0.18319389,0.18577944,0.0042426407,0.009
0.11271646,0.080529498,0.0065574385,0.0067082039
0.109252,0.36890243,0.0058309519,0.009
0.16428634,0.53279358,0.0067082039,0.003
0.1938195,0.35821083,0.003,0.0067082039
0.15305228,0.10176443,0.03906405,0.0067082039
0.13411935,0.30974344,0.039522146,0.011224972
0.16623477,0.12675962,0.0073484692,0.0067082039
0.081498466,0.13848827,0.015297059,0.0067082039
0.20913393,0.31133423,0.0067082039,0.0
0.22885367,0.27227192,0.012369317,0.003
0.14021769,0.40079546,0.015297059,0.003
0.1651242,0.51801737,0.009486833,0.003
0.095399161,0.52958946,0.0,0.0042426407
0.13391789,0.12603571,0.0042426407,0.0042426407
0.15811705,0.71257421,0.0067082039,0.012727922
0.22673773,0.63648566,0.009,0.006
0.34400581,0.16138773,0.012884099,0.014696938
0.026019224,0.471698,0.0078102497,0.013076697
0.20806009,0.2012809,0.0042426407,0.018493242
0.17704802,0.4981295,0.0042426407,0.0067082039
0.2476873,0.36865295,0.006,0.018493242
0.78889099,0.52077346,0.003,0.011224972
0.63991953,0.33838144,0.0073484692,0.0099498744
0.50108881,0.21805962,0.009486833,0.010392305
0.6282006,0.49615018,0.0042426407,0.010392305
0.68858405,0.6516318,0.011224972,0.003
0.15602564,0.26666271,0.009486833,0.003
0.029681644,0.14162274,0.0073484692,0.012727922
0.045055521,0.20181675,0.009,0.009
0.050576674,0.14270599,0.003,0.032449961
0.051419841,0.23153617,0.0042426407,0.013747727
0.014142136,0.11663619,0.0067082039,0.012727922
0.0051961524,0.33802219,0.0051961524,0.003
0.025238859,0.51280698,0.003,0.0051961524
0.013341664,0.16737085,0.0042426407,0.0067082039
0.021213203,0.19084025,0.006,0.011224972
0.018493242,0.49008265,0.0042426407,0.014696938
0.026570661,0.38685656,0.0,0.0067082039
0.02293469,1.0842085,0.003,0.013747727
0.0073484692,0.75154574,0.0042426407,0.0067082039
0.04240283,0.18326211,0.0067082039,0.003
0.26163524,0.41359884,0.0042426407,0.003
0.24842705,0.52800189,0.0067082039,0.009
0.89799388,0.37238421,0.0073484692,0.010816654
0.64784798,0.10672394,0.009486833,0.0042426407
0.14973644,0.07675285,0.003,0.0042426407
0.091547802,0.027622455,0.0051961524,0.009
0.14242893,0.035468296,0.006,0.003
0.32951328,0.036235342,0.006,0.011224972
0.2037523,0.028930952,0.003,0.010816654
0.086313383,0.02879236,0.009486833,0.0042426407
0.071805292,0.054009258,0.018920888,0.009486833
0.32759273,0.019313208,0.027586228,0.003
0.33142571,0.0087177979,0.025,0.003
0.19564253,0.031016125,0.021931712,0.0042426407
0.20509998,0.014317821,0.032,0.0042426407
0.077601546,0.020469489,0.032,0.006
0.11496521,0.011401754,0.0083666003,0.0084852814
0.077601546,0.0084852814,0.014696938,0.0042426407
0.17909216,0.011224972,0.016155494,0.0099498744
0.13085106,0.056356011,0.034842503,0.0042426407
0.047801674,0.026832816,0.054460995,0.006
0.13507405,0.043863424,0.028106939,0.009
0.1676216,0.013076697,0.039862263,0.009
0.70133373,0.021,0.03021589,0.0
0.19154634,0.010816654,0.013076697,0.010816654
0.089693924,0.024083189,0.0067082039,0.0073484692
0.11800847,0.022135944,0.0067082039,0.006
0.079012657,0.003,0.026324893,0.011224972
0.15666844,0.029206164,0.006,0.0042426407
0.10389418,0.071372264,0.013747727,0.003
0.18181584,0.047169906,0.014525839,0.0067082039
0.13307892,0.003,0.017349352,0.009486833
0.11086027,0.030364453,0.017349352,0.0042426407
0.3368234,0.041400483,0.009,0.0073484692
0.23915894,0.079328431,0.0078102497,0.006
0.1774993,0.045177428,0.020736441,0.0067082039
0.11398684,0.082831154,0.030561414,0.0042426407
0.03471311,0.035805028,0.015588457,0.0051961524
0.17773295,0.036891733,0.016155494,0.033196385
0.18031916,0.022737634,0.087166507,0.032449961
0.22162355,0.010440307,0.053347915,0.016911535
0.21475568,0.021656408,0.069238717,0.012369317
0.30356713,0.019209373,0.023,0.0067082039
0.86446168,0.029529646,0.0073484692,0.003
0.93607799,0.030166206,0.012529964,0.0073484692
0.33268003,0.014,0.003,0.0042426407
0.32906686,0.016673332,0.0042426407,0.003
0.35969153,0.019849433,0.006,0.0067082039
0.1386903,0.028071338,0.0051961524,0.0084852814
0.31276349,0.020099751,0.0084852814,0.0073484692
0.31843524,0.003,0.0042426407,0.0067082039
0.13420134,0.012,0.0067082039,0.0042426407
0.1784993,0.012727922,0.009,0.003
0.11032226,0.003,0.005,0.0067082039
0.15135719,0.0084852814,0.01421267,0.003
0.25330811,0.006,0.0084852814,0.0067082039
0.22499111,0.010816654,0.0067082039,0.003
0.31423558,0.009,0.006,0.0
0.320601,0.0042426407,0.0067082039,0.0
0.14192251,0.0036055513,0.0042426407,0.003
0.2468218,0.0065574385,0.0099498744,0.0067082039
0.13241224,0.011224972,0.012727922,0.0042426407
0.11266321,0.0083666003,0.0051961524,0.0067082039
0.016643317,0.0042426407,0.0083666003,0.009486833
0.049769469,0.0036055513,0.010723805,0.0073484692
0.17066048,0.0042426407,0.0067082039,0.0042426407
0.06306346,0.0067082039,0.11605602,0.0067082039
0.33019085,0.0042426407,0.084717177,0.0067082039
0.082613558,0.011789826,0.07542546,0.0067082039
0.1899263,0.017,0.1005485,0.003
0.12831212,0.020518285,0.041255303,0.009
0.18479177,0.015,0.073498299,0.0099498744
0.035355339,0.022869193,0.04596738,0.009486833
0.13851354,0.016431677,0.076694198,0.006
0.18923795,0.01029563,0.034612137,0.0067082039
0.30492458,0.006,0.16526948,0.0042426407
0.40765672,0.010723805,0.22590927,0.0073484692
0.40242888,0.009,0.33135479,0.0
0.36315424,0.011401754,0.16034026,0.0
0.23598729,0.011,0.23259622,0.006
0.15611854,0.0042426407,0.20964971,0.009486833
0.069555733,0.012369317,0.32786888,0.0099498744
0.049819675,0.0099498744,0.16215425,0.0067082039
0.092190021,0.0067082039,0.12151132,0.0051961524
0.45440621,0.0051961524,0.095859272,0.0042426407
0.17100292,0.0067082039,0.058881236,0.0067082039
0.24701012,0.003,0.172676,0.009
0.18980253,0.0073484692,0.14308739,0.023194827
1.1025575,0.0067082039,0.065007692,0.027294688
0.35695798,0.011224972,0.069949982,0.021213203
0.45734451,0.01421267,0.048414874,0.0099498744
0.43037077,0.013453624,0.060299254,0.016155494
0.48625096,0.003,0.053619026,0.0099498744
0.68835892,0.014525839,0.080554329,0.019209373
0.36175821,0.015524175,0.3361339,0.031575307
0.17633491,0.012529964,0.12751471,0.023452079
0.25393306,0.0083666003,0.16898225,0.016155494
0.22643984,0.0083666003,0.169,0.014071247
0.16237611,0.0067082039,0.12817566,0.025099801
0.34484344,0.010440307,0.38074401,0.012727922
0.28980683,0.012369317,0.06601515,0.019442222
0.14089003,0.011224972,0.45274717,0.011224972
0.15689806,0.009486833,0.74957788,0.010816654
0.13825339,0.0042426407,0.4984837,0.017748239
0.12478381,0.0051961524,0.44592937,0.013747727
0.077633756,0.0073484692,0.48410226,0.009486833
0.11308846,0.0073484692,0.94593657,0.015297059
0.22251292,0.0073484692,0.33209637,0.027166155
0.157,0.0067082039,0.41489276,0.017748239
0.11597414,0.013453624,0.26082561,0.018493242
0.19076949,0.010440307,0.081859636,0.0073484692
