listener,narrator
10,2
2,2
2,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,2
10,2
10,2
10,2
10,2
10,5
10,5
10,5
10,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,11
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,11
6,5
6,5
6,5
6,11
6,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,11
10,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
2,6
2,6
2,6
2,6
2,6
2,6
10,11
10,2
10,2
10,2
10,2
5,2
5,2
5,2
5,2
5,2
5,2
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
10,3
4,3
10,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
10,3
3,11
3,11
3,5
3,5
3,5
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
10,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
2,4
2,11
2,11
2,11
2,11
2,11
3,11
3,11
3,11
3,5
3,5
3,5
3,5
3,4
3,4
3,4
3,4
3,4
3,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
5,4
10,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
6,4
6,4
6,4
6,4
10,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
10,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
10,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
3,4
3,4
3,4
3,4
3,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
3,4
2,4
10,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,11
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,11
10,11
10,11
10,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
5,4
5,4
5,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
3,4
3,4
3,4
2,4
2,4
2,4
2,4
2,4
10,4
10,4
4,4
4,4
4,11
4,5
10,5
1,5
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,11
10,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,11
4,1
4,1
4,1
10,1
10,1
10,1
10,1
10,1
10,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,11
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,11
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
6,3
6,11
6,6
6,11
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,11
6,11
6,11
10,11
5,11
5,11
5,11
5,11
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
10,6
10,6
10,6
6,6
6,6
6,11
6,3
6,3
6,3
6,11
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,5
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
10,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
2,3
2,3
2,3
2,11
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
10,6
1,6
1,6
1,6
1,6
1,6
1,11
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,11
10,6
10,6
10,6
10,6
10,6
10,6
10,6
10,6
10,6
10,6
10,11
10,3
10,3
10,3
10,2
10,2
10,2
10,1
