idx,max_phi,conjunctive_strict
341,2.000000,False
348,2.000000,False
426,2.000000,False
428,2.000000,False
453,2.000000,False
458,2.000000,False
565,2.000000,False
570,2.000000,False
595,2.000000,False
602,2.000000,False
675,2.000000,False
677,2.000000,False
803,2.000000,False
812,2.000000,False
817,2.000000,False
823,2.000000,False
824,2.000000,False
830,2.000000,False
835,2.000000,False
844,2.000000,False
850,2.000000,False
852,2.000000,False
854,2.000000,False
857,2.000000,False
859,2.000000,False
861,2.000000,False
867,2.000000,False
876,2.000000,False
915,2.000000,False
924,2.000000,False
929,2.000000,False
934,2.000000,False
935,2.000000,False
936,2.000000,False
937,2.000000,False
942,2.000000,False
947,2.000000,False
956,2.000000,False
962,2.000000,False
964,2.000000,False
971,2.000000,False
973,2.000000,False
979,2.000000,False
988,2.000000,False
1077,2.000000,False
1082,2.000000,False
1107,2.000000,False
1114,2.000000,False
1187,2.000000,False
1189,2.000000,False
1299,2.000000,True
1306,2.000000,False
1317,2.000000,False
1324,2.000000,False
1330,2.000000,False
1332,2.000000,False
1334,2.000000,False
1337,2.000000,False
1339,2.000000,False
1341,2.000000,False
1349,2.000000,False
1356,2.000000,False
1381,2.000000,False
1386,2.000000,False
1395,2.000000,False
1402,2.000000,False
1411,2.000000,False
1418,2.000000,False
1429,2.000000,False
1434,2.000000,False
1461,2.000000,False
1468,2.000000,False
1474,2.000000,False
1476,2.000000,False
1478,2.000000,False
1481,2.000000,False
1483,2.000000,False
1485,2.000000,False
1493,2.000000,False
1500,2.000000,False
1507,2.000000,False
1514,2.000000,False
1589,2.000000,False
1594,2.000000,False
1619,2.000000,False
1628,2.000000,False
1699,2.000000,False
1708,2.000000,False
1733,2.000000,False
1738,2.000000,False
1877,2.000000,False
1884,2.000000,False
1962,2.000000,False
1964,2.000000,False
1989,2.000000,False
1994,2.000000,False
2133,2.000000,False
2140,2.000000,False
2218,2.000000,False
2220,2.000000,False
2245,2.000000,False
2250,2.000000,False
2357,2.000000,False
2362,2.000000,False
2387,2.000000,False
2396,2.000000,False
2467,2.000000,False
2476,2.000000,False
2501,2.000000,False
2506,2.000000,False
2586,2.000000,False
2588,2.000000,True
2595,2.000000,False
2597,2.000000,False
2609,2.000000,False
2614,2.000000,False
2615,2.000000,False
2616,2.000000,False
2617,2.000000,False
2622,2.000000,False
2627,2.000000,False
2629,2.000000,False
2661,2.000000,False
2666,2.000000,False
2682,2.000000,False
2684,2.000000,False
2698,2.000000,False
2700,2.000000,False
2709,2.000000,False
2714,2.000000,False
2739,2.000000,False
2741,2.000000,False
2753,2.000000,False
2758,2.000000,False
2759,2.000000,False
2760,2.000000,False
2761,2.000000,False
2766,2.000000,False
2771,2.000000,False
2773,2.000000,False
2794,2.000000,False
2796,2.000000,False
2869,2.000000,False
2874,2.000000,False
2899,2.000000,False
2906,2.000000,False
2979,2.000000,False
2981,2.000000,False
3091,2.000000,False
3100,2.000000,False
3122,2.000000,False
3124,2.000000,False
3131,2.000000,False
3133,2.000000,False
3154,2.000000,False
3156,2.000000,False
3158,2.000000,False
3161,2.000000,False
3163,2.000000,False
3165,2.000000,False
3171,2.000000,False
3180,2.000000,False
3187,2.000000,False
3196,2.000000,False
3203,2.000000,False
3212,2.000000,False
3219,2.000000,False
3228,2.000000,False
3233,2.000000,False
3238,2.000000,False
3239,2.000000,False
3240,2.000000,False
3241,2.000000,False
3246,2.000000,False
3265,2.000000,False
3271,2.000000,False
3272,2.000000,False
3278,2.000000,False
3299,2.000000,False
3308,2.000000,False
3381,2.000000,False
3386,2.000000,False
3411,2.000000,False
3418,2.000000,False
3491,2.000000,False
3493,2.000000,False
3669,2.000000,False
3676,2.000000,False
3754,2.000000,False
3756,2.000000,False
3781,2.000000,False
3786,2.000000,False
