label,w_index,c_index,asymmetric,structure,max_phi
W0_S7_C0,0,0,False,dyadic,0.000000
W0_S7_C1,0,1,True,dyadic,0.000000
W0_S7_C2,0,2,True,dyadic,0.000000
W0_S7_C3,0,3,True,dyadic,0.000000
W1_S7_C0,1,0,True,dyadic,0.000000
W1_S7_C1,1,1,False,triadic,2.000000
W1_S7_C2,1,2,True,dyadic,0.000000
W1_S7_C3,1,3,True,dyadic,0.000000
W2_S7_C0,2,0,True,dyadic,0.000000
W2_S7_C1,2,1,True,dyadic,0.000000
W2_S7_C2,2,2,False,triadic,2.000000
W2_S7_C3,2,3,True,dyadic,0.000000
W3_S7_C0,3,0,True,dyadic,0.000000
W3_S7_C1,3,1,True,dyadic,0.000000
W3_S7_C2,3,2,True,dyadic,0.000000
W3_S7_C3,3,3,False,dyadic,0.000000
