label,topology,structure,max_phi
W1_S2_C1,worker_and,triadic,0.830075
W1_S2_C1,counterpart_and,triadic,0.415037
W1_S2_C1,symmetric_and,triadic,0.830075
W1_S2_C1,worker_or,triadic,0.415037
W1_S2_C1,counterpart_or,dyadic,0.000000
W1_S2_C1,symmetric_or,triadic,0.830075
W1_S2_C1,cross_wor_cand,triadic,0.830075
W1_S2_C1,cross_wand_cor,dyadic,0.000000
W1_S2_C1,worker_xor,triadic,0.415037
W1_S2_C1,counterpart_xor,triadic,2.000000
W1_S2_C1,symmetric_xor,triadic,2.000000
W1_S4_C1,worker_and,triadic,0.415037
W1_S4_C1,counterpart_and,triadic,0.830075
W1_S4_C1,symmetric_and,triadic,0.830075
W1_S4_C1,worker_or,dyadic,0.000000
W1_S4_C1,counterpart_or,triadic,0.415037
W1_S4_C1,symmetric_or,triadic,0.830075
W1_S4_C1,cross_wor_cand,dyadic,0.000000
W1_S4_C1,cross_wand_cor,triadic,0.830075
W1_S4_C1,worker_xor,triadic,2.000000
W1_S4_C1,counterpart_xor,triadic,0.415037
W1_S4_C1,symmetric_xor,triadic,2.000000
W1_S11_C1,worker_and,triadic,0.415037
W1_S11_C1,counterpart_and,dyadic,0.000000
W1_S11_C1,symmetric_and,triadic,0.830075
W1_S11_C1,worker_or,triadic,0.830075
W1_S11_C1,counterpart_or,triadic,0.415037
W1_S11_C1,symmetric_or,triadic,0.830075
W1_S11_C1,cross_wor_cand,dyadic,0.000000
W1_S11_C1,cross_wand_cor,triadic,0.830075
W1_S11_C1,worker_xor,triadic,2.000000
W1_S11_C1,counterpart_xor,triadic,0.415037
W1_S11_C1,symmetric_xor,triadic,2.000000
W1_S13_C1,worker_and,dyadic,0.000000
W1_S13_C1,counterpart_and,triadic,0.415037
W1_S13_C1,symmetric_and,triadic,0.830075
W1_S13_C1,worker_or,triadic,0.415037
W1_S13_C1,counterpart_or,triadic,0.830075
W1_S13_C1,symmetric_or,triadic,0.830075
W1_S13_C1,cross_wor_cand,triadic,0.830075
W1_S13_C1,cross_wand_cor,dyadic,0.000000
W1_S13_C1,worker_xor,triadic,0.415037
W1_S13_C1,counterpart_xor,triadic,2.000000
W1_S13_C1,symmetric_xor,triadic,2.000000
W2_S2_C2,worker_and,dyadic,0.000000
W2_S2_C2,counterpart_and,triadic,0.415037
W2_S2_C2,symmetric_and,triadic,0.830075
W2_S2_C2,worker_or,triadic,0.415037
W2_S2_C2,counterpart_or,triadic,0.830075
W2_S2_C2,symmetric_or,triadic,0.830075
W2_S2_C2,cross_wor_cand,triadic,0.830075
W2_S2_C2,cross_wand_cor,dyadic,0.000000
W2_S2_C2,worker_xor,triadic,0.415037
W2_S2_C2,counterpart_xor,triadic,2.000000
W2_S2_C2,symmetric_xor,triadic,2.000000
W2_S4_C2,worker_and,triadic,0.415037
W2_S4_C2,counterpart_and,dyadic,0.000000
W2_S4_C2,symmetric_and,triadic,0.830075
W2_S4_C2,worker_or,triadic,0.830075
W2_S4_C2,counterpart_or,triadic,0.415037
W2_S4_C2,symmetric_or,triadic,0.830075
W2_S4_C2,cross_wor_cand,dyadic,0.000000
W2_S4_C2,cross_wand_cor,triadic,0.830075
W2_S4_C2,worker_xor,triadic,2.000000
W2_S4_C2,counterpart_xor,triadic,0.415037
W2_S4_C2,symmetric_xor,triadic,2.000000
W2_S11_C2,worker_and,triadic,0.415037
W2_S11_C2,counterpart_and,triadic,0.830075
W2_S11_C2,symmetric_and,triadic,0.830075
W2_S11_C2,worker_or,dyadic,0.000000
W2_S11_C2,counterpart_or,triadic,0.415037
W2_S11_C2,symmetric_or,triadic,0.830075
W2_S11_C2,cross_wor_cand,dyadic,0.000000
W2_S11_C2,cross_wand_cor,triadic,0.830075
W2_S11_C2,worker_xor,triadic,2.000000
W2_S11_C2,counterpart_xor,triadic,0.415037
W2_S11_C2,symmetric_xor,triadic,2.000000
W2_S13_C2,worker_and,triadic,0.830075
W2_S13_C2,counterpart_and,triadic,0.415037
W2_S13_C2,symmetric_and,triadic,0.830075
W2_S13_C2,worker_or,triadic,0.415037
W2_S13_C2,counterpart_or,dyadic,0.000000
W2_S13_C2,symmetric_or,triadic,0.830075
W2_S13_C2,cross_wor_cand,triadic,0.830075
W2_S13_C2,cross_wand_cor,dyadic,0.000000
W2_S13_C2,worker_xor,triadic,0.415037
W2_S13_C2,counterpart_xor,triadic,2.000000
W2_S13_C2,symmetric_xor,triadic,2.000000
