label,topology,max_phi,at_ceiling,mid_rung
W1_S2_C1,worker_xor,0.415037,False,True
W1_S2_C1,counterpart_xor,2.000000,True,False
W1_S2_C1,symmetric_xor,2.000000,True,False
W1_S2_C1,worker_xnor,2.000000,True,False
W1_S2_C1,counterpart_xnor,0.415037,False,True
W1_S2_C1,symmetric_xnor,2.000000,True,False
W1_S4_C1,worker_xor,2.000000,True,False
W1_S4_C1,counterpart_xor,0.415037,False,True
W1_S4_C1,symmetric_xor,2.000000,True,False
W1_S4_C1,worker_xnor,0.415037,False,True
W1_S4_C1,counterpart_xnor,2.000000,True,False
W1_S4_C1,symmetric_xnor,2.000000,True,False
W1_S11_C1,worker_xor,2.000000,True,False
W1_S11_C1,counterpart_xor,0.415037,False,True
W1_S11_C1,symmetric_xor,2.000000,True,False
W1_S11_C1,worker_xnor,0.415037,False,True
W1_S11_C1,counterpart_xnor,2.000000,True,False
W1_S11_C1,symmetric_xnor,2.000000,True,False
W1_S13_C1,worker_xor,0.415037,False,True
W1_S13_C1,counterpart_xor,2.000000,True,False
W1_S13_C1,symmetric_xor,2.000000,True,False
W1_S13_C1,worker_xnor,2.000000,True,False
W1_S13_C1,counterpart_xnor,0.415037,False,True
W1_S13_C1,symmetric_xnor,2.000000,True,False
W2_S2_C2,worker_xor,0.415037,False,True
W2_S2_C2,counterpart_xor,2.000000,True,False
W2_S2_C2,symmetric_xor,2.000000,True,False
W2_S2_C2,worker_xnor,2.000000,True,False
W2_S2_C2,counterpart_xnor,0.415037,False,True
W2_S2_C2,symmetric_xnor,2.000000,True,False
W2_S4_C2,worker_xor,2.000000,True,False
W2_S4_C2,counterpart_xor,0.415037,False,True
W2_S4_C2,symmetric_xor,2.000000,True,False
W2_S4_C2,worker_xnor,0.415037,False,True
W2_S4_C2,counterpart_xnor,2.000000,True,False
W2_S4_C2,symmetric_xnor,2.000000,True,False
W2_S11_C2,worker_xor,2.000000,True,False
W2_S11_C2,counterpart_xor,0.415037,False,True
W2_S11_C2,symmetric_xor,2.000000,True,False
W2_S11_C2,worker_xnor,0.415037,False,True
W2_S11_C2,counterpart_xnor,2.000000,True,False
W2_S11_C2,symmetric_xnor,2.000000,True,False
W2_S13_C2,worker_xor,0.415037,False,True
W2_S13_C2,counterpart_xor,2.000000,True,False
W2_S13_C2,symmetric_xor,2.000000,True,False
W2_S13_C2,worker_xnor,2.000000,True,False
W2_S13_C2,counterpart_xnor,0.415037,False,True
W2_S13_C2,symmetric_xnor,2.000000,True,False
