label,topology,max_phi,at_ceiling,mip_first
W1_S2_C1,worker_xor,0.415037,False,"2 parts: {S,WC}"
W1_S2_C1,counterpart_xor,2.000000,True,"2 parts: {WS,C}"
W1_S2_C1,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W1_S2_C1,worker_xnor,2.000000,True,"2 parts: {W,SC}"
W1_S2_C1,counterpart_xnor,0.415037,False,"2 parts: {S,WC}"
W1_S2_C1,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
W1_S4_C1,worker_xor,2.000000,True,"2 parts: {W,SC}"
W1_S4_C1,counterpart_xor,0.415037,False,"2 parts: {S,WC}"
W1_S4_C1,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W1_S4_C1,worker_xnor,0.415037,False,"2 parts: {S,WC}"
W1_S4_C1,counterpart_xnor,2.000000,True,"2 parts: {WS,C}"
W1_S4_C1,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
W1_S11_C1,worker_xor,2.000000,True,"2 parts: {W,SC}"
W1_S11_C1,counterpart_xor,0.415037,False,"2 parts: {S,WC}"
W1_S11_C1,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W1_S11_C1,worker_xnor,0.415037,False,"2 parts: {S,WC}"
W1_S11_C1,counterpart_xnor,2.000000,True,"2 parts: {WS,C}"
W1_S11_C1,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
W1_S13_C1,worker_xor,0.415037,False,"2 parts: {S,WC}"
W1_S13_C1,counterpart_xor,2.000000,True,"2 parts: {WS,C}"
W1_S13_C1,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W1_S13_C1,worker_xnor,2.000000,True,"2 parts: {W,SC}"
W1_S13_C1,counterpart_xnor,0.415037,False,"2 parts: {S,WC}"
W1_S13_C1,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
W2_S2_C2,worker_xor,0.415037,False,"2 parts: {S,WC}"
W2_S2_C2,counterpart_xor,2.000000,True,"2 parts: {WS,C}"
W2_S2_C2,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W2_S2_C2,worker_xnor,2.000000,True,"2 parts: {W,SC}"
W2_S2_C2,counterpart_xnor,0.415037,False,"2 parts: {S,WC}"
W2_S2_C2,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
W2_S4_C2,worker_xor,2.000000,True,"2 parts: {W,SC}"
W2_S4_C2,counterpart_xor,0.415037,False,"2 parts: {S,WC}"
W2_S4_C2,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W2_S4_C2,worker_xnor,0.415037,False,"2 parts: {S,WC}"
W2_S4_C2,counterpart_xnor,2.000000,True,"2 parts: {WS,C}"
W2_S4_C2,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
W2_S11_C2,worker_xor,2.000000,True,"2 parts: {W,SC}"
W2_S11_C2,counterpart_xor,0.415037,False,"2 parts: {S,WC}"
W2_S11_C2,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W2_S11_C2,worker_xnor,0.415037,False,"2 parts: {S,WC}"
W2_S11_C2,counterpart_xnor,2.000000,True,"2 parts: {WS,C}"
W2_S11_C2,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
W2_S13_C2,worker_xor,0.415037,False,"2 parts: {S,WC}"
W2_S13_C2,counterpart_xor,2.000000,True,"2 parts: {WS,C}"
W2_S13_C2,symmetric_xor,2.000000,True,"3 parts: {W,S,C}"
W2_S13_C2,worker_xnor,2.000000,True,"2 parts: {W,SC}"
W2_S13_C2,counterpart_xnor,0.415037,False,"2 parts: {S,WC}"
W2_S13_C2,symmetric_xnor,2.000000,True,"3 parts: {W,S,C}"
