label,topology,max_phi,at_ceiling,seam_h
W1_S2_C1,worker_xor,0.415037,False,1.571302
W1_S2_C1,counterpart_xor,2.000000,True,1.251623
W1_S2_C1,symmetric_xor,2.000000,True,1.811497
W1_S2_C1,worker_xnor,2.000000,True,1.647917
W1_S2_C1,counterpart_xnor,0.415037,False,1.417019
W1_S2_C1,symmetric_xnor,2.000000,True,1.811497
W1_S4_C1,worker_xor,2.000000,True,1.251623
W1_S4_C1,counterpart_xor,0.415037,False,1.571302
W1_S4_C1,symmetric_xor,2.000000,True,1.811497
W1_S4_C1,worker_xnor,0.415037,False,1.417019
W1_S4_C1,counterpart_xnor,2.000000,True,1.647917
W1_S4_C1,symmetric_xnor,2.000000,True,1.811497
W1_S11_C1,worker_xor,2.000000,True,1.647917
W1_S11_C1,counterpart_xor,0.415037,False,1.417019
W1_S11_C1,symmetric_xor,2.000000,True,1.811497
W1_S11_C1,worker_xnor,0.415037,False,1.571302
W1_S11_C1,counterpart_xnor,2.000000,True,1.251623
W1_S11_C1,symmetric_xnor,2.000000,True,1.811497
W1_S13_C1,worker_xor,0.415037,False,1.417019
W1_S13_C1,counterpart_xor,2.000000,True,1.647917
W1_S13_C1,symmetric_xor,2.000000,True,1.811497
W1_S13_C1,worker_xnor,2.000000,True,1.251623
W1_S13_C1,counterpart_xnor,0.415037,False,1.571302
W1_S13_C1,symmetric_xnor,2.000000,True,1.811497
W2_S2_C2,worker_xor,0.415037,False,1.417019
W2_S2_C2,counterpart_xor,2.000000,True,1.647917
W2_S2_C2,symmetric_xor,2.000000,True,1.811497
W2_S2_C2,worker_xnor,2.000000,True,1.251623
W2_S2_C2,counterpart_xnor,0.415037,False,1.571302
W2_S2_C2,symmetric_xnor,2.000000,True,1.811497
W2_S4_C2,worker_xor,2.000000,True,1.647917
W2_S4_C2,counterpart_xor,0.415037,False,1.417019
W2_S4_C2,symmetric_xor,2.000000,True,1.811497
W2_S4_C2,worker_xnor,0.415037,False,1.571302
W2_S4_C2,counterpart_xnor,2.000000,True,1.251623
W2_S4_C2,symmetric_xnor,2.000000,True,1.811497
W2_S11_C2,worker_xor,2.000000,True,1.251623
W2_S11_C2,counterpart_xor,0.415037,False,1.571302
W2_S11_C2,symmetric_xor,2.000000,True,1.811497
W2_S11_C2,worker_xnor,0.415037,False,1.417019
W2_S11_C2,counterpart_xnor,2.000000,True,1.647917
W2_S11_C2,symmetric_xnor,2.000000,True,1.811497
W2_S13_C2,worker_xor,0.415037,False,1.571302
W2_S13_C2,counterpart_xor,2.000000,True,1.251623
W2_S13_C2,symmetric_xor,2.000000,True,1.811497
W2_S13_C2,worker_xnor,2.000000,True,1.647917
W2_S13_C2,counterpart_xnor,0.415037,False,1.417019
W2_S13_C2,symmetric_xnor,2.000000,True,1.811497
