label,topology,max_phi,at_ceiling,xor_aligned,xnor_aligned
W1_S2_C1,worker_xor,0.415037,False,False,False
W1_S2_C1,counterpart_xor,2.000000,True,True,False
W1_S2_C1,worker_xnor,2.000000,True,False,True
W1_S2_C1,counterpart_xnor,0.415037,False,False,False
W1_S4_C1,worker_xor,2.000000,True,True,False
W1_S4_C1,counterpart_xor,0.415037,False,False,False
W1_S4_C1,worker_xnor,0.415037,False,False,False
W1_S4_C1,counterpart_xnor,2.000000,True,False,True
W1_S11_C1,worker_xor,2.000000,True,True,False
W1_S11_C1,counterpart_xor,0.415037,False,False,False
W1_S11_C1,worker_xnor,0.415037,False,False,False
W1_S11_C1,counterpart_xnor,2.000000,True,False,True
W1_S13_C1,worker_xor,0.415037,False,False,False
W1_S13_C1,counterpart_xor,2.000000,True,True,False
W1_S13_C1,worker_xnor,2.000000,True,False,True
W1_S13_C1,counterpart_xnor,0.415037,False,False,False
W2_S2_C2,worker_xor,0.415037,False,False,False
W2_S2_C2,counterpart_xor,2.000000,True,True,False
W2_S2_C2,worker_xnor,2.000000,True,False,True
W2_S2_C2,counterpart_xnor,0.415037,False,False,False
W2_S4_C2,worker_xor,2.000000,True,True,False
W2_S4_C2,counterpart_xor,0.415037,False,False,False
W2_S4_C2,worker_xnor,0.415037,False,False,False
W2_S4_C2,counterpart_xnor,2.000000,True,False,True
W2_S11_C2,worker_xor,2.000000,True,True,False
W2_S11_C2,counterpart_xor,0.415037,False,False,False
W2_S11_C2,worker_xnor,0.415037,False,False,False
W2_S11_C2,counterpart_xnor,2.000000,True,False,True
W2_S13_C2,worker_xor,0.415037,False,False,False
W2_S13_C2,counterpart_xor,2.000000,True,True,False
W2_S13_C2,worker_xnor,2.000000,True,False,True
W2_S13_C2,counterpart_xnor,0.415037,False,False,False
