label,topology,class,dir_symmetric
W1_S2_C1,symmetric_xor,symmetric,True
W1_S2_C1,symmetric_xnor,symmetric,True
W1_S4_C1,symmetric_xor,symmetric,True
W1_S4_C1,symmetric_xnor,symmetric,True
W1_S11_C1,symmetric_xor,symmetric,True
W1_S11_C1,symmetric_xnor,symmetric,True
W1_S13_C1,symmetric_xor,symmetric,True
W1_S13_C1,symmetric_xnor,symmetric,True
W2_S2_C2,symmetric_xor,symmetric,True
W2_S2_C2,symmetric_xnor,symmetric,True
W2_S4_C2,symmetric_xor,symmetric,True
W2_S4_C2,symmetric_xnor,symmetric,True
W2_S11_C2,symmetric_xor,symmetric,True
W2_S11_C2,symmetric_xnor,symmetric,True
W2_S13_C2,symmetric_xor,symmetric,True
W2_S13_C2,symmetric_xnor,symmetric,True
W1_S2_C1,counterpart_xor,one_sided,False
W1_S2_C1,worker_xnor,one_sided,False
W1_S4_C1,worker_xor,one_sided,False
W1_S4_C1,counterpart_xnor,one_sided,False
W1_S11_C1,worker_xor,one_sided,False
W1_S11_C1,counterpart_xnor,one_sided,False
W1_S13_C1,counterpart_xor,one_sided,False
W1_S13_C1,worker_xnor,one_sided,False
W2_S2_C2,counterpart_xor,one_sided,False
W2_S2_C2,worker_xnor,one_sided,False
W2_S4_C2,worker_xor,one_sided,False
W2_S4_C2,counterpart_xnor,one_sided,False
W2_S11_C2,worker_xor,one_sided,False
W2_S11_C2,counterpart_xnor,one_sided,False
W2_S13_C2,counterpart_xor,one_sided,False
W2_S13_C2,worker_xnor,one_sided,False
