label,topology,only_tied_n,only_excl_n,symdiff_n
W1_S2_C1,counterpart_xor,3,1,4
W1_S2_C1,worker_xnor,3,1,4
W1_S4_C1,worker_xor,3,1,4
W1_S4_C1,counterpart_xnor,3,1,4
W1_S11_C1,worker_xor,3,1,4
W1_S11_C1,counterpart_xnor,3,1,4
W1_S13_C1,counterpart_xor,3,1,4
W1_S13_C1,worker_xnor,3,1,4
W2_S2_C2,counterpart_xor,3,1,4
W2_S2_C2,worker_xnor,3,1,4
W2_S4_C2,worker_xor,3,1,4
W2_S4_C2,counterpart_xnor,3,1,4
W2_S11_C2,worker_xor,3,1,4
W2_S11_C2,counterpart_xnor,3,1,4
W2_S13_C2,counterpart_xor,3,1,4
W2_S13_C2,worker_xnor,3,1,4
