label,topology,singleton,thompson_type,partition_equal
W1_S2_C1,counterpart_xor,C,reciprocal,True
W1_S2_C1,worker_xnor,W,sequential,True
W1_S4_C1,worker_xor,W,sequential,True
W1_S4_C1,counterpart_xnor,C,reciprocal,True
W1_S11_C1,worker_xor,W,sequential,True
W1_S11_C1,counterpart_xnor,C,reciprocal,True
W1_S13_C1,counterpart_xor,C,reciprocal,True
W1_S13_C1,worker_xnor,W,sequential,True
W2_S2_C2,counterpart_xor,C,reciprocal,True
W2_S2_C2,worker_xnor,W,sequential,True
W2_S4_C2,worker_xor,W,sequential,True
W2_S4_C2,counterpart_xnor,C,reciprocal,True
W2_S11_C2,worker_xor,W,sequential,True
W2_S11_C2,counterpart_xnor,C,reciprocal,True
W2_S13_C2,counterpart_xor,C,reciprocal,True
W2_S13_C2,worker_xnor,W,sequential,True
