label,topology,singleton,thompson_type,max_phi,subpanel_match
W1_S2_C1,counterpart_xor,C,reciprocal,2.000000,True
W1_S2_C1,worker_xnor,W,sequential,2.000000,True
W1_S4_C1,worker_xor,W,sequential,2.000000,True
W1_S4_C1,counterpart_xnor,C,reciprocal,2.000000,True
W1_S11_C1,worker_xor,W,sequential,2.000000,True
W1_S11_C1,counterpart_xnor,C,reciprocal,2.000000,True
W1_S13_C1,counterpart_xor,C,reciprocal,2.000000,True
W1_S13_C1,worker_xnor,W,sequential,2.000000,True
W2_S2_C2,counterpart_xor,C,reciprocal,2.000000,True
W2_S2_C2,worker_xnor,W,sequential,2.000000,True
W2_S4_C2,worker_xor,W,sequential,2.000000,True
W2_S4_C2,counterpart_xnor,C,reciprocal,2.000000,True
W2_S11_C2,worker_xor,W,sequential,2.000000,True
W2_S11_C2,counterpart_xnor,C,reciprocal,2.000000,True
W2_S13_C2,counterpart_xor,C,reciprocal,2.000000,True
W2_S13_C2,worker_xnor,W,sequential,2.000000,True
