label,topology,tied_singleton,thompson_type,excluded_singleton,joint
W1_S2_C1,counterpart_xor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W1_S2_C1,worker_xnor,W,sequential,C,"('W', 'sequential', 'C')"
W1_S4_C1,worker_xor,W,sequential,C,"('W', 'sequential', 'C')"
W1_S4_C1,counterpart_xnor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W1_S11_C1,worker_xor,W,sequential,C,"('W', 'sequential', 'C')"
W1_S11_C1,counterpart_xnor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W1_S13_C1,counterpart_xor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W1_S13_C1,worker_xnor,W,sequential,C,"('W', 'sequential', 'C')"
W2_S2_C2,counterpart_xor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W2_S2_C2,worker_xnor,W,sequential,C,"('W', 'sequential', 'C')"
W2_S4_C2,worker_xor,W,sequential,C,"('W', 'sequential', 'C')"
W2_S4_C2,counterpart_xnor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W2_S11_C2,worker_xor,W,sequential,C,"('W', 'sequential', 'C')"
W2_S11_C2,counterpart_xnor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W2_S13_C2,counterpart_xor,C,reciprocal,W,"('C', 'reciprocal', 'W')"
W2_S13_C2,worker_xnor,W,sequential,C,"('W', 'sequential', 'C')"
