p,phi_mip,structure,interval_drop_to_next,share_of_2.0
0.00,2.000000,triadic,0.100626,0.050313
0.01,1.899374,triadic,0.095543,0.047772
0.02,1.803831,triadic,0.090782,0.045391
0.03,1.713050,triadic,0.086316,0.043158
0.04,1.626733,triadic,0.082123,0.041062
0.05,1.544610,triadic,0.078182,0.039091
0.06,1.466428,triadic,0.074472,0.037236
0.07,1.391956,triadic,0.070978,0.035489
0.08,1.320978,triadic,0.067683,0.033842
0.09,1.253295,triadic,0.064573,0.032286
0.10,1.188722,triadic,0.061635,0.030817
0.11,1.127087,triadic,0.058856,0.029428
0.12,1.068232,triadic,0.056226,0.028113
0.13,1.012006,triadic,0.053734,0.026867
0.14,0.958272,triadic,0.051372,0.025686
0.15,0.906900,triadic,0.049130,0.024565
0.16,0.857769,triadic,0.047002,0.023501
0.17,0.810768,triadic,0.044979,0.022489
0.18,0.765789,triadic,0.043054,0.021527
0.19,0.722735,triadic,0.041223,0.020612
0.20,0.681511,triadic,0.039479,0.019739
0.21,0.642033,triadic,0.037816,0.018908
0.22,0.604217,triadic,0.036230,0.018115
0.23,0.567987,triadic,0.034716,0.017358
0.24,0.533271,triadic,0.033271,0.016635
0.25,0.500000,triadic,0.031889,0.015944
0.26,0.468111,triadic,0.030567,0.015284
0.27,0.437544,triadic,0.029303,0.014651
0.28,0.408241,triadic,0.028092,0.014046
0.29,0.380149,triadic,0.026932,0.013466
0.30,0.353218,triadic,0.025819,0.012910
0.31,0.327398,triadic,0.024752,0.012376
0.32,0.302646,triadic,0.023728,0.011864
0.33,0.278918,triadic,0.022745,0.011372
0.34,0.256173,triadic,0.021799,0.010900
0.35,0.234374,triadic,0.020891,0.010445
0.36,0.213483,triadic,0.020016,0.010008
0.37,0.193467,triadic,0.019175,0.009587
0.38,0.174292,triadic,0.018364,0.009182
0.39,0.155928,triadic,0.017582,0.008791
0.40,0.138346,triadic,0.016829,0.008415
0.41,0.121517,triadic,0.016102,0.008051
0.42,0.105415,triadic,0.015400,0.007700
0.43,0.090014,triadic,0.014722,0.007361
0.44,0.075292,triadic,0.014067,0.007034
0.45,0.061225,triadic,0.013433,0.006717
0.46,0.047791,triadic,0.012820,0.006410
0.47,0.034971,triadic,0.012226,0.006113
0.48,0.022745,triadic,0.011651,0.005826
0.49,0.011093,triadic,0.011093,0.005547
0.50,0.000000,dyadic,,
