p,phi,delta_forward,rise_gt_tol
0.00,2.0000000000,-1.5680000000e-01,0
0.02,1.8432000000,-1.5040000000e-01,0
0.04,1.6928000000,-1.4400000000e-01,0
0.06,1.5488000000,-1.3760000000e-01,0
0.08,1.4112000000,-1.3120000000e-01,0
0.10,1.2800000000,-1.2480000000e-01,0
0.12,1.1552000000,-1.1840000000e-01,0
0.14,1.0368000000,-1.1200000000e-01,0
0.16,0.9248000000,-1.0560000000e-01,0
0.18,0.8192000000,-9.9200000000e-02,0
0.20,0.7200000000,-9.2800000000e-02,0
0.22,0.6272000000,-8.6400000000e-02,0
0.24,0.5408000000,-8.0000000000e-02,0
0.26,0.4608000000,-7.3600000000e-02,0
0.28,0.3872000000,-6.7200000000e-02,0
0.30,0.3200000000,-6.0800000000e-02,0
0.32,0.2592000000,-5.4400000000e-02,0
0.34,0.2048000000,-4.8000000000e-02,0
0.36,0.1568000000,-4.1600000000e-02,0
0.38,0.1152000000,-3.5200000000e-02,0
0.40,0.0800000000,-2.8800000000e-02,0
0.42,0.0512000000,-2.2400000000e-02,0
0.44,0.0288000000,-1.6000000000e-02,0
0.46,0.0128000000,-9.6000000000e-03,0
0.48,0.0032000000,-3.2000000000e-03,0
0.50,0.0000000000,3.2000000000e-03,1
0.52,0.0032000000,9.6000000000e-03,1
0.54,0.0128000000,1.6000000000e-02,1
0.56,0.0288000000,2.2400000000e-02,1
0.58,0.0512000000,2.8800000000e-02,1
0.60,0.0800000000,3.5200000000e-02,1
0.62,0.1152000000,4.1600000000e-02,1
0.64,0.1568000000,4.8000000000e-02,1
0.66,0.2048000000,5.4400000000e-02,1
0.68,0.2592000000,6.0800000000e-02,1
0.70,0.3200000000,6.7200000000e-02,1
0.72,0.3872000000,7.3600000000e-02,1
0.74,0.4608000000,8.0000000000e-02,1
0.76,0.5408000000,8.6400000000e-02,1
0.78,0.6272000000,9.2800000000e-02,1
0.80,0.7200000000,9.9200000000e-02,1
0.82,0.8192000000,1.0560000000e-01,1
0.84,0.9248000000,1.1200000000e-01,1
0.86,1.0368000000,1.1840000000e-01,1
0.88,1.1552000000,1.2480000000e-01,1
0.90,1.2800000000,1.3120000000e-01,1
0.92,1.4112000000,1.3760000000e-01,1
0.94,1.5488000000,1.4400000000e-01,1
0.96,1.6928000000,1.5040000000e-01,1
0.98,1.8432000000,1.5680000000e-01,1
1.00,2.0000000000,,0
