p,phi,delta_forward,rise_gt_tol,interior_local_max_vertex
0.00,2.0000000000,-1.0062552419e-01,0,0
0.01,1.8993744758,-9.5543010951e-02,0,0
0.02,1.8038314649,-9.0781827129e-02,0,0
0.03,1.7130496377,-8.6316305680e-02,0,0
0.04,1.6267333321,-8.2123241082e-02,0,0
0.05,1.5446100910,-7.8181614324e-02,0,0
0.06,1.4664284766,-7.4472352823e-02,0,0
0.07,1.3919561238,-7.0978120326e-02,0,0
0.08,1.3209780035,-6.7683132596e-02,0,0
0.09,1.2532948709,-6.4572995359e-02,0,0
0.10,1.1887218755,-6.1634561501e-02,0,0
0.11,1.1270873140,-5.8855804959e-02,0,0
0.12,1.0682315091,-5.6225709126e-02,0,0
0.13,1.0120058000,-5.3734167890e-02,0,0
0.14,0.9582716321,-5.1371897725e-02,0,0
0.15,0.9068997343,-4.9130359437e-02,0,0
0.16,0.8577693749,-4.7001688383e-02,0,0
0.17,0.8107676865,-4.4978632137e-02,0,0
0.18,0.7657890544,-4.3054494712e-02,0,0
0.19,0.7227345597,-4.1223086561e-02,0,0
0.20,0.6815114731,-3.9478679694e-02,0,0
0.21,0.6420327934,-3.7815967314e-02,0,0
0.22,0.6042168261,-3.6230027474e-02,0,0
0.23,0.5679867986,-3.4716290291e-02,0,0
0.24,0.5332705083,-3.3270508337e-02,0,0
0.25,0.5000000000,-3.1888729857e-02,0,0
0.26,0.4681112701,-3.0567274510e-02,0,0
0.27,0.4375439956,-2.9302711365e-02,0,0
0.28,0.4082412843,-2.8091838924e-02,0,0
0.29,0.3801494453,-2.6931666943e-02,0,0
0.30,0.3532177784,-2.5819399890e-02,0,0
0.31,0.3273983785,-2.4752421858e-02,0,0
0.32,0.3026459567,-2.3728282794e-02,0,0
0.33,0.2789176739,-2.2744685916e-02,0,0
0.34,0.2561729879,-2.1799476190e-02,0,0
0.35,0.2343735118,-2.0890629781e-02,0,0
0.36,0.2134828820,-2.0016244373e-02,0,0
0.37,0.1934666376,-1.9174530277e-02,0,0
0.38,0.1742921073,-1.8363802251e-02,0,0
0.39,0.1559283051,-1.7582471977e-02,0,0
0.40,0.1383458331,-1.6829041111e-02,0,0
0.41,0.1215167920,-1.6102094883e-02,0,0
0.42,0.1054146971,-1.5400296162e-02,0,0
0.43,0.0900144009,-1.4722379972e-02,0,0
0.44,0.0752920210,-1.4067148408e-02,0,0
0.45,0.0612248726,-1.3433465900e-02,0,0
0.46,0.0477914067,-1.2820254821e-02,0,0
0.47,0.0349711518,-1.2226491379e-02,0,0
0.48,0.0227446605,-1.1651201787e-02,0,0
0.49,0.0110934587,-1.1093458669e-02,0,0
0.50,0.0000000000,,0,0
