p,phi_mip,interior,residual_bestfit,d2phi,kink_control_phi,kink_control_d2phi
0.00,2.00000000,0,,,2.00000000,
0.01,1.89937448,1,0.00786654,0.00508251,1.89937448,0.00508251
0.02,1.80383146,1,0.00438341,0.00476118,1.80383146,0.00476118
0.03,1.71304964,1,0.00169339,0.00446552,1.71304964,0.00446552
0.04,1.62673333,1,-0.00032815,0.00419306,1.62673333,0.00419306
0.05,1.54461009,1,-0.00178999,0.00394163,1.54461009,0.00394163
0.06,1.46642848,1,-0.00278698,0.00370926,1.46642848,0.00370926
0.07,1.39195612,1,-0.00340161,0.00349423,1.39195612,0.00349423
0.08,1.32097800,1,-0.00370552,0.00329499,1.32097800,0.00329499
0.09,1.25329487,1,-0.00376072,0.00311014,1.25329487,0.00311014
0.10,1.18872188,1,-0.00362077,0.00293843,1.18872188,0.00293843
0.11,1.12708731,1,-0.00333171,0.00277876,1.12708731,0.00277876
0.12,1.06823151,1,-0.00293301,0.00263010,1.06823151,0.00263010
0.13,1.01200580,1,-0.00245828,0.00249154,1.01200580,0.00249154
0.14,0.95827163,1,-0.00193597,0.00236227,0.95827163,0.00236227
0.15,0.90689973,1,-0.00139002,0.00224154,0.90689973,0.00224154
0.16,0.85776937,1,-0.00084036,0.00212867,0.85776937,0.00212867
0.17,0.81076769,1,-0.00030340,0.00202306,0.81076769,0.00202306
0.18,0.76578905,1,0.00020755,0.00192414,0.76578905,0.00192414
0.19,0.72273456,1,0.00068189,0.00183141,0.72273456,0.00183141
0.20,0.68151147,1,0.00111141,0.00174441,0.68151147,0.00174441
0.21,0.64203279,1,0.00148997,0.00166271,0.64203279,0.00166271
0.22,0.60421683,1,0.00181327,0.00158594,0.60421683,0.00158594
0.23,0.56798680,1,0.00207858,0.00151374,0.56798680,0.00151374
0.24,0.53327051,1,0.00228457,0.00144578,0.53327051,0.00144578
0.25,0.50000000,1,0.00243107,0.00138178,0.50000000,0.01327051
0.26,0.46811127,1,0.00251898,0.00132146,0.48000000,0.00000000
0.27,0.43754400,1,0.00255004,0.00126456,0.46000000,0.00000000
0.28,0.40824128,1,0.00252678,0.00121087,0.44000000,0.00000000
0.29,0.38014945,1,0.00245235,0.00116017,0.42000000,-0.00000000
0.30,0.35321778,1,0.00233045,0.00111227,0.40000000,0.00000000
0.31,0.32739838,1,0.00216523,0.00106698,0.38000000,0.00000000
0.32,0.30264596,1,0.00196122,0.00102414,0.36000000,0.00000000
0.33,0.27891767,1,0.00172323,0.00098360,0.34000000,0.00000000
0.34,0.25617299,1,0.00145632,0.00094521,0.32000000,0.00000000
0.35,0.23437351,1,0.00116576,0.00090885,0.30000000,-0.00000000
0.36,0.21348288,1,0.00085695,0.00087439,0.28000000,0.00000000
0.37,0.19346664,1,0.00053538,0.00084171,0.26000000,0.00000000
0.38,0.17429211,1,0.00020662,0.00081073,0.24000000,0.00000000
0.39,0.15592831,1,-0.00012373,0.00078133,0.22000000,0.00000000
0.40,0.13834583,1,-0.00045005,0.00075343,0.20000000,0.00000000
0.41,0.12151679,1,-0.00076673,0.00072695,0.18000000,-0.00000000
0.42,0.10541470,1,-0.00106820,0.00070180,0.16000000,0.00000000
0.43,0.09001440,1,-0.00134893,0.00067792,0.14000000,0.00000000
0.44,0.07529202,1,-0.00160344,0.00065523,0.12000000,0.00000000
0.45,0.06122487,1,-0.00182634,0.00063368,0.10000000,0.00000000
0.46,0.04779141,1,-0.00201228,0.00061321,0.08000000,0.00000000
0.47,0.03497115,1,-0.00215603,0.00059376,0.06000000,-0.00000000
0.48,0.02274466,1,-0.00225241,0.00057529,0.04000000,0.00000000
0.49,0.01109346,1,-0.00229634,0.00055774,0.02000000,0.00000000
0.50,0.00000000,0,,,0.00000000,
