p,phi,chi,abs_chi,is_global_argmax,is_interior_peak
0.00,2.000000000000,-10.062552418900,10.062552418900,1,0
0.01,1.899374475811,-9.808426757000,9.808426757000,0,0
0.02,1.803831464860,-9.316241904000,9.316241904000,0,0
0.03,1.713049637731,-8.854906640450,8.854906640450,0,0
0.04,1.626733332051,-8.421977338100,8.421977338100,0,0
0.05,1.544610090969,-8.015242770300,8.015242770300,0,0
0.06,1.466428476645,-7.632698357350,7.632698357350,0,0
0.07,1.391956123822,-7.272523657450,7.272523657450,0,0
0.08,1.320978003496,-6.933062646100,6.933062646100,0,0
0.09,1.253294870900,-6.612806397750,6.612806397750,0,0
0.10,1.188721875541,-6.310377843000,6.310377843000,0,0
0.11,1.127087314040,-6.024518323000,6.024518323000,0,0
0.12,1.068231509081,-5.754075704250,5.754075704250,0,0
0.13,1.012005799955,-5.497993850800,5.497993850800,0,0
0.14,0.958271632065,-5.255303280700,5.255303280700,0,0
0.15,0.906899734341,-5.025112858050,5.025112858050,0,0
0.16,0.857769374904,-4.806602391000,4.806602391000,0,0
0.17,0.810767686521,-4.599016026050,4.599016026050,0,0
0.18,0.765789054383,-4.401656342500,4.401656342500,0,0
0.19,0.722734559671,-4.213879063650,4.213879063650,0,0
0.20,0.681511473110,-4.035088312750,4.035088312750,0,0
0.21,0.642032793416,-3.864732350400,3.864732350400,0,0
0.22,0.604216826102,-3.702299739400,3.702299739400,0,0
0.23,0.567986798628,-3.547315888250,3.547315888250,0,0
0.24,0.533270508337,-3.399339931400,3.399339931400,0,0
0.25,0.500000000000,-3.257961909700,3.257961909700,0,0
0.26,0.468111270143,-3.122800218350,3.122800218350,0,0
0.27,0.437543995633,-2.993499293750,2.993499293750,0,0
0.28,0.408241284268,-2.869727514500,2.869727514500,0,0
0.29,0.380149445343,-2.751175293400,2.751175293400,0,0
0.30,0.353217778400,-2.637553341650,2.637553341650,0,0
0.31,0.327398378510,-2.528591087400,2.528591087400,0,0
0.32,0.302645956652,-2.424035232600,2.424035232600,0,0
0.33,0.278917673858,-2.323648435500,2.323648435500,0,0
0.34,0.256172987942,-2.227208105300,2.227208105300,0,0
0.35,0.234373511752,-2.134505298550,2.134505298550,0,0
0.36,0.213482881971,-2.045343707700,2.045343707700,0,0
0.37,0.193466637598,-1.959538732500,1.959538732500,0,0
0.38,0.174292107321,-1.876916626400,1.876916626400,0,0
0.39,0.155928305070,-1.797313711400,1.797313711400,0,0
0.40,0.138345833093,-1.720575654450,1.720575654450,0,0
0.41,0.121516791981,-1.646556799750,1.646556799750,0,0
0.42,0.105414697098,-1.575119552200,1.575119552200,0,0
0.43,0.090014400937,-1.506133806700,1.506133806700,0,0
0.44,0.075292020964,-1.439476419050,1.439476419050,0,0
0.45,0.061224872556,-1.375030715400,1.375030715400,0,0
0.46,0.047791406656,-1.312686036050,1.312686036050,0,0
0.47,0.034971151835,-1.252337310000,1.252337310000,0,0
0.48,0.022744660456,-1.193884658300,1.193884658300,0,0
0.49,0.011093458669,-1.137233022800,1.137233022800,0,0
0.50,0.000000000000,-1.109345866900,1.109345866900,0,0
