p,phi_mip,structure,mip_partition,major_complex,major_complex_phi
0.0,2.0,triadic,"2 parts: {W,SC}","{W,S,C}",2.0
0.01,1.899374,triadic,"3 parts: {W,S,C}","{W,S,C}",1.899374
0.02,1.803831,triadic,"3 parts: {W,S,C}","{W,S,C}",1.803831
0.03,1.71305,triadic,"3 parts: {W,S,C}","{W,S,C}",1.71305
0.04,1.626733,triadic,"3 parts: {W,S,C}","{W,S,C}",1.626733
0.05,1.54461,triadic,"3 parts: {W,S,C}","{W,S,C}",1.54461
0.06,1.466428,triadic,"3 parts: {W,S,C}","{W,S,C}",1.466428
0.07,1.391956,triadic,"3 parts: {W,S,C}","{W,S,C}",1.391956
0.08,1.320978,triadic,"3 parts: {W,S,C}","{W,S,C}",1.320978
0.09,1.253295,triadic,"3 parts: {W,S,C}","{W,S,C}",1.253295
0.1,1.188722,triadic,"3 parts: {W,S,C}","{W,S,C}",1.188722
0.11,1.127087,triadic,"3 parts: {W,S,C}","{W,S,C}",1.127087
0.12,1.068232,triadic,"3 parts: {W,S,C}","{W,S,C}",1.068232
0.13,1.012006,triadic,"3 parts: {W,S,C}","{W,S,C}",1.012006
0.14,0.958272,triadic,"3 parts: {W,S,C}","{W,S,C}",0.958272
0.15,0.9069,triadic,"3 parts: {W,S,C}","{W,S,C}",0.9069
0.16,0.857769,triadic,"3 parts: {W,S,C}","{W,S,C}",0.857769
0.17,0.810768,triadic,"3 parts: {W,S,C}","{W,S,C}",0.810768
0.18,0.765789,triadic,"3 parts: {W,S,C}","{W,S,C}",0.765789
0.19,0.722735,triadic,"3 parts: {W,S,C}","{W,S,C}",0.722735
0.2,0.681511,triadic,"3 parts: {W,S,C}","{W,S,C}",0.681511
0.21,0.642033,triadic,"3 parts: {W,S,C}","{W,S,C}",0.642033
0.22,0.604217,triadic,"3 parts: {W,S,C}","{W,S,C}",0.604217
0.23,0.567987,triadic,"3 parts: {W,S,C}","{W,S,C}",0.567987
0.24,0.533271,triadic,"3 parts: {W,S,C}","{W,S,C}",0.533271
0.25,0.5,triadic,"3 parts: {W,S,C}","{W,S,C}",0.5
0.26,0.468111,triadic,"3 parts: {W,S,C}","{W,S,C}",0.468111
0.27,0.437544,triadic,"3 parts: {W,S,C}","{W,S,C}",0.437544
0.28,0.408241,triadic,"3 parts: {W,S,C}","{W,S,C}",0.408241
0.29,0.380149,triadic,"3 parts: {W,S,C}","{W,S,C}",0.380149
0.3,0.353218,triadic,"3 parts: {W,S,C}","{W,S,C}",0.353218
0.31,0.327398,triadic,"3 parts: {W,S,C}","{W,S,C}",0.327398
0.32,0.302646,triadic,"3 parts: {W,S,C}","{W,S,C}",0.302646
0.33,0.278918,triadic,"3 parts: {W,S,C}","{W,S,C}",0.278918
0.34,0.256173,triadic,"3 parts: {W,S,C}","{W,S,C}",0.256173
0.35,0.234374,triadic,"3 parts: {W,S,C}","{W,S,C}",0.234374
0.36,0.213483,triadic,"3 parts: {W,S,C}","{W,S,C}",0.213483
0.37,0.193467,triadic,"3 parts: {W,S,C}","{W,S,C}",0.193467
0.38,0.174292,triadic,"3 parts: {W,S,C}","{W,S,C}",0.174292
0.39,0.155928,triadic,"3 parts: {W,S,C}","{W,S,C}",0.155928
0.4,0.138346,triadic,"3 parts: {W,S,C}","{W,S,C}",0.138346
0.41,0.121517,triadic,"3 parts: {W,S,C}","{W,S,C}",0.121517
0.42,0.105415,triadic,"3 parts: {W,S,C}","{W,S,C}",0.105415
0.43,0.090014,triadic,"3 parts: {W,S,C}","{W,S,C}",0.090014
0.44,0.075292,triadic,"3 parts: {W,S,C}","{W,S,C}",0.075292
0.45,0.061225,triadic,"3 parts: {W,S,C}","{W,S,C}",0.061225
0.46,0.047791,triadic,"3 parts: {W,S,C}","{W,S,C}",0.047791
0.47,0.034971,triadic,"3 parts: {W,S,C}","{W,S,C}",0.034971
0.48,0.022745,triadic,"3 parts: {W,S,C}","{W,S,C}",0.022745
0.49,0.011093,triadic,"3 parts: {W,S,C}","{W,S,C}",0.011093
0.5,0.0,dyadic,(factors),(none),-1.0
