p,phi_W,phi_C,phi_WC,f_W,f_C,phi_pred,residual
0.00,2.000000,2.000000,2.000000,0.000000,0.000000,2.000000,0.000000
0.01,0.975645,0.975645,1.931778,0.512177,0.512177,0.475942,1.455836
0.02,0.951437,0.951437,1.864816,0.524282,0.524282,0.452616,1.412200
0.03,0.927375,0.927375,1.799107,0.536313,0.536313,0.430012,1.369095
0.04,0.903462,0.903462,1.734647,0.548269,0.548269,0.408122,1.326525
0.05,0.879699,0.879699,1.671429,0.560150,0.560150,0.386936,1.284493
0.06,0.856089,0.856089,1.609447,0.571956,0.571956,0.366444,1.243003
0.07,0.832631,0.832631,1.548694,0.583684,0.583684,0.346638,1.202057
0.08,0.809329,0.809329,1.489166,0.595335,0.595335,0.327507,1.161659
0.09,0.786184,0.786184,1.430855,0.606908,0.606908,0.309043,1.121812
0.10,0.763197,0.763197,1.373755,0.618401,0.618401,0.291235,1.082520
0.11,0.740371,0.740371,1.317860,0.629815,0.629815,0.274074,1.043786
0.12,0.717706,0.717706,1.263163,0.641147,0.641147,0.257551,1.005612
0.13,0.695206,0.695206,1.209658,0.652397,0.652397,0.241656,0.968003
0.14,0.672871,0.672871,1.157339,0.663564,0.663564,0.226378,0.930961
0.15,0.650705,0.650705,1.106198,0.674648,0.674648,0.211708,0.894490
0.16,0.628707,0.628707,1.056228,0.685646,0.685646,0.197637,0.858592
0.17,0.606882,0.606882,1.007424,0.696559,0.696559,0.184153,0.823271
0.18,0.585231,0.585231,0.959778,0.707385,0.707385,0.171247,0.788531
0.19,0.563755,0.563755,0.913283,0.718123,0.718123,0.158910,0.754373
0.20,0.542458,0.542458,0.867932,0.728771,0.728771,0.147130,0.720802
0.21,0.521340,0.521340,0.823718,0.739330,0.739330,0.135898,0.687820
0.22,0.500406,0.500406,0.780633,0.749797,0.749797,0.125203,0.655430
0.23,0.479656,0.479656,0.738671,0.760172,0.760172,0.115035,0.623636
0.24,0.459094,0.459094,0.697823,0.770453,0.770453,0.105384,0.592439
0.25,0.438722,0.438722,0.658083,0.780639,0.780639,0.096238,0.561844
0.26,0.418542,0.418542,0.619442,0.790729,0.790729,0.087589,0.531853
0.27,0.398557,0.398557,0.581893,0.800722,0.800722,0.079424,0.502469
0.28,0.378770,0.378770,0.545428,0.810615,0.810615,0.071733,0.473695
0.29,0.359183,0.359183,0.510039,0.820409,0.820409,0.064506,0.445533
0.30,0.339799,0.339799,0.475718,0.830101,0.830101,0.057732,0.417987
0.31,0.320621,0.320621,0.442457,0.839689,0.839689,0.051399,0.391058
0.32,0.301653,0.301653,0.410247,0.849174,0.849174,0.045497,0.364750
0.33,0.282896,0.282896,0.379081,0.858552,0.858552,0.040015,0.339066
0.34,0.264355,0.264355,0.348949,0.867822,0.867822,0.034942,0.314007
0.35,0.246033,0.246033,0.319842,0.876984,0.876984,0.030266,0.289576
0.36,0.227932,0.227932,0.291753,0.886034,0.886034,0.025977,0.265777
0.37,0.210057,0.210057,0.264672,0.894972,0.894972,0.022062,0.242610
0.38,0.192411,0.192411,0.238589,0.903795,0.903795,0.018511,0.220079
0.39,0.174998,0.174998,0.213497,0.912501,0.912501,0.015312,0.198185
0.40,0.157821,0.157821,0.189385,0.921090,0.921090,0.012454,0.176931
0.41,0.140884,0.140884,0.166243,0.929558,0.929558,0.009924,0.156319
0.42,0.124192,0.124192,0.144063,0.937904,0.937904,0.007712,0.136351
0.43,0.107749,0.107749,0.122834,0.946125,0.946125,0.005805,0.117029
0.44,0.091559,0.091559,0.102546,0.954220,0.954220,0.004192,0.098355
0.45,0.075627,0.075627,0.083190,0.962187,0.962187,0.002860,0.080330
0.46,0.059957,0.059957,0.064753,0.970022,0.970022,0.001797,0.062956
0.47,0.044554,0.044554,0.047227,0.977723,0.977723,0.000993,0.046235
0.48,0.029423,0.029423,0.030600,0.985288,0.985288,0.000433,0.030168
0.49,0.014570,0.014570,0.014862,0.992715,0.992715,0.000106,0.014756
0.50,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
