p,phi_S,phi_W,gap_W_minus_S,W_below_S
0.00,2.000000000000,2.000000000000,0.000000000000,0
0.01,1.899374475811,0.975645426002,-0.923729049809,1
0.02,1.803831464860,0.951436581254,-0.852394883606,1
0.03,1.713049637731,0.927374952840,-0.785674684891,1
0.04,1.626733332051,0.903462058509,-0.723271273542,1
0.05,1.544610090969,0.879699447628,-0.664910643341,1
0.06,1.466428476645,0.856088702189,-0.610339774456,1
0.07,1.391956123822,0.832631437840,-0.559324685982,1
0.08,1.320978003496,0.809329304980,-0.511648698516,1
0.09,1.253294870900,0.786183989886,-0.467110881014,1
0.10,1.188721875541,0.763197215899,-0.425524659642,1
0.11,1.127087314040,0.740370744661,-0.386716569379,1
0.12,1.068231509081,0.717706377399,-0.350525131682,1
0.13,1.012005799955,0.695205956284,-0.316799843671,1
0.14,0.958271632065,0.672871365838,-0.285400266227,1
0.15,0.906899734341,0.650704534409,-0.256195199932,1
0.16,0.857769374904,0.628707435723,-0.229061939181,1
0.17,0.810767686521,0.606882090505,-0.203885596016,1
0.18,0.765789054383,0.585230568172,-0.180558486211,1
0.19,0.722734559671,0.563754988619,-0.158979571052,1
0.20,0.681511473110,0.542457524090,-0.139053949020,1
0.21,0.642032793416,0.521340401138,-0.120692392278,1
0.22,0.604216826102,0.500405902688,-0.103810923414,1
0.23,0.567986798628,0.479656370209,-0.088330428419,1
0.24,0.533270508337,0.459094205988,-0.074176302349,1
0.25,0.500000000000,0.438721875541,-0.061278124459,1
0.26,0.468111270143,0.418541910132,-0.049569360011,1
0.27,0.437543995633,0.398556909447,-0.038987086186,1
0.28,0.408241284268,0.378769544401,-0.029471739867,1
0.29,0.380149445343,0.359182560108,-0.020966885235,1
0.30,0.353217778400,0.339798779019,-0.013418999381,1
0.31,0.327398378510,0.320621104232,-0.006777274278,1
0.32,0.302645956652,0.301652523003,-0.000993433649,1
0.33,0.278917673858,0.282896110458,0.003978436600,0
0.34,0.256172987942,0.264355033525,0.008182045583,0
0.35,0.234373511752,0.246032555115,0.011659043363,0
0.36,0.213482881971,0.227932038544,0.014449156573,0
0.37,0.193466637598,0.210056952247,0.016590314649,0
0.38,0.174292107321,0.192410874780,0.018118767459,0
0.39,0.155928305070,0.174997500151,0.019069195081,0
0.40,0.138345833093,0.157820643500,0.019474810407,0
0.41,0.121516791981,0.140884247156,0.019367455175,0
0.42,0.105414697098,0.124192387105,0.018777690007,0
0.43,0.090014400937,0.107749279902,0.017734878965,0
0.44,0.075292020964,0.091559290078,0.016267269114,0
0.45,0.061224872556,0.075626938062,0.014402065506,0
0.46,0.047791406656,0.059956908690,0.012165502034,0
0.47,0.034971151835,0.044554060338,0.009582908503,0
0.48,0.022744660456,0.029423434751,0.006678774295,0
0.49,0.011093458669,0.014570267620,0.003476808951,0
0.50,0.000000000000,0.000000000000,0.000000000000,0
