p,phi_W,phi_C,phi_S,d_WC,abs_d_WC,over_tol_WC,g_WS,abs_g_WS
0.0,2.0000000000,2.0000000000,2.0000000000,0.000e+00,0.000e+00,0,0.000e+00,0.000e+00
0.01,0.9756454260,0.9756454260,1.8993744758,0.000e+00,0.000e+00,0,-9.237e-01,9.237e-01
0.02,0.9514365813,0.9514365813,1.8038314649,0.000e+00,0.000e+00,0,-8.524e-01,8.524e-01
0.03,0.9273749528,0.9273749528,1.7130496377,0.000e+00,0.000e+00,0,-7.857e-01,7.857e-01
0.04,0.9034620585,0.9034620585,1.6267333321,0.000e+00,0.000e+00,0,-7.233e-01,7.233e-01
0.05,0.8796994476,0.8796994476,1.5446100910,0.000e+00,0.000e+00,0,-6.649e-01,6.649e-01
0.06,0.8560887022,0.8560887022,1.4664284766,0.000e+00,0.000e+00,0,-6.103e-01,6.103e-01
0.07,0.8326314378,0.8326314378,1.3919561238,0.000e+00,0.000e+00,0,-5.593e-01,5.593e-01
0.08,0.8093293050,0.8093293050,1.3209780035,0.000e+00,0.000e+00,0,-5.116e-01,5.116e-01
0.09,0.7861839899,0.7861839899,1.2532948709,0.000e+00,0.000e+00,0,-4.671e-01,4.671e-01
0.1,0.7631972159,0.7631972159,1.1887218755,0.000e+00,0.000e+00,0,-4.255e-01,4.255e-01
0.11,0.7403707447,0.7403707447,1.1270873140,0.000e+00,0.000e+00,0,-3.867e-01,3.867e-01
0.12,0.7177063774,0.7177063774,1.0682315091,0.000e+00,0.000e+00,0,-3.505e-01,3.505e-01
0.13,0.6952059563,0.6952059563,1.0120058000,0.000e+00,0.000e+00,0,-3.168e-01,3.168e-01
0.14,0.6728713658,0.6728713658,0.9582716321,0.000e+00,0.000e+00,0,-2.854e-01,2.854e-01
0.15,0.6507045344,0.6507045344,0.9068997343,0.000e+00,0.000e+00,0,-2.562e-01,2.562e-01
0.16,0.6287074357,0.6287074357,0.8577693749,0.000e+00,0.000e+00,0,-2.291e-01,2.291e-01
0.17,0.6068820905,0.6068820905,0.8107676865,0.000e+00,0.000e+00,0,-2.039e-01,2.039e-01
0.18,0.5852305682,0.5852305682,0.7657890544,0.000e+00,0.000e+00,0,-1.806e-01,1.806e-01
0.19,0.5637549886,0.5637549886,0.7227345597,0.000e+00,0.000e+00,0,-1.590e-01,1.590e-01
0.2,0.5424575241,0.5424575241,0.6815114731,0.000e+00,0.000e+00,0,-1.391e-01,1.391e-01
0.21,0.5213404011,0.5213404011,0.6420327934,0.000e+00,0.000e+00,0,-1.207e-01,1.207e-01
0.22,0.5004059027,0.5004059027,0.6042168261,0.000e+00,0.000e+00,0,-1.038e-01,1.038e-01
0.23,0.4796563702,0.4796563702,0.5679867986,0.000e+00,0.000e+00,0,-8.833e-02,8.833e-02
0.24,0.4590942060,0.4590942060,0.5332705083,0.000e+00,0.000e+00,0,-7.418e-02,7.418e-02
0.25,0.4387218755,0.4387218755,0.5000000000,0.000e+00,0.000e+00,0,-6.128e-02,6.128e-02
0.26,0.4185419101,0.4185419101,0.4681112701,0.000e+00,0.000e+00,0,-4.957e-02,4.957e-02
0.27,0.3985569094,0.3985569094,0.4375439956,0.000e+00,0.000e+00,0,-3.899e-02,3.899e-02
0.28,0.3787695444,0.3787695444,0.4082412843,0.000e+00,0.000e+00,0,-2.947e-02,2.947e-02
0.29,0.3591825601,0.3591825601,0.3801494453,0.000e+00,0.000e+00,0,-2.097e-02,2.097e-02
0.3,0.3397987790,0.3397987790,0.3532177784,0.000e+00,0.000e+00,0,-1.342e-02,1.342e-02
0.31,0.3206211042,0.3206211042,0.3273983785,0.000e+00,0.000e+00,0,-6.777e-03,6.777e-03
0.32,0.3016525230,0.3016525230,0.3026459567,0.000e+00,0.000e+00,0,-9.934e-04,9.934e-04
0.33,0.2828961105,0.2828961105,0.2789176739,0.000e+00,0.000e+00,0,3.978e-03,3.978e-03
0.34,0.2643550335,0.2643550335,0.2561729879,0.000e+00,0.000e+00,0,8.182e-03,8.182e-03
0.35,0.2460325551,0.2460325551,0.2343735118,0.000e+00,0.000e+00,0,1.166e-02,1.166e-02
0.36,0.2279320385,0.2279320385,0.2134828820,0.000e+00,0.000e+00,0,1.445e-02,1.445e-02
0.37,0.2100569522,0.2100569522,0.1934666376,0.000e+00,0.000e+00,0,1.659e-02,1.659e-02
0.38,0.1924108748,0.1924108748,0.1742921073,0.000e+00,0.000e+00,0,1.812e-02,1.812e-02
0.39,0.1749975002,0.1749975002,0.1559283051,0.000e+00,0.000e+00,0,1.907e-02,1.907e-02
0.4,0.1578206435,0.1578206435,0.1383458331,0.000e+00,0.000e+00,0,1.947e-02,1.947e-02
0.41,0.1408842472,0.1408842472,0.1215167920,0.000e+00,0.000e+00,0,1.937e-02,1.937e-02
0.42,0.1241923871,0.1241923871,0.1054146971,0.000e+00,0.000e+00,0,1.878e-02,1.878e-02
0.43,0.1077492799,0.1077492799,0.0900144009,0.000e+00,0.000e+00,0,1.773e-02,1.773e-02
0.44,0.0915592901,0.0915592901,0.0752920210,0.000e+00,0.000e+00,0,1.627e-02,1.627e-02
0.45,0.0756269381,0.0756269381,0.0612248726,0.000e+00,0.000e+00,0,1.440e-02,1.440e-02
0.46,0.0599569087,0.0599569087,0.0477914067,0.000e+00,0.000e+00,0,1.217e-02,1.217e-02
0.47,0.0445540603,0.0445540603,0.0349711518,0.000e+00,0.000e+00,0,9.583e-03,9.583e-03
0.48,0.0294234348,0.0294234348,0.0227446605,0.000e+00,0.000e+00,0,6.679e-03,6.679e-03
0.49,0.0145702676,0.0145702676,0.0110934587,0.000e+00,0.000e+00,0,3.477e-03,3.477e-03
0.5,0.0000000000,0.0000000000,0.0000000000,0.000e+00,0.000e+00,0,0.000e+00,0.000e+00
