n,p,phi,phi_hat,structure,boolean_law,residual
3,0.0,0.5,1.0,triadic,1.0,0.0
3,0.01,0.487823,0.975645,triadic,0.941192,0.034453
3,0.02,0.475718,0.951437,triadic,0.884736,0.066701
3,0.03,0.463687,0.927375,triadic,0.830584,0.096791
3,0.04,0.451731,0.903462,triadic,0.778688,0.124774
3,0.05,0.43985,0.879699,triadic,0.729,0.150699
3,0.06,0.428044,0.856089,triadic,0.681472,0.174617
3,0.07,0.416316,0.832631,triadic,0.636056,0.196575
3,0.08,0.404665,0.809329,triadic,0.592704,0.216625
3,0.09,0.393092,0.786184,triadic,0.551368,0.234816
3,0.1,0.381599,0.763197,triadic,0.512,0.251197
3,0.11,0.370185,0.740371,triadic,0.474552,0.265819
3,0.12,0.358853,0.717706,triadic,0.438976,0.27873
3,0.13,0.347603,0.695206,triadic,0.405224,0.289982
3,0.14,0.336436,0.672871,triadic,0.373248,0.299623
3,0.15,0.325352,0.650705,triadic,0.343,0.307705
3,0.16,0.314354,0.628707,triadic,0.314432,0.314275
3,0.17,0.303441,0.606882,triadic,0.287496,0.319386
3,0.18,0.292615,0.585231,triadic,0.262144,0.323087
3,0.19,0.281877,0.563755,triadic,0.238328,0.325427
3,0.2,0.271229,0.542458,triadic,0.216,0.326458
3,0.21,0.26067,0.52134,triadic,0.195112,0.326228
3,0.22,0.250203,0.500406,triadic,0.175616,0.32479
3,0.23,0.239828,0.479656,triadic,0.157464,0.322192
3,0.24,0.229547,0.459094,triadic,0.140608,0.318486
3,0.25,0.219361,0.438722,triadic,0.125,0.313722
3,0.26,0.209271,0.418542,triadic,0.110592,0.30795
3,0.27,0.199278,0.398557,triadic,0.097336,0.301221
3,0.28,0.189385,0.37877,triadic,0.085184,0.293586
3,0.29,0.179591,0.359183,triadic,0.074088,0.285095
3,0.3,0.169899,0.339799,triadic,0.064,0.275799
3,0.31,0.160311,0.320621,triadic,0.054872,0.265749
3,0.32,0.150826,0.301653,triadic,0.046656,0.254997
3,0.33,0.141448,0.282896,triadic,0.039304,0.243592
3,0.34,0.132178,0.264355,triadic,0.032768,0.231587
3,0.35,0.123016,0.246033,triadic,0.027,0.219033
3,0.36,0.113966,0.227932,triadic,0.021952,0.20598
3,0.37,0.105028,0.210057,triadic,0.017576,0.192481
3,0.38,0.096205,0.192411,triadic,0.013824,0.178587
3,0.39,0.087499,0.174998,triadic,0.010648,0.16435
3,0.4,0.07891,0.157821,triadic,0.008,0.149821
3,0.41,0.070442,0.140884,triadic,0.005832,0.135052
3,0.42,0.062096,0.124192,triadic,0.004096,0.120096
3,0.43,0.053875,0.107749,triadic,0.002744,0.105005
3,0.44,0.04578,0.091559,triadic,0.001728,0.089831
3,0.45,0.037813,0.075627,triadic,0.001,0.074627
3,0.46,0.029978,0.059957,triadic,0.000512,0.059445
3,0.47,0.022277,0.044554,triadic,0.000216,0.044338
3,0.48,0.014712,0.029423,triadic,6.4e-05,0.029359
3,0.49,0.007285,0.01457,triadic,8e-06,0.014562
3,0.5,0.0,0.0,dyadic,0.0,0.0
4,0.0,0.25,1.0,triadic,1.0,0.0
4,0.01,0.243911,0.975645,triadic,0.922368,0.053277
4,0.02,0.237859,0.951437,triadic,0.849347,0.10209
4,0.03,0.231844,0.927375,triadic,0.780749,0.146626
4,0.04,0.225866,0.903462,triadic,0.716393,0.187069
4,0.05,0.219925,0.879699,triadic,0.6561,0.223599
4,0.06,0.214022,0.856089,triadic,0.599695,0.256393
4,0.07,0.208158,0.832631,triadic,0.547008,0.285623
4,0.08,0.202332,0.809329,triadic,0.497871,0.311458
4,0.09,0.196546,0.786184,triadic,0.452122,0.334062
4,0.1,0.190799,0.763197,triadic,0.4096,0.353597
4,0.11,0.185093,0.740371,triadic,0.370151,0.37022
4,0.12,0.179427,0.717706,triadic,0.333622,0.384085
4,0.13,0.173801,0.695206,triadic,0.299866,0.39534
4,0.14,0.168218,0.672871,triadic,0.268739,0.404133
4,0.15,0.162676,0.650705,triadic,0.2401,0.410605
4,0.16,0.157177,0.628707,triadic,0.213814,0.414894
4,0.17,0.151721,0.606882,triadic,0.189747,0.417135
4,0.18,0.146308,0.585231,triadic,0.167772,0.417458
4,0.19,0.140939,0.563755,triadic,0.147763,0.415992
4,0.2,0.135614,0.542458,triadic,0.1296,0.412858
4,0.21,0.130335,0.52134,triadic,0.113165,0.408175
4,0.22,0.125101,0.500406,triadic,0.098345,0.402061
4,0.23,0.119914,0.479656,triadic,0.085031,0.394626
4,0.24,0.114774,0.459094,triadic,0.073116,0.385978
4,0.25,0.10968,0.438722,triadic,0.0625,0.376222
4,0.26,0.104635,0.418542,triadic,0.053084,0.365458
4,0.27,0.099639,0.398557,triadic,0.044775,0.353782
4,0.28,0.094692,0.37877,triadic,0.037481,0.341289
4,0.29,0.089796,0.359183,triadic,0.031117,0.328066
4,0.3,0.08495,0.339799,triadic,0.0256,0.314199
4,0.31,0.080155,0.320621,triadic,0.020851,0.29977
4,0.32,0.075413,0.301653,triadic,0.016796,0.284856
4,0.33,0.070724,0.282896,triadic,0.013363,0.269533
4,0.34,0.066089,0.264355,triadic,0.010486,0.253869
4,0.35,0.061508,0.246033,triadic,0.0081,0.237933
4,0.36,0.056983,0.227932,triadic,0.006147,0.221785
4,0.37,0.052514,0.210057,triadic,0.00457,0.205487
4,0.38,0.048103,0.192411,triadic,0.003318,0.189093
4,0.39,0.043749,0.174998,triadic,0.002343,0.172655
4,0.4,0.039455,0.157821,triadic,0.0016,0.156221
4,0.41,0.035221,0.140884,triadic,0.00105,0.139834
4,0.42,0.031048,0.124192,triadic,0.000655,0.123537
4,0.43,0.026937,0.107749,triadic,0.000384,0.107365
4,0.44,0.02289,0.091559,triadic,0.000207,0.091352
4,0.45,0.018907,0.075627,triadic,0.0001,0.075527
4,0.46,0.014989,0.059957,triadic,4.1e-05,0.059916
4,0.47,0.011139,0.044554,triadic,1.3e-05,0.044541
4,0.48,0.007356,0.029423,triadic,3e-06,0.029421
4,0.49,0.003643,0.01457,triadic,0.0,0.01457
4,0.5,0.0,0.0,dyadic,0.0,0.0
