form,n,p,phi,chi,abs_chi
parity,3,0.0,0.5,-1.2177286999081993,1.2177286999081993
parity,3,0.01,0.487822713000918,-1.2140854686581548,1.2140854686581548
parity,3,0.02,0.4757182906268369,-1.2067618290451305,1.2067618290451305
parity,3,0.03,0.4636874764200154,-1.199363068627493,1.199363068627493
parity,3,0.04,0.45173102925428704,-1.1918876302904748,1.1918876302904748
parity,3,0.05,0.4398497238142059,-1.1843339079959077,1.1843339079959077
parity,3,0.06,0.4280443510943689,-1.1767002447109178,1.1767002447109178
parity,3,0.07,0.41631571891998753,-1.1689849302258135,1.1689849302258135
parity,3,0.08,0.4046646524898526,-1.1611861988540202,1.1611861988540202
parity,3,0.09,0.39309199494290714,-1.153302227006253,1.153302227006253
parity,3,0.1,0.38159860794972755,-1.1453311306306304,1.1453311306306304
parity,3,0.11,0.3701853723302945,-1.1372709625097794,1.1372709625097794
parity,3,0.12,0.358853188699532,-1.129119709405149,1.129119709405149
parity,3,0.13,0.34760297814219154,-1.1208752890380749,1.1208752890380749
parity,3,0.14,0.33643568291877046,-1.1125355468963156,1.1125355468963156
parity,3,0.15,0.32535226720426524,-1.104098252853778,1.104098252853778
parity,3,0.16,0.3143537178616949,-1.0955610975901133,1.0955610975901133
parity,3,0.17,0.30344104525246296,-1.0869216887958837,1.0869216887958837
parity,3,0.18,0.29261528408577725,-1.078177547147669,1.078177547147669
parity,3,0.19,0.2818774943095096,-1.0693261020361073,1.0693261020361073
parity,3,0.2,0.2712287620450551,-1.0603646870285093,1.0603646870285093
parity,3,0.21,0.2606702005689394,-1.0512905350460433,1.0512905350460433
parity,3,0.22,0.25020295134413423,-1.0421007732335679,1.0421007732335679
parity,3,0.23,0.23982818510426804,-1.0327924174983563,1.0327924174983563
parity,3,0.24,0.2295471029941671,-1.0233623666917233,1.0233623666917233
parity,3,0.25,0.21936093777043358,-1.013807396405191,1.013807396405191
parity,3,0.26,0.20927095506606327,-1.0041241523500906,1.0041241523500906
parity,3,0.27,0.19927845472343175,-0.9943091432865875,0.9943091432865875
parity,3,0.28,0.1893847722003315,-0.9843587334648481,0.9843587334648481
parity,3,0.29,0.17959128005413483,-0.9742691345373482,0.9742691345373482
parity,3,0.3,0.16989938950958458,-0.9640363968973281,0.9640363968973281
parity,3,0.31,0.16031055211618825,-0.9536564003937811,0.9536564003937811
parity,3,0.32,0.15082626150170894,-0.9431248443683654,0.9431248443683654
parity,3,0.33,0.14144805522882092,-0.932437236953925,0.932437236953925
parity,3,0.34,0.13217751676263043,-0.9215888835679382,0.9215888835679382
parity,3,0.35,0.1230162775574622,-0.9105748745271172,0.9105748745271172
parity,3,0.36,0.11396601927208812,-0.8993900717013384,0.8993900717013384
parity,3,0.37,0.10502847612343541,-0.8880290941160723,0.8880290941160723
parity,3,0.38,0.09620543738976665,-0.8764863024023065,0.8764863024023065
parity,3,0.39,0.08749875007538926,-0.8647557819814251,0.8647557819814251
parity,3,0.4,0.07891032175013814,-0.852831324859492,0.852831324859492
parity,3,0.41,0.07044212357819946,-0.8407064098906176,0.8407064098906176
