form,n,p,phi_mip,phi_hat,structure
parity,3,0.0,0.5,1.0,triadic
parity,3,0.01,0.487822713,0.975645426,triadic
parity,3,0.02,0.475718291,0.951436582,triadic
parity,3,0.03,0.463687476,0.927374952,triadic
parity,3,0.04,0.451731029,0.903462058,triadic
parity,3,0.05,0.439849724,0.879699448,triadic
parity,3,0.06,0.428044351,0.856088702,triadic
parity,3,0.07,0.416315719,0.832631438,triadic
parity,3,0.08,0.404664652,0.809329304,triadic
parity,3,0.09,0.393091995,0.78618399,triadic
parity,3,0.1,0.381598608,0.763197216,triadic
parity,3,0.11,0.370185372,0.740370744,triadic
parity,3,0.12,0.358853189,0.717706378,triadic
parity,3,0.13,0.347602978,0.695205956,triadic
parity,3,0.14,0.336435683,0.672871366,triadic
parity,3,0.15,0.325352267,0.650704534,triadic
parity,3,0.16,0.314353718,0.628707436,triadic
parity,3,0.17,0.303441045,0.60688209,triadic
parity,3,0.18,0.292615284,0.585230568,triadic
parity,3,0.19,0.281877494,0.563754988,triadic
parity,3,0.2,0.271228762,0.542457524,triadic
parity,3,0.21,0.260670201,0.521340402,triadic
parity,3,0.22,0.250202951,0.500405902,triadic
parity,3,0.23,0.239828185,0.47965637,triadic
parity,3,0.24,0.229547103,0.459094206,triadic
parity,3,0.25,0.219360938,0.438721876,triadic
parity,3,0.26,0.209270955,0.41854191,triadic
parity,3,0.27,0.199278455,0.39855691,triadic
parity,3,0.28,0.189384772,0.378769544,triadic
parity,3,0.29,0.17959128,0.35918256,triadic
parity,3,0.3,0.16989939,0.33979878,triadic
parity,3,0.31,0.160310552,0.320621104,triadic
parity,3,0.32,0.150826262,0.301652524,triadic
parity,3,0.33,0.141448055,0.28289611,triadic
parity,3,0.34,0.132177517,0.264355034,triadic
parity,3,0.35,0.123016278,0.246032556,triadic
parity,3,0.36,0.113966019,0.227932038,triadic
parity,3,0.37,0.105028476,0.210056952,triadic
parity,3,0.38,0.096205437,0.192410874,triadic
parity,3,0.39,0.08749875,0.1749975,triadic
parity,3,0.4,0.078910322,0.157820644,triadic
parity,3,0.41,0.070442124,0.140884248,triadic
parity,3,0.42,0.062096194,0.124192388,triadic
parity,3,0.43,0.05387464,0.10774928,triadic
parity,3,0.44,0.045779645,0.09155929,triadic
parity,3,0.45,0.037813469,0.075626938,triadic
parity,3,0.46,0.029978454,0.059956908,triadic
parity,3,0.47,0.02227703,0.04455406,triadic
parity,3,0.48,0.014711717,0.029423434,triadic
parity,3,0.49,0.007285134,0.014570268,triadic
parity,3,0.5,0.0,0.0,dyadic
parity,4,0.0,0.25,1.0,triadic
parity,4,0.01,0.243911357,0.975645428,triadic
parity,4,0.02,0.237859145,0.95143658,triadic
parity,4,0.03,0.231843738,0.927374952,triadic
parity,4,0.04,0.225865515,0.90346206,triadic
parity,4,0.05,0.219924862,0.879699448,triadic
parity,4,0.06,0.214022176,0.856088704,triadic
parity,4,0.07,0.208157859,0.832631436,triadic
parity,4,0.08,0.202332326,0.809329304,triadic
parity,4,0.09,0.196545997,0.786183988,triadic
parity,4,0.1,0.190799304,0.763197216,triadic
parity,4,0.11,0.185092686,0.740370744,triadic
parity,4,0.12,0.179426594,0.717706376,triadic
parity,4,0.13,0.173801489,0.695205956,triadic
parity,4,0.14,0.168217841,0.672871364,triadic
parity,4,0.15,0.162676134,0.650704536,triadic
parity,4,0.16,0.157176859,0.628707436,triadic
parity,4,0.17,0.151720523,0.606882092,triadic
parity,4,0.18,0.146307642,0.585230568,triadic
parity,4,0.19,0.140938747,0.563754988,triadic
parity,4,0.2,0.135614381,0.542457524,triadic
parity,4,0.21,0.1303351,0.5213404,triadic
parity,4,0.22,0.125101476,0.500405904,triadic
parity,4,0.23,0.119914093,0.479656372,triadic
parity,4,0.24,0.114773551,0.459094204,triadic
parity,4,0.25,0.109680469,0.438721876,triadic
parity,4,0.26,0.104635478,0.418541912,triadic
parity,4,0.27,0.099639227,0.398556908,triadic
parity,4,0.28,0.094692386,0.378769544,triadic
parity,4,0.29,0.08979564,0.35918256,triadic
parity,4,0.3,0.084949695,0.33979878,triadic
parity,4,0.31,0.080155276,0.320621104,triadic
parity,4,0.32,0.075413131,0.301652524,triadic
parity,4,0.33,0.070724028,0.282896112,triadic
parity,4,0.34,0.066088758,0.264355032,triadic
parity,4,0.35,0.061508139,0.246032556,triadic
parity,4,0.36,0.05698301,0.22793204,triadic
parity,4,0.37,0.052514238,0.210056952,triadic
parity,4,0.38,0.048102719,0.192410876,triadic
parity,4,0.39,0.043749375,0.1749975,triadic
parity,4,0.4,0.039455161,0.157820644,triadic
parity,4,0.41,0.035221062,0.140884248,triadic
parity,4,0.42,0.031048097,0.124192388,triadic
parity,4,0.43,0.02693732,0.10774928,triadic
parity,4,0.44,0.022889823,0.091559292,triadic
parity,4,0.45,0.018906735,0.07562694,triadic
parity,4,0.46,0.014989227,0.059956908,triadic
parity,4,0.47,0.011138515,0.04455406,triadic
parity,4,0.48,0.007355859,0.029423436,triadic
parity,4,0.49,0.003642567,0.014570268,triadic
parity,4,0.5,0.0,0.0,dyadic
conjunctive,3,0.0,2.0,1.0,triadic
conjunctive,3,0.01,1.899374476,0.949687238,triadic
conjunctive,3,0.02,1.803831465,0.901915733,triadic
conjunctive,3,0.03,1.713049638,0.856524819,triadic
conjunctive,3,0.04,1.626733332,0.813366666,triadic
conjunctive,3,0.05,1.544610091,0.772305046,triadic
conjunctive,3,0.06,1.466428477,0.733214239,triadic
conjunctive,3,0.07,1.391956124,0.695978062,triadic
conjunctive,3,0.08,1.320978003,0.660489002,triadic
conjunctive,3,0.09,1.253294871,0.626647436,triadic
conjunctive,3,0.1,1.188721876,0.594360938,triadic
conjunctive,3,0.11,1.127087314,0.563543657,triadic
conjunctive,3,0.12,1.068231509,0.534115755,triadic
conjunctive,3,0.13,1.0120058,0.5060029,triadic
conjunctive,3,0.14,0.958271632,0.479135816,triadic
conjunctive,3,0.15,0.906899734,0.453449867,triadic
conjunctive,3,0.16,0.857769375,0.428884687,triadic
conjunctive,3,0.17,0.810767687,0.405383844,triadic
conjunctive,3,0.18,0.765789054,0.382894527,triadic
conjunctive,3,0.19,0.72273456,0.36136728,triadic
conjunctive,3,0.2,0.681511473,0.340755737,triadic
conjunctive,3,0.21,0.642032793,0.321016397,triadic
conjunctive,3,0.22,0.604216826,0.302108413,triadic
conjunctive,3,0.23,0.567986799,0.2839934,triadic
conjunctive,3,0.24,0.533270508,0.266635254,triadic
conjunctive,3,0.25,0.5,0.25,triadic
conjunctive,3,0.26,0.46811127,0.234055635,triadic
conjunctive,3,0.27,0.437543996,0.218771998,triadic
conjunctive,3,0.28,0.408241284,0.204120642,triadic
conjunctive,3,0.29,0.380149445,0.190074722,triadic
conjunctive,3,0.3,0.353217778,0.176608889,triadic
conjunctive,3,0.31,0.327398379,0.16369919,triadic
conjunctive,3,0.32,0.302645957,0.151322979,triadic
conjunctive,3,0.33,0.278917674,0.139458837,triadic
conjunctive,3,0.34,0.256172988,0.128086494,triadic
conjunctive,3,0.35,0.234373512,0.117186756,triadic
conjunctive,3,0.36,0.213482882,0.106741441,triadic
conjunctive,3,0.37,0.193466638,0.096733319,triadic
conjunctive,3,0.38,0.174292107,0.087146054,triadic
conjunctive,3,0.39,0.155928305,0.077964152,triadic
conjunctive,3,0.4,0.138345833,0.069172917,triadic
conjunctive,3,0.41,0.121516792,0.060758396,triadic
conjunctive,3,0.42,0.105414697,0.052707349,triadic
conjunctive,3,0.43,0.090014401,0.0450072,triadic
conjunctive,3,0.44,0.075292021,0.037646011,triadic
conjunctive,3,0.45,0.061224873,0.030612436,triadic
conjunctive,3,0.46,0.047791407,0.023895704,triadic
conjunctive,3,0.47,0.034971152,0.017485576,triadic
conjunctive,3,0.48,0.02274466,0.01137233,triadic
conjunctive,3,0.49,0.011093459,0.005546729,triadic
conjunctive,3,0.5,0.0,0.0,dyadic
conjunctive,4,0.0,3.0,1.0,triadic
conjunctive,4,0.01,2.70983189,0.903277297,triadic
conjunctive,4,0.02,2.456435557,0.818811852,triadic
conjunctive,4,0.03,2.233687881,0.744562627,triadic
conjunctive,4,0.04,2.036722212,0.678907404,triadic
conjunctive,4,0.05,1.861625697,0.620541899,triadic
conjunctive,4,0.06,1.705219448,0.568406483,triadic
conjunctive,4,0.07,1.56489639,0.52163213,triadic
conjunctive,4,0.08,1.438499935,0.479499978,triadic
conjunctive,4,0.09,1.324232059,0.441410686,triadic
conjunctive,4,0.1,1.220582813,0.406860938,triadic
conjunctive,4,0.11,1.126275699,0.375425233,triadic
conjunctive,4,0.12,1.040224907,0.346741636,triadic
conjunctive,4,0.13,0.961501549,0.320500516,triadic
conjunctive,4,0.14,0.889306743,0.296435581,triadic
conjunctive,4,0.15,0.822950015,0.274316672,triadic
conjunctive,4,0.16,0.761831819,0.25394394,triadic
conjunctive,4,0.17,0.705429306,0.235143102,triadic
conjunctive,4,0.18,0.653284651,0.21776155,triadic
conjunctive,4,0.19,0.604995441,0.201665147,triadic
conjunctive,4,0.2,0.560206684,0.186735561,triadic
conjunctive,4,0.21,0.518604164,0.172868055,triadic
conjunctive,4,0.22,0.47990886,0.15996962,triadic
conjunctive,4,0.23,0.443872252,0.147957417,triadic
conjunctive,4,0.24,0.41027235,0.13675745,triadic
conjunctive,4,0.25,0.378910322,0.126303441,triadic
conjunctive,4,0.26,0.349607614,0.116535871,triadic
conjunctive,4,0.27,0.322203487,0.107401162,triadic
conjunctive,4,0.28,0.296552904,0.098850968,triadic
conjunctive,4,0.29,0.272524699,0.090841566,triadic
conjunctive,4,0.3,0.25,0.083333333,triadic
conjunctive,4,0.31,0.228870858,0.076290286,triadic
conjunctive,4,0.32,0.209039052,0.069679684,triadic
conjunctive,4,0.33,0.19041505,0.063471683,triadic
conjunctive,4,0.34,0.172917092,0.057639031,triadic
conjunctive,4,0.35,0.156470392,0.052156797,triadic
conjunctive,4,0.36,0.141006431,0.047002144,triadic
conjunctive,4,0.37,0.126462335,0.042154112,triadic
conjunctive,4,0.38,0.112780326,0.037593442,triadic
conjunctive,4,0.39,0.099907233,0.033302411,triadic
conjunctive,4,0.4,0.087794058,0.029264686,triadic
conjunctive,4,0.41,0.076395591,0.025465197,triadic
conjunctive,4,0.42,0.065670068,0.021890023,triadic
conjunctive,4,0.43,0.055578859,0.018526286,triadic
conjunctive,4,0.44,0.046086197,0.015362066,triadic
conjunctive,4,0.45,0.03715893,0.01238631,triadic
conjunctive,4,0.46,0.028766296,0.009588765,triadic
conjunctive,4,0.47,0.020879728,0.006959909,triadic
conjunctive,4,0.48,0.013472674,0.004490891,triadic
conjunctive,4,0.49,0.006520431,0.002173477,triadic
conjunctive,4,0.5,0.0,0.0,dyadic
