form,n,p,phi_mip,phi_hat,drop_fraction
parity,3,0.0,0.5,1.0,0.0
parity,3,0.01,0.487822713,0.975645426,0.024354574
parity,3,0.02,0.475718291,0.951436581,0.048563419
parity,3,0.03,0.463687476,0.927374953,0.072625047
parity,3,0.04,0.451731029,0.903462059,0.096537941
parity,3,0.05,0.439849724,0.879699448,0.120300552
parity,3,0.06,0.428044351,0.856088702,0.143911298
parity,3,0.07,0.416315719,0.832631438,0.167368562
parity,3,0.08,0.404664652,0.809329305,0.190670695
parity,3,0.09,0.393091995,0.78618399,0.21381601
parity,3,0.1,0.381598608,0.763197216,0.236802784
parity,3,0.11,0.370185372,0.740370745,0.259629255
parity,3,0.12,0.358853189,0.717706377,0.282293623
parity,3,0.13,0.347602978,0.695205956,0.304794044
parity,3,0.14,0.336435683,0.672871366,0.327128634
parity,3,0.15,0.325352267,0.650704534,0.349295466
parity,3,0.16,0.314353718,0.628707436,0.371292564
parity,3,0.17,0.303441045,0.606882091,0.393117909
parity,3,0.18,0.292615284,0.585230568,0.414769432
parity,3,0.19,0.281877494,0.563754989,0.436245011
parity,3,0.2,0.271228762,0.542457524,0.457542476
parity,3,0.21,0.260670201,0.521340401,0.478659599
parity,3,0.22,0.250202951,0.500405903,0.499594097
parity,3,0.23,0.239828185,0.47965637,0.52034363
parity,3,0.24,0.229547103,0.459094206,0.540905794
parity,3,0.25,0.219360938,0.438721876,0.561278124
parity,3,0.26,0.209270955,0.41854191,0.58145809
parity,3,0.27,0.199278455,0.398556909,0.601443091
parity,3,0.28,0.189384772,0.378769544,0.621230456
parity,3,0.29,0.17959128,0.35918256,0.64081744
parity,3,0.3,0.16989939,0.339798779,0.660201221
parity,3,0.31,0.160310552,0.320621104,0.679378896
parity,3,0.32,0.150826262,0.301652523,0.698347477
parity,3,0.33,0.141448055,0.28289611,0.71710389
parity,3,0.34,0.132177517,0.264355034,0.735644966
parity,3,0.35,0.123016278,0.246032555,0.753967445
parity,3,0.36,0.113966019,0.227932039,0.772067961
