bits,kind,collapses,robustness,noise_phi
10101000,monotone,7,0.1250,1.1554
10100110,parity,6,0.2500,0.3769
10101110,monotone,7,0.1250,1.1554
10100001,monotone,7,0.1250,1.1554
10101001,parity,6,0.2500,0.3769
10100111,monotone,7,0.1250,1.1554
10010100,other,7,0.1250,1.1554
10010010,other,7,0.1250,1.1554
10010110,parity,6,0.2500,0.3769
10011001,parity,6,0.2500,0.3769
10011101,other,7,0.1250,1.1554
10011011,other,7,0.1250,1.1554
01100100,other,7,0.1250,1.1554
01100010,other,7,0.1250,1.1554
01100110,parity,6,0.2500,0.3769
01101001,parity,6,0.2500,0.3769
01101101,other,7,0.1250,1.1554
01101011,other,7,0.1250,1.1554
01011000,monotone,7,0.1250,1.1554
01010110,parity,6,0.2500,0.3769
01011110,monotone,7,0.1250,1.1554
01010001,monotone,7,0.1250,1.1554
01011001,parity,6,0.2500,0.3769
01010111,monotone,7,0.1250,1.1554
