map,param,verdict,phi_mip,mip_partition,read_state
hold_k,1,triadic,2.000000,"2 parts: {W,SC}","(1, 1, 1)"
hold_k,2,dyadic,0.000000,None,"(0, 0, 0)"
hold_k,3,dyadic,0.000000,None,"(0, 0, 0)"
hold_k,4,dyadic,0.000000,None,"(0, 0, 0)"
hold_k,5,dyadic,0.000000,None,"(0, 0, 0)"
hold_k,6,dyadic,0.000000,None,"(0, 0, 0)"
sequential,012,dyadic,0.000000,None,"(0, 0, 0)"
sequential,021,dyadic,0.000000,None,"(0, 0, 0)"
sequential,102,dyadic,0.000000,None,"(0, 0, 0)"
sequential,120,dyadic,0.000000,None,"(0, 0, 0)"
sequential,201,dyadic,0.000000,None,"(0, 0, 0)"
sequential,210,dyadic,0.000000,None,"(0, 0, 0)"
grain2,2,dyadic,0.000000,None,"(0, 0, 0)"
DECISION,k*_det=2,confirmed,hold_residual=0.000000,mip_differs=False;phi_differs=False;band=True,"band=[2, 3, 4, 5, 6]"
