form,period,k,phi_mip,verdict,mip,k_star_det
gig_false_dyad,1,1,2.000000,triadic,"2 parts: {W,SC}",2
gig_false_dyad,1,2,0.000000,dyadic,(factors),2
gig_false_dyad,1,3,0.000000,dyadic,(factors),2
gig_false_dyad,1,4,0.000000,dyadic,(factors),2
gig_false_dyad,1,5,0.000000,dyadic,(factors),2
gig_false_dyad,1,6,0.000000,dyadic,(factors),2
two_sided_match,2,1,2.000000,triadic,"2 parts: {W,SC}",2
two_sided_match,2,2,0.000000,dyadic,(factors),2
two_sided_match,2,3,0.000000,dyadic,(factors),2
two_sided_match,2,4,0.000000,dyadic,(factors),2
two_sided_match,2,5,0.000000,dyadic,(factors),2
two_sided_match,2,6,0.000000,dyadic,(factors),2
