number,author,state,created,merged_at,merged_by
1,slipperyhank,merged,2014-12-16,2014-12-17,wmayner
2,slipperyhank,merged,2015-01-20,2015-01-20,wmayner
3,slipperyhank,merged,2015-01-27,2015-02-05,wmayner
4,slipperyhank,merged,2015-02-23,2015-02-23,wmayner
5,slipperyhank,merged,2015-02-26,2015-02-27,wmayner
6,slipperyhank,merged,2015-04-17,2015-04-20,wmayner
7,slipperyhank,merged,2015-05-06,2015-05-11,wmayner
8,slipperyhank,merged,2015-05-18,2015-06-18,wmayner
10,slipperyhank,merged,2015-10-30,2015-10-30,wmayner
13,gitter-badger,closed,2017-03-29,,
14,grahamfindlay,merged,2017-07-28,2017-08-01,rlmv
15,grahamfindlay,merged,2017-08-07,2017-08-08,wmayner
18,grahamfindlay,closed,2017-10-27,,
21,xcorail,closed,2018-09-04,,
22,sanjayankur31,merged,2018-11-19,2020-01-16,wmayner
23,renzocom,merged,2018-12-13,2020-01-16,wmayner
30,nathanielltaylor,closed,2019-07-02,,
34,juanogo,closed,2019-11-17,,
40,matteograsso,open,2020-07-06,,
42,wmayner,merged,2020-11-12,2020-11-12,wmayner
46,awitte3,closed,2021-03-26,,
47,awitte3,merged,2021-03-31,2021-04-01,wmayner
48,awitte3,merged,2021-05-06,2021-05-14,wmayner
49,awitte3,open,2021-05-25,,
50,sanjayankur31,merged,2021-08-18,2021-08-18,wmayner
53,zaeemzadeh,merged,2022-03-23,2022-03-24,wmayner
54,zaeemzadeh,merged,2022-03-24,2022-03-29,wmayner
55,zaeemzadeh,merged,2022-03-31,2022-03-31,wmayner
56,zaeemzadeh,merged,2022-03-31,2022-04-06,wmayner
57,zaeemzadeh,merged,2022-04-22,2022-04-22,wmayner
58,zaeemzadeh,merged,2022-05-02,2022-05-02,wmayner
59,zaeemzadeh,merged,2022-05-17,2022-05-17,wmayner
61,isacdaavid,closed,2022-06-13,,
62,isacdaavid,merged,2022-06-13,2022-06-14,wmayner
63,dviggiano,closed,2022-09-15,,
64,dviggiano,merged,2022-09-22,2022-09-22,wmayner
65,dviggiano,closed,2022-09-23,,
66,dviggiano,merged,2022-09-25,2022-09-26,wmayner
67,dviggiano,closed,2022-10-06,,
68,dviggiano,merged,2022-10-06,2022-10-20,wmayner
69,isacdaavid,merged,2022-10-26,2022-10-27,wmayner
70,isacdaavid,merged,2022-11-07,2022-11-08,wmayner
71,isacdaavid,merged,2022-11-08,2022-11-08,wmayner
72,isacdaavid,closed,2022-11-21,,
73,isacdaavid,merged,2022-11-23,2022-12-01,wmayner
74,isacdaavid,merged,2022-12-06,2022-12-06,isacdaavid
75,isacdaavid,merged,2022-12-07,2022-12-07,isacdaavid
76,isacdaavid,merged,2022-12-07,2022-12-07,isacdaavid
77,isacdaavid,merged,2022-12-29,2022-12-29,wmayner
78,isacdaavid,merged,2022-12-29,2022-12-29,isacdaavid
79,isacdaavid,merged,2022-12-30,2023-01-03,wmayner
80,dviggiano,closed,2023-02-01,,
81,dviggiano,merged,2023-02-06,2023-02-06,wmayner
82,dviggiano,merged,2023-02-06,2023-02-08,wmayner
83,dviggiano,closed,2023-02-08,,
84,dviggiano,closed,2023-02-09,,
85,dviggiano,merged,2023-02-13,2023-02-13,wmayner
86,dviggiano,closed,2023-02-13,,
87,dviggiano,merged,2023-02-20,2023-02-20,dviggiano
88,dviggiano,merged,2023-02-27,2023-02-27,dviggiano
89,dviggiano,merged,2023-02-27,2023-02-27,dviggiano
90,dviggiano,merged,2023-03-01,2023-03-01,dviggiano
91,dviggiano,merged,2023-03-01,2023-03-01,dviggiano
92,dviggiano,merged,2023-03-01,2023-03-01,dviggiano
93,dviggiano,merged,2023-03-01,2023-03-01,dviggiano
94,dviggiano,merged,2023-03-01,2023-03-01,dviggiano
