week,wmayner,rlmv,William Marshall
0,0,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,0,0,0
34,0,0,0
35,1,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,1
44,1,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,1,0,0
49,1,0,1
50,1,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,1,0,1
55,1,0,1
56,0,0,1
57,1,0,1
58,1,0,1
59,1,0,1
60,1,0,1
61,1,0,1
62,1,0,1
63,1,0,0
64,1,0,1
65,0,0,0
66,0,0,1
67,1,0,1
68,1,0,0
69,1,0,1
70,1,0,1
71,1,0,1
72,0,0,0
73,0,0,0
74,0,0,1
75,1,0,1
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,0,0,0
81,1,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,1,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,1,0,0
93,0,0,1
94,0,0,1
95,1,0,0
96,1,0,0
97,0,0,0
98,0,1,0
99,1,1,0
100,0,1,0
101,0,1,0
102,0,1,0
103,1,1,0
104,1,0,0
105,1,1,0
106,1,1,0
107,1,1,0
108,0,1,0
109,1,1,0
110,1,1,0
111,1,1,0
112,0,1,0
113,0,1,0
114,0,1,0
115,0,1,0
116,0,1,0
117,0,1,1
118,0,1,0
119,0,0,0
120,0,1,0
121,1,0,0
122,0,1,0
123,0,0,0
124,0,1,0
125,0,0,1
126,1,1,1
127,1,1,0
128,1,1,0
129,0,1,0
130,0,1,0
131,0,0,0
132,0,1,0
133,1,1,0
134,0,0,0
135,1,1,0
136,0,1,0
137,0,1,0
138,1,1,0
139,0,1,0
140,0,0,0
141,0,0,0
142,0,1,0
143,0,0,0
144,1,1,0
145,0,1,0
146,0,1,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,1,0
153,0,0,0
154,1,0,0
155,1,1,0
156,0,0,0
157,1,0,0
158,1,0,0
159,0,0,0
160,0,0,0
161,0,1,0
162,0,0,0
163,0,1,0
164,0,0,0
165,0,1,0
166,1,0,0
167,0,1,0
168,1,1,0
169,0,1,0
170,0,1,0
171,1,0,0
172,0,0,0
173,0,1,0
174,0,1,0
175,0,1,0
176,0,1,0
177,1,1,0
178,1,1,0
179,1,1,0
180,1,1,0
181,1,1,0
182,0,0,0
183,1,1,0
184,1,0,0
185,1,0,0
186,1,1,0
187,1,0,0
188,1,0,0
189,0,1,0
190,0,1,0
191,1,1,0
192,1,1,0
193,1,1,0
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,0
199,1,1,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,1,0
204,1,1,0
205,1,1,0
206,1,1,0
207,1,1,0
208,1,0,0
209,1,0,0
210,0,1,0
211,1,1,0
212,0,1,0
213,0,1,0
214,0,1,0
215,0,1,0
216,0,1,0
217,0,1,0
218,0,1,0
219,1,1,0
220,0,0,0
221,0,1,0
222,0,0,0
223,0,0,0
224,0,1,0
225,0,1,0
226,0,0,0
227,0,1,0
228,0,1,0
229,1,0,0
230,1,1,0
231,0,1,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,1,0
237,0,0,0
238,0,0,0
239,1,1,0
240,1,0,0
241,1,0,0
242,0,1,0
243,0,0,0
244,0,1,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,1,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,1,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,1,0,0
258,0,0,0
259,0,0,0
260,0,0,0
