number,author,state,created,merged_at,merged_by
33912,Shy4n7,merged,2026-04-30,2026-05-04,jeremiedbb
33916,DimitriPapadopoulos,merged,2026-05-01,2026-05-04,jeremiedbb
33917,dependabot[bot],merged,2026-05-01,2026-05-20,ogrisel
33918,danilo-silva-ufsc,merged,2026-05-01,2026-05-04,OmarManzoor
33925,scikit-learn-bot,merged,2026-05-04,2026-05-04,ogrisel
33926,scikit-learn-bot,merged,2026-05-04,2026-05-04,ogrisel
33927,scikit-learn-bot,merged,2026-05-04,2026-05-04,ogrisel
33928,FrancoisPgm,merged,2026-05-04,2026-05-12,jeremiedbb
33929,cakedev0,merged,2026-05-04,2026-05-12,betatim
33934,rgommers,merged,2026-05-06,2026-05-06,jeremiedbb
33936,FrancoisPgm,merged,2026-05-06,2026-05-06,jeremiedbb
33937,lorentzenchr,merged,2026-05-06,2026-05-06,jeremiedbb
33941,jeremiedbb,merged,2026-05-07,2026-05-08,adrinjalali
33946,lorentzenchr,merged,2026-05-07,2026-05-08,jeremiedbb
33947,lorentzenchr,merged,2026-05-07,2026-05-08,jeremiedbb
33948,lorentzenchr,merged,2026-05-07,2026-05-12,adam2392
33949,virchan,merged,2026-05-08,2026-05-08,jeremiedbb
33952,AnneBeyer,merged,2026-05-08,2026-05-12,jeremiedbb
33954,lorentzenchr,merged,2026-05-09,2026-05-10,thomasjpfan
33955,lorentzenchr,merged,2026-05-09,2026-05-09,thomasjpfan
33956,lorentzenchr,merged,2026-05-09,2026-05-09,thomasjpfan
33957,lorentzenchr,merged,2026-05-09,2026-05-09,adam2392
33964,lorentzenchr,merged,2026-05-10,2026-05-11,adam2392
33971,lorentzenchr,merged,2026-05-10,2026-05-13,jeremiedbb
33975,scikit-learn-bot,merged,2026-05-11,2026-05-11,ogrisel
33976,scikit-learn-bot,merged,2026-05-11,2026-05-11,ogrisel
33977,scikit-learn-bot,merged,2026-05-11,2026-05-11,ogrisel
33978,scikit-learn-bot,merged,2026-05-11,2026-05-11,ogrisel
33979,cakedev0,merged,2026-05-11,2026-05-11,jeremiedbb
33983,cakedev0,merged,2026-05-11,2026-05-11,jeremiedbb
33984,jeremiedbb,merged,2026-05-11,2026-05-15,ogrisel
33985,FrancoisPgm,merged,2026-05-11,2026-05-11,jeremiedbb
33996,MarcoGorelli,merged,2026-05-12,2026-05-12,jeremiedbb
33998,jeremiedbb,merged,2026-05-12,2026-05-13,jeremiedbb
33999,jeremiedbb,merged,2026-05-12,2026-05-12,jeremiedbb
34002,jeremiedbb,merged,2026-05-12,2026-05-14,thomasjpfan
34004,tomMoral,merged,2026-05-12,2026-05-29,betatim
34007,jeremiedbb,merged,2026-05-13,2026-05-13,jeremiedbb
34009,lucyleeow,merged,2026-05-14,2026-05-14,jeremiedbb
34011,jeremiedbb,merged,2026-05-14,2026-05-15,ogrisel
34013,jeremiedbb,merged,2026-05-14,2026-05-18,jeremiedbb
34021,cakedev0,merged,2026-05-15,2026-05-19,betatim
34022,jondo,merged,2026-05-15,2026-05-15,ogrisel
34023,betatim,merged,2026-05-15,2026-05-15,ogrisel
34024,jeremiedbb,merged,2026-05-15,2026-05-15,ogrisel
