policy,n_labeled,mean_auc
random,4,0.527199
random,5,0.604167
random,6,0.517940
random,7,0.604745
random,8,0.622106
random,9,0.623843
random,10,0.628472
random,11,0.633681
random,12,0.619792
random,13,0.607639
random,14,0.581597
random,15,0.597801
random,16,0.587384
random,17,0.601852
random,18,0.603588
random,19,0.594329
random,20,0.582755
random,21,0.567130
random,22,0.560764
random,23,0.529514
random,24,0.550347
random,25,0.550347
random,26,0.535880
random,27,0.535880
random,28,0.541667
random,29,0.552083
random,30,0.583333
uncertainty,4,0.617477
uncertainty,5,0.620949
uncertainty,6,0.681134
uncertainty,7,0.699074
uncertainty,8,0.673032
uncertainty,9,0.609375
uncertainty,10,0.686921
uncertainty,11,0.642361
uncertainty,12,0.643519
uncertainty,13,0.655671
uncertainty,14,0.688079
uncertainty,15,0.625579
uncertainty,16,0.625579
uncertainty,17,0.625579
uncertainty,18,0.653935
uncertainty,19,0.644676
uncertainty,20,0.663194
uncertainty,21,0.663194
uncertainty,22,0.663194
uncertainty,23,0.678819
uncertainty,24,0.655093
uncertainty,25,0.665509
uncertainty,26,0.655093
uncertainty,27,0.645833
uncertainty,28,0.618056
uncertainty,29,0.583333
uncertainty,30,0.583333
diversity,4,0.578125
diversity,5,0.550926
diversity,6,0.647569
diversity,7,0.642940
diversity,8,0.652199
diversity,9,0.670139
diversity,10,0.653356
diversity,11,0.633681
diversity,12,0.629630
diversity,13,0.640625
diversity,14,0.593750
diversity,15,0.588542
diversity,16,0.588542
diversity,17,0.593750
diversity,18,0.526042
diversity,19,0.530671
diversity,20,0.559606
diversity,21,0.542245
diversity,22,0.531829
diversity,23,0.495370
diversity,24,0.495370
diversity,25,0.495370
diversity,26,0.458333
diversity,27,0.458333
diversity,28,0.458333
diversity,29,0.500000
diversity,30,0.583333
topo_balance,4,0.547454
topo_balance,5,0.586227
topo_balance,6,0.626157
topo_balance,7,0.663194
topo_balance,8,0.692708
topo_balance,9,0.653935
topo_balance,10,0.663773
topo_balance,11,0.674769
topo_balance,12,0.680556
topo_balance,13,0.675347
topo_balance,14,0.580440
topo_balance,15,0.500579
topo_balance,16,0.533565
topo_balance,17,0.486111
topo_balance,18,0.491319
topo_balance,19,0.491319
topo_balance,20,0.481481
topo_balance,21,0.492477
topo_balance,22,0.503472
topo_balance,23,0.539931
topo_balance,24,0.560764
topo_balance,25,0.482639
topo_balance,26,0.487269
topo_balance,27,0.572917
topo_balance,28,0.489583
topo_balance,29,0.500000
topo_balance,30,0.583333
