policy,n_labeled,mean_auc
random,4,0.794444
random,5,0.841667
random,6,0.884722
random,7,0.879167
random,8,0.844444
random,9,0.863889
random,10,0.890278
random,11,0.897222
random,12,0.895833
random,13,0.893056
random,14,0.888889
random,15,0.888889
random,16,0.881944
random,17,0.895833
random,18,0.895833
random,19,0.895833
random,20,0.890278
random,21,0.891667
random,22,0.897222
random,23,0.904167
random,24,0.897222
uncertainty,4,0.794444
uncertainty,5,0.783333
uncertainty,6,0.786111
uncertainty,7,0.800000
uncertainty,8,0.851389
uncertainty,9,0.869444
uncertainty,10,0.902778
uncertainty,11,0.915278
uncertainty,12,0.925000
uncertainty,13,0.927778
uncertainty,14,0.926389
uncertainty,15,0.930556
uncertainty,16,0.936111
uncertainty,17,0.943056
uncertainty,18,0.945833
uncertainty,19,0.944444
uncertainty,20,0.944444
uncertainty,21,0.940278
uncertainty,22,0.937500
uncertainty,23,0.915278
uncertainty,24,0.897222
diversity,4,0.794444
diversity,5,0.733333
diversity,6,0.784722
diversity,7,0.787500
diversity,8,0.811111
diversity,9,0.822222
diversity,10,0.838889
diversity,11,0.838889
diversity,12,0.856944
diversity,13,0.863889
diversity,14,0.875000
diversity,15,0.876389
diversity,16,0.877778
diversity,17,0.884722
diversity,18,0.880556
diversity,19,0.875000
diversity,20,0.884722
diversity,21,0.891667
diversity,22,0.900000
diversity,23,0.904167
diversity,24,0.897222
topo_balance,4,0.794444
topo_balance,5,0.772222
topo_balance,6,0.854167
topo_balance,7,0.866667
topo_balance,8,0.877778
topo_balance,9,0.881944
topo_balance,10,0.877778
topo_balance,11,0.883333
topo_balance,12,0.887500
topo_balance,13,0.891667
topo_balance,14,0.886111
topo_balance,15,0.876389
topo_balance,16,0.880556
topo_balance,17,0.884722
topo_balance,18,0.887500
topo_balance,19,0.891667
topo_balance,20,0.900000
topo_balance,21,0.898611
topo_balance,22,0.905556
topo_balance,23,0.901389
topo_balance,24,0.897222
