name,family,n,structure,whole_phi,core,core_phi,n_core,basis
hmc_pad4,HMC,4,dyadic,0.000000,W|S,2.000000,2,"W↔S loop; C,D idle (unconstituted)"
hmc_pad5,HMC,5,dyadic,0.000000,W|S,2.000000,2,"W↔S loop; C,D,E idle"
hmc_parallel4,HMC,4,dyadic,0.000000,W1|S|W2,2.000000,3,two workers chat with S; S ORs them (no ∧ commit)
cmc_chain4,CMC,4,dyadic,0.000000,W,1.000000,1,W→S→C→D one-way conveyor
cmc_echo4,CMC,4,dyadic,0.000000,W|S,2.000000,2,S echoes W; C reads S; D idle
cmc_chain5,CMC,5,dyadic,0.000000,W,1.000000,1,W→S1→S2→C→D conveyor depth
aimc_rewrite4,AI-MC,4,dyadic,0.000000,W|A|C,2.000000,3,W→A→C rewrite loop; D idle (n=3 AI-MC lift)
aimc_blend4,AI-MC,4,dyadic,0.000000,W|A|C,2.000000,3,A blends W with C-context; still sender-side
aimc_dual5,AI-MC,5,dyadic,0.000000,W|A1|A2|C,2.000000,4,W→A1→A2→C transform chain; D idle
algo_joint4,ALGO,4,dyadic,0.000000,W|S|C,2.000000,3,faithful triad + idle D
algo_joint5,ALGO,5,dyadic,0.000000,W|S|C,2.000000,3,"faithful triad + idle D,E"
algo_multiparty4,ALGO,4,triadic,3.000000,W|S|C1|C2,3.000000,4,S commits over W∧C1∧C2; all read S
