name,n,structure,v,phi,n_core
zeros,3,dyadic,0,0.0,0
conveyor,3,dyadic,0,1.0,1
one_party,3,dyadic,0,2.0,2
chain,3,triadic,1,2.0,3
parity_hub,3,triadic,1,0.5,3
rot_ring,3,triadic,1,2.0,3
and_ring,3,triadic,1,6.0,3
AND_hub,3,triadic,1,2.0,3
OR_hub,3,triadic,1,2.0,3
NAND_hub,3,triadic,1,2.0,3
NOR_hub,3,triadic,1,2.0,3
pool,3,triadic,1,6.0,3
zeros,4,dyadic,0,0.0,0
conveyor,4,dyadic,0,1.0,1
one_party,4,dyadic,0,2.0,2
chain,4,triadic,1,2.0,2
parity_hub,4,triadic,1,0.25,4
rot_ring,4,triadic,1,2.0,4
and_ring,4,triadic,1,4.0,4
AND_hub,4,triadic,1,3.0,4
OR_hub,4,triadic,1,3.0,4
NAND_hub,4,triadic,1,3.0,4
NOR_hub,4,triadic,1,3.0,4
pool,4,triadic,1,12.0,4
