id,theme,experiment,n_nodes,predict,binds,core,core_phi,core_size,whole_system_structure,whole_system_phi,n_irreducible_states,matched,anchor,rationale
A21,quorum,2-party k=1-of-2,3,triadic,True,P0P1S,2.000000,3,triadic,2.000000,1,True,True,"any-one: every party can trigger alone, so every party is pivotal"
A22,quorum,2-party k=2-of-2,3,triadic,True,P0P1S,2.000000,3,triadic,2.000000,1,True,True,"unanimity: every party can veto, so every party is pivotal"
A31,quorum,3-party k=1-of-3,4,triadic,True,P0P1P2S,3.000000,4,triadic,3.000000,1,True,True,"any-one: every party can trigger alone, so every party is pivotal"
A32,quorum,3-party k=2-of-3,4,dyadic,False,,0.000000,0,dyadic,0.000000,0,True,False,"interior quorum 2/3: each party is substitutable, none individually pivotal"
A33,quorum,3-party k=3-of-3,4,triadic,True,P0P1P2S,3.000000,4,triadic,3.000000,1,True,True,"unanimity: every party can veto, so every party is pivotal"
A41,quorum,4-party k=1-of-4,5,triadic,True,P0P1P2P3S,4.000000,5,triadic,4.000000,1,True,True,"any-one: every party can trigger alone, so every party is pivotal"
A42,quorum,4-party k=2-of-4,5,dyadic,False,,0.000000,0,dyadic,0.000000,0,True,False,"interior quorum 2/4: each party is substitutable, none individually pivotal"
A43,quorum,4-party k=3-of-4,5,dyadic,False,,0.000000,0,dyadic,0.000000,0,True,False,"interior quorum 3/4: each party is substitutable, none individually pivotal"
A44,quorum,4-party k=4-of-4,5,triadic,True,P0P1P2P3S,4.000000,5,triadic,4.000000,1,True,True,"unanimity: every party can veto, so every party is pivotal"
A51,quorum,5-party k=1-of-5,6,triadic,True,P0P1P2P3P4S,5.000000,6,triadic,5.000000,1,True,True,"any-one: every party can trigger alone, so every party is pivotal"
A53,quorum,5-party k=3-of-5,6,dyadic,False,,0.000000,0,dyadic,0.000000,0,True,False,"interior quorum 3/5: each party is substitutable, none individually pivotal"
A55,quorum,5-party k=5-of-5,6,triadic,True,P0P1P2P3P4S,5.000000,6,triadic,5.000000,1,True,True,"unanimity: every party can veto, so every party is pivotal"
B1,topology,"star (hub B reads all, spokes read hub)",4,triadic,True,ABCD,3.000000,4,triadic,3.000000,1,True,False,centralized hub binds all spokes through one determination
B2,topology,complete (each reads the other three),4,triadic,True,ABCD,12.000000,4,triadic,12.000000,1,True,False,fully coupled; no party-line cut survives
B3,topology,"ring (each reads its two neighbours, AND)",4,triadic,True,ABCD,4.000000,4,triadic,4.000000,1,True,False,"closed cycle of mutual reads, no factorizing cut"
B4,topology,line/chain (A-B-C-D with back-reads),4,triadic,True,CD,2.000000,2,triadic,2.000000,1,True,False,"connected chain, every interior node mediates two sides"
B5,topology,"two independent dyads ({A,B},{C,D})",4,dyadic,True,CD,2.000000,2,dyadic,0.000000,0,True,True,factors into two disjoint pairs
B6,topology,"two-hub matrix (B,C hubs; A,D read both)",4,triadic,True,ABCD,4.000000,4,triadic,4.000000,1,True,False,matrix org: two mediators jointly bind the workers
B7,topology,feed-forward star (spokes do not read hub),4,dyadic,True,D,1.000000,1,dyadic,0.000000,0,True,False,spokes are emit-only sources; the hub is a downstream sink
B8,topology,"hub + isolated node (star on A,B,C; D self-loop)",4,triadic,True,ABC,2.000000,3,dyadic,0.000000,0,False,False,"triad {A,B,C} binds; D is decoupled and should shed from the core"
B9,topology,bipartite (each side reads the other side's AND),4,triadic,True,ABCD,4.000000,4,triadic,4.000000,1,True,False,"complete bipartite coupling, no within-side factorization"
B10,topology,"directed cycle (pure copy ring, no AND)",4,dyadic,True,ABCD,2.000000,4,triadic,2.000000,16,False,False,"a permutation/relabelling; each node copied, determination is reducible"
C1,redundancy,"duplicate mediator (S1,S2 both = W&C; parties read S1|S2)",4,triadic,True,CS2,0.189385,2,dyadic,0.000000,0,False,False,two mediators carry the same determination; degenerate but still irreducible
C2,redundancy,"parallel channels (W->C via S1, W->C via S2, independent)",4,dyadic,True,W,1.000000,1,dyadic,0.000000,0,True,False,"W feeds two one-way relays to C; no back-coupling, factors W from C"
C3,redundancy,"triple-modular mediator (3 copies, majority vote)",5,triadic,True,WCS3,2.000000,3,dyadic,0.000000,0,False,False,"TMR over the same AND; the vote node S-stack binds W,C, redundantly"
C4,redundancy,hot standby (S2 acts only when S1 is down),4,triadic,True,WCS1,0.664060,3,dyadic,0.000000,0,False,False,primary plus failover; the live mediator still binds the parties
