locus,p,phi,structure,n_core,major_complex,mc_phi
proj_eq_indep_WC,0.00,2.00000000,triadic,3,"{W,S,C}",2.00000000
proj_eq_indep_WC,0.01,1.93177794,triadic,3,"{W,S,C}",1.93177794
proj_eq_indep_WC,0.02,1.86481570,triadic,3,"{W,S,C}",1.86481570
proj_eq_indep_WC,0.03,1.79910741,triadic,3,"{W,S,C}",1.79910741
proj_eq_indep_WC,0.04,1.73464715,triadic,3,"{W,S,C}",1.73464715
proj_eq_indep_WC,0.05,1.67142895,triadic,3,"{W,S,C}",1.67142895
proj_eq_indep_WC,0.06,1.60944676,triadic,3,"{W,S,C}",1.60944676
proj_eq_indep_WC,0.07,1.54869447,triadic,3,"{W,S,C}",1.54869447
proj_eq_indep_WC,0.08,1.48916592,triadic,3,"{W,S,C}",1.48916592
proj_eq_indep_WC,0.09,1.43085486,triadic,3,"{W,S,C}",1.43085486
proj_eq_indep_WC,0.10,1.37375499,triadic,3,"{W,S,C}",1.37375499
proj_eq_indep_WC,0.11,1.31785993,triadic,3,"{W,S,C}",1.31785993
proj_eq_indep_WC,0.12,1.26316322,triadic,3,"{W,S,C}",1.26316322
proj_eq_indep_WC,0.13,1.20965836,triadic,3,"{W,S,C}",1.20965836
proj_eq_indep_WC,0.14,1.15733875,triadic,3,"{W,S,C}",1.15733875
proj_eq_indep_WC,0.15,1.10619771,triadic,3,"{W,S,C}",1.10619771
proj_eq_indep_WC,0.16,1.05622849,triadic,3,"{W,S,C}",1.05622849
proj_eq_indep_WC,0.17,1.00742427,triadic,3,"{W,S,C}",1.00742427
proj_eq_indep_WC,0.18,0.95977813,triadic,3,"{W,S,C}",0.95977813
proj_eq_indep_WC,0.19,0.91328308,triadic,3,"{W,S,C}",0.91328308
proj_eq_indep_WC,0.20,0.86793204,triadic,3,"{W,S,C}",0.86793204
proj_eq_indep_WC,0.21,0.82371783,triadic,3,"{W,S,C}",0.82371783
proj_eq_indep_WC,0.22,0.78063321,triadic,3,"{W,S,C}",0.78063321
proj_eq_indep_WC,0.23,0.73867081,triadic,3,"{W,S,C}",0.73867081
proj_eq_indep_WC,0.24,0.69782319,triadic,3,"{W,S,C}",0.69782319
proj_eq_indep_WC,0.25,0.65808281,triadic,3,"{W,S,C}",0.65808281
proj_eq_indep_WC,0.26,0.61944203,triadic,3,"{W,S,C}",0.61944203
proj_eq_indep_WC,0.27,0.58189309,triadic,3,"{W,S,C}",0.58189309
proj_eq_indep_WC,0.28,0.54542814,triadic,3,"{W,S,C}",0.54542814
proj_eq_indep_WC,0.29,0.51003924,triadic,3,"{W,S,C}",0.51003924
proj_eq_indep_WC,0.30,0.47571829,triadic,3,"{W,S,C}",0.47571829
proj_eq_indep_WC,0.31,0.44245712,triadic,3,"{W,S,C}",0.44245712
proj_eq_indep_WC,0.32,0.41024743,triadic,3,"{W,S,C}",0.41024743
proj_eq_indep_WC,0.33,0.37908079,triadic,3,"{W,S,C}",0.37908079
proj_eq_indep_WC,0.34,0.34894864,triadic,3,"{W,S,C}",0.34894864
proj_eq_indep_WC,0.35,0.31984232,triadic,3,"{W,S,C}",0.31984232
proj_eq_indep_WC,0.36,0.29175301,triadic,3,"{W,S,C}",0.29175301
proj_eq_indep_WC,0.37,0.26467176,triadic,3,"{W,S,C}",0.26467176
proj_eq_indep_WC,0.38,0.23858948,triadic,3,"{W,S,C}",0.23858948
proj_eq_indep_WC,0.39,0.21349695,triadic,3,"{W,S,C}",0.21349695
proj_eq_indep_WC,0.40,0.18938477,triadic,2,"{S,C}",0.18938477
proj_eq_indep_WC,0.41,0.16624341,triadic,3,"{W,S,C}",0.16624341
proj_eq_indep_WC,0.42,0.14406317,triadic,3,"{W,S,C}",0.14406317
proj_eq_indep_WC,0.43,0.12283418,triadic,3,"{W,S,C}",0.12283418
proj_eq_indep_WC,0.44,0.10254640,triadic,3,"{W,S,C}",0.10254640
