p,ci,sbs_residual,joint_vs_product,proj_vs_indep
0.00,1,0.00000000e+00,0.00000000e+00,0.00000000e+00
0.01,0,9.90000000e-03,9.90000000e-03,0.00000000e+00
0.02,0,1.96000000e-02,1.96000000e-02,0.00000000e+00
0.03,0,2.91000000e-02,2.91000000e-02,0.00000000e+00
0.04,0,3.84000000e-02,3.84000000e-02,0.00000000e+00
0.05,0,4.75000000e-02,4.75000000e-02,0.00000000e+00
0.06,0,5.64000000e-02,5.64000000e-02,0.00000000e+00
0.07,0,6.51000000e-02,6.51000000e-02,0.00000000e+00
0.08,0,7.36000000e-02,7.36000000e-02,0.00000000e+00
0.09,0,8.19000000e-02,8.19000000e-02,0.00000000e+00
0.10,0,9.00000000e-02,9.00000000e-02,0.00000000e+00
0.11,0,9.79000000e-02,9.79000000e-02,0.00000000e+00
0.12,0,1.05600000e-01,1.05600000e-01,0.00000000e+00
0.13,0,1.13100000e-01,1.13100000e-01,0.00000000e+00
0.14,0,1.20400000e-01,1.20400000e-01,0.00000000e+00
0.15,0,1.27500000e-01,1.27500000e-01,0.00000000e+00
0.16,0,1.34400000e-01,1.34400000e-01,0.00000000e+00
0.17,0,1.41100000e-01,1.41100000e-01,0.00000000e+00
0.18,0,1.47600000e-01,1.47600000e-01,0.00000000e+00
0.19,0,1.53900000e-01,1.53900000e-01,0.00000000e+00
0.20,0,1.60000000e-01,1.60000000e-01,0.00000000e+00
0.21,0,1.65900000e-01,1.65900000e-01,0.00000000e+00
0.22,0,1.71600000e-01,1.71600000e-01,0.00000000e+00
0.23,0,1.77100000e-01,1.77100000e-01,0.00000000e+00
0.24,0,1.82400000e-01,1.82400000e-01,0.00000000e+00
0.25,0,1.87500000e-01,1.87500000e-01,0.00000000e+00
0.26,0,1.92400000e-01,1.92400000e-01,0.00000000e+00
0.27,0,1.97100000e-01,1.97100000e-01,0.00000000e+00
0.28,0,2.01600000e-01,2.01600000e-01,0.00000000e+00
0.29,0,2.05900000e-01,2.05900000e-01,0.00000000e+00
0.30,0,2.10000000e-01,2.10000000e-01,0.00000000e+00
0.31,0,2.13900000e-01,2.13900000e-01,0.00000000e+00
0.32,0,2.17600000e-01,2.17600000e-01,0.00000000e+00
0.33,0,2.21100000e-01,2.21100000e-01,0.00000000e+00
0.34,0,2.24400000e-01,2.24400000e-01,0.00000000e+00
0.35,0,2.27500000e-01,2.27500000e-01,0.00000000e+00
0.36,0,2.30400000e-01,2.30400000e-01,0.00000000e+00
0.37,0,2.33100000e-01,2.33100000e-01,0.00000000e+00
0.38,0,2.35600000e-01,2.35600000e-01,0.00000000e+00
0.39,0,2.37900000e-01,2.37900000e-01,0.00000000e+00
0.40,0,2.40000000e-01,2.40000000e-01,0.00000000e+00
0.41,0,2.41900000e-01,2.41900000e-01,0.00000000e+00
0.42,0,2.43600000e-01,2.43600000e-01,0.00000000e+00
0.43,0,2.45100000e-01,2.45100000e-01,0.00000000e+00
0.44,0,2.46400000e-01,2.46400000e-01,0.00000000e+00
0.45,0,2.47500000e-01,2.47500000e-01,0.00000000e+00
0.46,0,2.48400000e-01,2.48400000e-01,0.00000000e+00
0.47,0,2.49100000e-01,2.49100000e-01,0.00000000e+00
0.48,0,2.49600000e-01,2.49600000e-01,0.00000000e+00
0.49,0,2.49900000e-01,2.49900000e-01,0.00000000e+00
0.50,0,2.50000000e-01,2.50000000e-01,0.00000000e+00
