family,name,omit,cycles,is_derangement,structure,whole_phi_mip,core,core_phi,n_core,mean_degree,clustering
der_33,33_0_designed,1|2|0|4|5|3,"(3, 3)",True,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
der_33,33_1_designed,1|2|0|5|3|4,"(3, 3)",True,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
der_33,33_2_sample,1|3|5|0|2|4,"(3, 3)",True,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
der_33,33_3_sample,4|0|5|2|1|3,"(3, 3)",True,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
der_33,33_4_sample,4|5|0|1|2|3,"(3, 3)",True,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
der_33,33_5_sample,3|0|5|1|2|4,"(3, 3)",True,triadic,14.000000,N0|N1|N2|N3|N4|N5,14.000000,6,8.000000,1.000000
"der_(6,)","ctype(6,)_0",2|3|4|5|1|0,"(6,)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,1.000000
"der_(6,)","ctype(6,)_1",2|3|5|0|1|4,"(6,)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,1.000000
"der_(6,)","ctype(6,)_2",3|4|0|1|5|2,"(6,)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,1.000000
"der_(2, 4)","ctype(2, 4)_0",2|0|3|1|5|4,"(2, 4)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.933333
"der_(2, 4)","ctype(2, 4)_1",1|3|5|4|0|2,"(2, 4)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.933333
"der_(2, 4)","ctype(2, 4)_2",1|0|4|5|3|2,"(2, 4)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.933333
"der_(2, 2, 2)","ctype(2, 2, 2)_0",3|2|1|0|5|4,"(2, 2, 2)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.666667
"der_(2, 2, 2)","ctype(2, 2, 2)_1",2|5|0|4|3|1,"(2, 2, 2)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.666667
"der_(2, 2, 2)","ctype(2, 2, 2)_2",2|4|0|5|1|3,"(2, 2, 2)",True,triadic,12.000000,N0|N1|N2|N3|N4|N5,12.000000,6,8.000000,0.666667
nonder,nonder_0,3|2|1|0|2|2,"(2, 2)",False,triadic,2.000000,N1|N3|N4|N5,12.000000,4,8.000000,0.822222
nonder,nonder_1,3|0|5|0|0|0,"(2,)",False,triadic,1.000000,N1|N3|N4|N5,12.000000,4,8.000000,0.933333
nonder,nonder_2,5|2|1|5|2|2,"(2,)",False,triadic,2.000000,N0|N1|N3|N4,12.000000,4,8.000000,0.933333
